Words,Scores
excepcional,68.00307352738922
clean,63.44379447481624
looks,63.44379447481624
orange,63.44379447481624
común,58.72022116678
pérdida,33.439529650200996
va,31.926126471025594
llamativa,27.99841445877323
mira,21.195668896374013
resto,19.466144127219533
país,18.98283223046694
perfect,17.062957803865626
gusto,16.943277306350762
pues,15.834299466367039
allá,14.597867148895006
incredible,12.167626787349366
simple,10.577437794532816
parochial,9.623881967761784
big,9.165737487599996
tampoco,8.938523818877705
lado,8.6575594446039
gusta,8.621674143919865
particularly,8.588205112274103
organ,8.470976317463343
falta,8.356552809636886
hablando,7.43580241628932
impressive,6.734564825123732
todas,6.66461563066641
chandeliers,6.607804614703408
tiempo,6.112735036161134
type,5.8730162466356655
debe,5.751117345464221
juárez,5.630771753988325
mantenimiento,5.436444024613232
interesante,5.404997162765847
esperaba,4.9043793633283705
muito,4.9043793633283705
reputación,4.9043793633283705
average,4.871162528995885
boggle,4.871162528995885
mind,4.871162528995885
tempolo,4.8589022728837525
visitando,4.8589022728837525
templo,4.822400393117813
interesantes,4.771494199909209
aledañas,4.761565080468518
aptas,4.761565080468518
momento,4.761565080468518
plazas,4.761565080468518
tranquilas,4.761565080468518
cuerpo,4.744668971360909
arquitetura,4.7134842745589935
bonitae,4.7134842745589935
recomendo,4.7134842745589935
apreciarlo,4.711314319240462
rato,4.711314319240462
remodelaciones,4.711314319240462
espectáculo,4.688113720592143
magia,4.688113720592143
cuidaran,4.646248892554783
descuidado,4.646248892554783
humedad,4.646248892554783
nadie,4.646248892554783
barrrocos,4.639141150577934
divertido,4.577854512157928
obstante,4.577854512157928
turisticamente,4.577854512157928
normal,4.538725335954278
seria,4.538725335954278
atm,4.52645374782974
automatico,4.52645374782974
cajera,4.52645374782974
changers,4.52645374782974
crazy,4.52645374782974
money,4.52645374782974
sencilla,4.521777178228229
casí,4.5195180790861755
vírgen,4.5195180790861755
distances,4.393375004106927
famosa,4.239051868849537
inmediaciones,4.239051868849537
japoneses,4.239051868849537
recomienda,4.239051868849537
ven,4.239051868849537
leyenda,4.2211885736440475
promedio,4.13748303479042
creyente,4.137343837495331
val,4.137343837495331
acabado,4.133600216891322
considero,4.133600216891322
parecio,4.133600216891322
sucia,4.133600216891322
paseo,4.082926377083059
finer,4.064928362219556
heavily,4.064928362219556
leanings,4.064928362219556
yet,4.064928362219556
disfrutar,3.9579464519006358
admiring,3.9371616990451246
result,3.9371616990451246
spent,3.9371616990451246
adornos,3.8864750689607934
entrando,3.8864750689607934
figuras,3.8864750689607934
imaginas,3.8864750689607934
mentira,3.8864750689607934
sera,3.8864750689607934
gratuita,3.8617282742050105
pasará,3.8617282742050105
rituales,3.8617282742050105
caminata,3.851130997829352
colmado,3.851130997829352
flores,3.851130997829352
radiante,3.851130997829352
architecture,3.8276676617425647
evaluar,3.747068842999419
multitud,3.747068842999419
objetiva,3.747068842999419
próxima,3.747068842999419
pueblos,3.6503435162564073
liso,3.4376147329149056
mayormente,3.4376147329149056
ocre,3.4376147329149056
sobresaliente,3.4376147329149056
desear,3.3967057709916384
exacta,3.3967057709916384
majestuosas,3.3967057709916384
ostenta,3.3967057709916384
retablo,3.3967057709916384
style,3.3921656746113538
entiende,3.356329892516879
familiarizados,3.356329892516879
aporta,3.3418037660620468
compararlo,3.3418037660620468
estrictamente,3.3418037660620468
presencia,3.3418037660620468
trata,3.3418037660620468
coloniales,3.3091306306683785
ordinary,3.2376647570250303
sólo,3.193659354112618
importa,3.075263585180325
spectacular,3.053361566909379
conservado,3.0045824035665714
location,2.9974918483866024
observe,2.9974918483866024
toque,2.968370614838226
high,2.966002583790231
long,2.8930078489542512
influence,2.7007422268157235
might,2.6296552268140814
better,2.5779024495851597
follows,2.5779024495851597
formula,2.5779024495851597
otherwise,2.5779024495851597
mejor,2.5680835403669726
realmente,2.4680950431549618
aunque,2.4661540874877397
regalada,2.455693015266869
unión,2.4102440045941496
abiertas,2.404424663876012
raro,2.3674347824470408
impresión,2.304130624500142
nothing,2.152930030797218
exterior,2.1129579480418506
almohadones,2.1105942868220238
costados,2.1105942868220238
dicen,2.1105942868220238
divertida,2.1105942868220238
efigenia,2.1105942868220238
enderece,2.1105942868220238
fijas,2.1105942868220238
fin,2.1105942868220238
levandanto,2.1105942868220238
recostado,2.1105942868220238
toca,2.1105942868220238
totlamente,2.1105942868220238
volando,2.1105942868220238
outside,2.084309372715557
inmueble,2.044845965507149
guanajuanto,2.040900102081041
santa,2.027132117229036
since,1.9685926596614907
parece,1.9423244884947053
portada,1.9130130646232484
torres,1.9130130646232484
mágico,1.8962452490591741
super,1.8882990392630006
sumamente,1.8852704641882647
teatro,1.8848684101995048
liked,1.87576363319261
though,1.7839582901609503
riqueza,1.782621799207796
puertas,1.774001397116808
todavía,1.770254007207224
estudiantes,1.7493663592297537
creo,1.746939712848076
dejado,1.7419938160448072
cultura,1.7148423135798818
cualquiera,1.709949511994346
iglesias,1.7063642705232624
manera,1.6981241331687844
little,1.674881381306879
pareció,1.6740423146654895
impresiona,1.619646255197844
zacatecas,1.61321158218457
remarkable,1.6094290868281065
pequeña,1.5425731188713334
bajío,1.5388498548836176
dar,1.5316487117080944
espectaculares,1.4842308882452322
special,1.479794560791442
encienden,1.4729205071520288
diseño,1.472389344690745
filled,1.4297888638405292
religiosos,1.4153040654413265
minas,1.4143919462516226
rey,1.401499166523413
less,1.3966465980402127
color,1.3950361530474478
ademas,1.3897507454308746
visite,1.3781726304916686
bien,1.3771134947378447
morelia,1.3672395143088922
quedarse,1.3067448943724307
méxico,1.2911722057355164
tal,1.2855409626388459
pequeño,1.2813509755596058
turísticos,1.2537865687322018
jardín,1.2372691981946067
nunca,1.221540003331487
callejón,1.2155113244900213
característicos,1.1923412661051558
embargo,1.1869829469440962
da,1.1790729296814275
pierde,1.1779686013303978
check,1.1387285206206799
ornamentación,1.137497928024778
real,1.1297362680065761
compared,1.1264947531352374
100,1.1015179145351595
tener,1.09480671643253
paso,1.0905295926835021
ser,1.081556239196807
like,1.0460768606870656
uso,1.0442034763252228
impone,1.0243503840334511
llama,0.9216377411515111
través,0.9197859246059232
size,0.9143063187629209
done,0.8998295461360629
puebla,0.8927281643899712
atención,0.8799888836198411
viewpoint,0.8775378940025891
worth,0.8635357292217323
honor,0.8501107828860852
días,0.8459334510878349
beso,0.8299933480419158
turista,0.8261313712807776
due,0.8057716285048043
buildings,0.7797469033495281
antiguo,0.7762116074745511
perfectamente,0.7751247107125655
temple,0.7593236790490866
pesar,0.7464177992786543
buen,0.7445191827070953
mexican,0.7405040421590088
iluminación,0.7303782010191479
buenas,0.7271596226404033
felipe,0.6882568581785782
bright,0.67925318710499
justo,0.6781450944456059
muros,0.677079645244582
completamente,0.6761054002381344
vez,0.6595160222392349
side,0.6580756959516167
colina,0.6427136236549953
dolores,0.6362002796049954
reference,0.6022434166769646
middle,0.5990324487930447
obligado,0.5955772720228831
small,0.5848921642762086
want,0.580252047314748
wealth,0.570835352750434
painted,0.5664625743940355
one,0.5591074259959181
point,0.5577167695777785
ii,0.5558462636017727
encontré,0.5503623319646244
visible,0.5483614971998574
neoclásico,0.5299387106653937
hermosa,0.5285070659657392
lindo,0.5161640565124194
cosas,0.5157004839748135
cathedrals,0.501517729564396
details,0.48176741548318364
give,0.4678402071739243
superior,0.45455746114730256
arquitectónico,0.45408388154640755
seems,0.4431266078148577
sobresale,0.4420192311433389
si,0.42913308836765635
every,0.421540379872601
great,0.4185752120489706
visitarla,0.4179502834371065
parada,0.41444513729303983
notable,0.4041673218897994
capital,0.40230898072486476
museo,0.4007043876630626
conservada,0.3950126023354464
plaza,0.3944802613278773
templos,0.3914654311756088
walk,0.3908570730745213
find,0.38923790633978067
catedral,0.3891266630163476
gran,0.3875256388433967
church,0.3825592775798262
vas,0.3749661127288081
iglesia,0.37443188738880895
medio,0.3727688260027032
estructura,0.3719247788054729
inside,0.3700354374358103
cerca,0.369792673887951
must,0.3690198725154327
arquitectura,0.3675261424115526
monumento,0.3622402559931049
interiores,0.3594034986607119
ubicada,0.3580253805804455
noches,0.3542070954118732
ornate,0.3513141494823101
virgen,0.3507094087305961
place,0.34127552017060314
hacen,0.3366327314705103
night,0.3364813696276457
whether,0.3360922664444521
años,0.32951374541297906
preciosa,0.3196368205947524
restaurants,0.3194869302421768
colores,0.31920234711757756
beautiful,0.31626540686283716
really,0.31488811415106477
especial,0.3113722454467115
gold,0.30781272990831443
best,0.3073856246196961
misa,0.3018516553831556
many,0.2973070357462078
precioso,0.2962452113788304
estilo,0.29524425240517327
amazing,0.2938355749239503
mass,0.2932278699821562
well,0.2922036688952657
nice,0.2916234780834152
frente,0.29031333772846196
conocer,0.2837763281865862
restaurantes,0.2797162647736292
get,0.27958174600476754
make,0.27763242716351255
arte,0.2770433304101718
miss,0.27636056760520306
quite,0.27230637572686156
allende,0.2669055421507543
miguel,0.2669055421507543
particular,0.2627683737287559
iluminada,0.2617190331039869
area,0.2614594179233388
llena,0.25967985334347504
imponente,0.2595772148992018
duda,0.25834709347649015
interesting,0.25527094577619175
foto,0.2549787814291372
admirar,0.2528816589210589
much,0.2491573005916093
verdad,0.24865003499775407
excelente,0.24632466303438122
además,0.24224204557643958
ciudad,0.24165665394918115
lovely,0.23881558288877563
go,0.23306510195905178
colonial,0.22896008729407571
right,0.22851014054248897
bello,0.22757308130537487
also,0.2271330095354794
espectacular,0.22494516881094795
ubicación,0.2220332617182006
detalles,0.22103332361183056
bastante,0.2183256410909278
ahí,0.21454960210032295
señora,0.21392170753216228
hacia,0.20890644339515468
lady,0.20866903333265008
buena,0.20605815730447083
hacer,0.2054565427717207
especialmente,0.20201066598604994
centro,0.2019886411298269
tamaño,0.20109939939121182
gente,0.20061893541389045
central,0.19625586658264438
barroco,0.19539305595809808
old,0.19072839237693087
toda,0.1896930663379341
personas,0.18963496067268532
paz,0.18785993758819775
located,0.18704668412515252
historia,0.18607758619547968
hace,0.18530267935361683
pueden,0.18486420789010435
visita,0.18423880772216117
visitar,0.18069079004524052
mirador,0.17986013563549483
main,0.17985695025054607
edificios,0.17860677918180043
perder,0.17771721470054558
cuenta,0.17673376704230848
spanish,0.17471989374155295
bellas,0.17007078447114446
calle,0.16892166137507697
calles,0.16842218161820346
caminando,0.168257479423113
mejores,0.1678078003428172
turistas,0.16750168758188913
aún,0.1670652044482845
simplemente,0.16610778559111172
ver,0.16504997256493967
limpio,0.16456273198237795
increíble,0.16430559768542574
digna,0.16337454965800113
universidad,0.16252372447404817
historic,0.16112519305649292
gto,0.1607294500940102
fachada,0.15747890720016497
siglo,0.1571716482183782
etc,0.15684662847750744
loved,0.1568120393829014
alrededor,0.15597666784454303
hermosos,0.15477923647460584
hidalgo,0.1547302039845069
dia,0.15465033064762093
candelabros,0.15453726725188238
architectural,0.1542977015960657
back,0.15341907635924035
evening,0.15322280020002138
ceiling,0.15297781492758072
situada,0.1528611122111916
mayor,0.15250511905060027
downtown,0.152300159565459
patrona,0.1512872125122236
luces,0.1495187637729996
situado,0.1483691982043806
alrededores,0.14827030316280215
apreciar,0.14800258546990785
encanto,0.1476212945564926
recorrido,0.1474201806797268
órgano,0.14701346340912994
colorido,0.14539255366384934
conocerla,0.14516507103690468
beauty,0.14459835208221541
zona,0.14407416984200933
observar,0.14395933216444246
virgin,0.14287905568659098
went,0.14260494925734418
comer,0.14220548551050788
escuchar,0.1411065080992625
stunning,0.14098251646148943
sitio,0.14095005061950466
forma,0.1404367067240415
entorno,0.13929705264785078
pictures,0.13914827711618588
tour,0.13799661943938868
religioso,0.13683261704266225
tan,0.13586877760630678
boda,0.13547952139457375
definitivamente,0.13503941481393233
easy,0.1349105171145016
experiencia,0.13424917626488594
guanajuato,0.13376176653832503
destaca,0.1337391714500587
bueno,0.133582075197752
céntrica,0.13353974808795968
pasear,0.13251172806148975
dice,0.1317494553303437
debes,0.13153116979307106
