Words,Scores
urgentemente,54.764544133203984
serio,54.764544133203984
necesitan,54.764544133203984
gruperos,54.764544133203984
estridente,54.764544133203984
cantineros,54.764544133203984
siesta,49.27359961528708
romper,49.27359961528708
libro,49.27359961528708
leído,49.27359961528708
consideró,49.27359961528708
tome,32.25714285714285
sinfonica,32.25714285714285
otorgaron,32.25714285714285
llevas,32.25714285714285
llego,32.25714285714285
jamas,32.25714285714285
importe,32.25714285714285
guia,32.25714285714285
esperamos,32.25714285714285
diverti,32.25714285714285
daba,32.25714285714285
comentaba,32.25714285714285
sucio,24.597861260819077
demasiada,22.44728038585757
amenizado,19.589314287664823
regular,18.851870656904133
problema,18.28961478455139
ruido,16.08340089776319
concierto,16.032151918528655
plus,15.22622828582895
independencia,13.895651113535031
suficiente,13.730238751005796
jueves,13.071788411003606
dinero,12.454151444585202
media,11.379177944769543
turista,11.088911755365128
cuadrado,9.422165070228285
tunas,8.510694819263783
agua,8.119485457227158
caros,8.006321747377745
basura,7.713744014554045
usual,7.141539253174346
lilltle,7.141539253174346
esperas,6.680298274893962
difiere,6.680298274893962
seguridad,6.554797514761483
sólo,6.54910609147875
siento,6.237385091668469
restful,6.131854929402607
seria,5.975040421054991
reserva,5.975040421054991
llevaron,5.975040421054991
fuí,5.975040421054991
falten,5.975040421054991
congreso,5.975040421054991
común,5.975040421054991
charla,5.975040421054991
claro,5.959873824802547
bellos,5.8965868675132205
lástima,5.696977510706166
lamentable,5.696977510706166
preferred,5.443016874003211
viaje,5.305590946247064
sombrios,4.878600074696361
smaller,4.878600074696361
follaje,4.878600074696361
fig,4.878600074696361
enoyed,4.878600074696361
crecer,4.878600074696361
big,4.860879722839359
foto,4.855650089469656
athmosphere,4.835082594962492
domingos,4.754790017361005
ok,4.730439791783009
fontain,4.723684210526317
acogedor,4.647766455439165
size,4.569968687948821
vendria,4.4535321832626416
talvez,4.4535321832626416
sodas,4.4535321832626416
sientate,4.4535321832626416
remodelación,4.4535321832626416
podrian,4.4535321832626416
espcifico,4.4535321832626416
chico,4.4535321832626416
cambiar,4.4535321832626416
buscas,4.4535321832626416
talk,4.3700733955579825
diseño,4.302764380489854
unfold,4.224991599591708
thru,4.224991599591708
noise,4.224991599591708
happiness,4.224991599591708
draws,4.224991599591708
next,4.171600306363162
fuentes,4.143926390740506
touring,4.123169610248488
gardiner,4.123169610248488
solo,4.032371170014817
venimos,4.028371430087587
tranquilada,4.028371430087587
tornarse,4.028371430087587
rendimientos,4.028371430087587
pàchuca,4.028371430087587
experimenta,4.028371430087587
està,4.028371430087587
estrañar,4.028371430087587
creciendo,4.028371430087587
congestionado,4.028371430087587
genera,4.010749413846144
crouded,4.003221090765703
summers,3.8568720072770226
suave,3.8568720072770226
sentirse,3.8568720072770226
sacar,3.8568720072770226
poda,3.8568720072770226
piedad,3.8568720072770226
overhead,3.8568720072770226
modificaciones,3.8568720072770226
logrando,3.8568720072770226
logran,3.8568720072770226
january,3.8568720072770226
invitar,3.8568720072770226
guía,3.8568720072770226
familiares,3.8568720072770226
faltan,3.8568720072770226
experimentar,3.8568720072770226
entrelasados,3.8568720072770226
emerge,3.8568720072770226
