Words,Scores
turistas,1.279448091311183
visitar,1.192814135318224
fake,1.1896814046131874
cuentan,1.1561222351570666
baño,1.0037124085286653
cara,1.0004167281640362
excepto,0.716184349314541
inventada,0.7026477339131187
paz,0.6888880225851186
creo,0.6661025110692991
get,0.6230144371555073
vale,0.5941502894688772
pintoresco,0.5764034581846962
ir,0.5678968834269014
piezas,0.5645733438623172
gto,0.5163014463291385
guías,0.5014932005160491
balcony,0.4982495317431086
story,0.4687056866319761
alley,0.4539630543341292
noche,0.44954162500290273
pasar,0.4481429377796697
vendedores,0.43555333767580645
tal,0.4264080155115949
two,0.36982775638440013
lugar,0.28223617103026066
see,0.2701420992806092
callejon,0.23694406630064255
one,0.23555721470733437
pena,0.22705293595967352
si,0.21696118181603857
vez,0.2110816320945277
personas,0.16284309995371277
callejón,0.16030285978002387
solo,0.1474853401706397
time,0.13056236844273714
really,0.12219523738759043
take,0.11557212075116391
ver,0.09079453226491818
tomar,0.08849489798682571
walk,0.08659793480850972
legend,0.07163471185475434
balconies,0.06854404652433907
romantic,0.0626945858466365
menos,0.05177236613104624
sólo,0.0388263026938487
pues,0.029973480381432122
lleno,0.024008094288042684
narrow,0.012787432869911458
visita,0.0126984640336242
kiss,0.010570583234732697
beso,0.009070440796633411
historia,0.00889597597429639
guanajuato,0.007287286530463253
turismo,0.006850872059114385
atractivo,0.0054303776325186105
leyenda,0.003260900328956289
people,0.0026176189157140974
foto,0.0013997786719378879
sucio,0.0012410074068173436
go,0.000427257405857856
across,0.00016137471793882806
gente,1.9221805711270293e-05
?,
público,1.3782677818806799
many,0.43460512570339216
alleys,0.41977078519497774
fila,0.4093836053030855
interesting,0.39888114069686714
conocer,0.39842078356656163
interesante,0.38950182752051077
pareció,0.3870433181255215
romance,0.38027898249712627
callejones,0.3744841128498575
fotos,0.3647789441871164
ahora,0.3502142072288612
us,0.31729146465983354
realmente,0.3009390920291656
sure,0.2913304442616619
obligada,0.28815705996311247
tanta,0.27137057971935835
totalmente,0.2516939458206627
vas,0.2492269871092222
siempre,0.24745869033705228
place,0.2449947543649937
tiny,0.2376075288931659
much,0.22147257535866527
huele,0.17242903641279367
tiempo,0.17162033056601556
verdad,0.16295548962003142
paredes,0.15765340337907713
estrecho,0.12334063128594369
town,0.10826941544215313
close,0.10005046151047439
tener,0.0878648908908824
tan,0.08596614799538696
romántico,0.08197528960031127
around,0.08154100141627094
propina,0.05985146108262328
ciudad,0.05784573712506688
recomiendo,0.05357408340068253
quieren,0.04804839029698068
ahí,0.04574967596387131
tourist,0.03747235255316745
house,0.03730036483220838
lovers,0.03637138622015398
could,0.03452705138196681
someone,0.03332487011551838
tourists,0.027408285237412497
photo,0.026362546865795027
mucha,0.021684295953313
muchas,0.01927273772285635
little,0.00928663966837503
dinero,0.008547944285296514
even,0.006322860747503076
obtener,0.0031022773784150745
tomarse,0.0030450613921657035
pesos,0.002810935379958074
sitio,0.0027442889364723937
walking,0.0026241800221175646
orines,0.0022921204706010637
way,0.0022747035771949276
scene,0.0020836952548015965
say,0.0010095567744217212
desagradable,0.00042423937915980124
¿,
turísticos,1.1419365375040353
that's,
parece,1.0037124085286653
sacarles,0.9581265578555498
minuto,0.8428284664077431
locales,0.8042528074303494
speaking,0.6721376003447828
descuidado,0.49575219186851616
city,0.4004539769033943
cosas,0.3563489099115549
sobrevalorado,0.3488825274384515
area,0.34115965745092286
mejor,0.32840494742556947
casi,0.3189597802146414
like,0.3002442394514836
disfrutar,0.2925331097609727
mismo,0.29076954320432113
contar,0.2887674261870796
ja,0.28765652960318566
aunque,0.2813279915675737
hace,0.2795338555253337
lugares,0.2769165829747612
días,0.27540076790743484
mal,0.27143501912863033
temprano,0.27062625232067555
mercado,0.2579234440594027
basura,0.24044581124348335
calles,0.2400923404979317
wander,0.23588364340727724
worth,0.23011062032435958
well,0.21780473769171965
value,0.19615843478260112
things,0.19332607118610065
taken,0.182293487816372
stairs,0.1782500970056584
uphill,0.17677449071326204
veces,0.16229543589900627
vender,0.15879675725283118
valla,0.15678465195313207
sorpresa,0.15678465195313207
winding,0.15557527756140077
verlo,0.14890367840636543
varios,0.14132170265552754
tradicional,0.11948294865834613
visitantes,0.10352517268334917
toda,0.08946427018373607
ser,0.0632091494656608
attraction,0.03618578002815888
stopping,0.03129661352043241
tour,0.02483678155085285
vendors,0.023631157486028356
street,0.023631157486028356
space,0.023631157486028356
cantidad,0.012918921364067169
taking,0.011859364875515973
love,0.011458854906983298
selling,0.008828260232678778
espacio,0.003583582033386448
callejoneada,0.0035722175359398983
got,0.0031765101423097677
great,0.0028663121200286747
imposible,0.0013576861903245474
besos,0.0004829374881364773
small,0.00024700094148222236
i'm,
famoso,0.8359300687446243
enough,0.7092736753542962
hear,0.6787772273830788
guy,0.6721376003447828
realidad,0.3307259199009836
novia,0.3190436039496793
encanto,0.2746828759784371
enjoy,0.27360472378805645
pareja,0.26993942724245146
gracia,0.262569698928534
parte,0.2583157151789399
full,0.25552581807249886
puede,0.23896017336291914
general,0.2369587214100934
reducido,0.23440571319866202
niños,0.2329608703208836
queuing,0.2159711773864375
must,0.21515115289731426
romeo,0.2105991438824196
juliet,0.2105991438824196
propio,0.2080707814017499
make,0.20634880710856607
done,0.2042856551447628
pidiendo,0.20127208409871752
encontramos,0.1884017977071613
explotada,0.18781295856447927
opportunity,0.184538855397399
queriendote,0.18410934648229982
owner,0.18116512511887595
huge,0.16073396238458537
olor,0.1588508657279581
pagar,0.15678465195313207
doquier,0.15661168667735068
least,0.15557527756140077
esperas,0.13909450041971294
orden,0.12731667844384137
llega,0.12640908140523732
parecen,0.1254685869356456
multitud,0.10864622110165459
imagen,0.10352517268334917
manera,0.09233861077269012
quitan,0.09032607684311948
find,0.08829512176615521
parejas,0.06714500852915681
historias,0.05793857223792866
