Words,Topic 1,Topic 2,Topic 3
lugar,0.2994221751181964,0.032930549687742845,0.5077050692588657
callejón,0.27043020393501527,0.001966974391240499,0.267846332019744
beso,0.25062265508591214,0.040085259085408505,0.34896664701291336
guanajuato,0.20703594935824243,0.1285794822795301,0.05552083102232365
si,0.255528364921939,0.018015535545331186,0.022130346204979605
historia,0.21012841131529944,0.02308867420470186,0.16389713515558593
foto,0.18108736850797555,0.02131545418429763,0.04189152902192282
leyenda,0.17282430469949836,0.015994884062033064,0.1873634314854839
pareja,0.2055909469079918,0.020164506041389797,0.11101818167153397
ir,0.16931631688709736,0.010802502574707523,0.003917127572457581
gente,0.11791240513919195,0.017943192906053004,0.1725350153065093
ciudad,0.09763772303797241,0.004642017651276768,0.021221189230834433
puedes,0.1343221977391613,0.015603300218863697,0.02231396804135353
vas,0.15423935151571352,0.007916992544800263,0.019938736981376663
visitar,0.1257874649854422,0.00649345169098475,0.21370028185695647
amor,0.09316014664231279,0.007173540377566161,0.04889951110783386
alley,0.0060528816898330695,0.27667448643679093,0.015788931864975125
kiss,0.006949168148344428,0.25462103248533047,0.006228823970878818
visita,0.10079086637371078,0.0015125156240547153,0.08115273684754931
balcón,0.08950347487496053,0.01218585555794198,0.037355240040122605
escalón,0.09636138324186948,0.010289752728492136,0.22557237395921062
ahí,0.09001852349500143,0.012435979338295496,0.0073549568337614776
story,0.005687722716050534,0.22538661692887255,0.004970969328060739
bonito,0.10119964296825637,0.012035705866974519,0.08949263650104339
romántico,0.08701234633587633,0.007633909514507245,0.014981723392491469
take,0.004986807180914907,0.195182280526485,0.008346472661691997
callejoneada,0.05858919883488211,0.021869265664660256,0.008926027230391827
place,0.006614812884592439,0.21094852363048947,0.0038488712769726135
cuentan,0.08443428055143819,0.00821117861333316,0.061526660888123565
personas,0.06383021840905544,0.008788510529225389,0.0171235355291176
go,0.005620578425817386,0.18428218629717402,0.006685262563587838
pena,0.07226374299373124,0.0068389407113979925,0.07588072018033719
',0.0,0.0,0.0
solo,0.06059412493066164,0.004329050207674047,0.008195656395184802
puede,0.07071769965062184,0.004229988342403854,0.048274497210925034
noche,0.057299169267397435,0.002723507573394964,0.010738645586071828
mejor,0.06829945428975964,0.0067347203044865675,0.011612800323055904
vale,0.07272110465593629,0.006501955365384664,0.06340793964008884
tomar,0.06401607699342482,0.008906018390109299,0.0352272707636265
tercer,0.0754026136024809,0.009063904869494922,0.19019279178728624
tan,0.05450974819047391,0.006479515876949002,0.0363842445306632
one,0.004238159996482126,0.17377858941822835,0.00778289324820389
suerte,0.06949736431267074,0.008215659806702651,0.16609794069902073
lleno,0.057720568648857516,0.006644310643884432,0.05005154319461983
bien,0.05546451344478674,0.0057260298689950214,0.024127951075701606
tradición,0.08013107321402216,0.0042296903838440845,0.06906085354952624
aunque,0.059241339637281454,0.005480297346498853,0.06182991609651142
callejones,0.053940603650765605,0.004442290129693509,0.033993700720388785
subir,0.06589468987878748,0.008967341337411365,0.04078586015396887
tomarte,0.07237227345311874,0.01028789292934305,0.0005835218624397659
mucha,0.06530528563332376,0.008092114552522362,0.10766407164645382
pasar,0.05780300845529204,0.007485252927819283,0.05116984657753592
siempre,0.05389204823133084,0.0036562079232085698,0.005421244922859588
así,0.05542215140687091,0.007697239267173804,0.003609938076355543
fotos,0.0544667967053828,0.008351099914389617,0.0055810210577141904
tomarse,0.059328680422254615,0.00735740661685351,0.013191900440468755
recorrido,0.04828541562219935,0.00035648703327663086,0.03035850497436265
mas,0.05429687406076221,0.0031513379455324246,0.041159646951901246
legend,0.004916934450466963,0.14095699294113936,0.0011375946648289805
conocer,0.06358502176362084,0.003014629946045863,0.011014119982265595
lugares,0.052429209080680106,0.0005037943948686464,0.03099751832765912
cuenta,0.05344231819036716,0.006899129408310362,0.04467409203047971
see,0.004050817259414326,0.1480002297224008,0.00557997034382258
fila,0.04659372270338734,0.007715367605295027,0.03839406898952855
tradicional,0.06249580096480254,0.004917255199232011,0.028051069892831154
dos,0.035215976053876705,0.0030889236276470597,0.025902075930170406
buena,0.055190870587113215,0.006097842679394184,0.06780852644305752
recuerdo,0.06370670718786217,0.0066824031854738645,0.010755132005284338
pues,0.05345441879939893,0.005417983426023839,0.010246135830694428
get,0.0025290748175751613,0.12676311089582068,0.008379581186768022
love,0.004141208655424744,0.1341844730086186,0.0010348781803231708
callejon,0.01959487938327584,0.08611311909862752,0.01798746116204747
balcones,0.042589369996467265,0.004196549262291583,0.033699737370878426
people,0.0027614229459631203,0.1221920039358672,0.006152297776199871
llegar,0.0453016283895073,0.003295433443472445,0.025542598444287894
obligada,0.06386975287447466,0.0014938237783295118,0.07025578360677769
hacer,0.04721097161460692,0.005020119986698657,0.0037600905418640096
dejar,0.06807359222463977,0.006039714295973573,0.008255358197415696
hace,0.04004860144648045,0.004684767100678336,0.004743350354963859
años,0.0444341790513963,0.00523666464434271,0.090830218563375
ver,0.03581989286853494,0.0027178136262669033,0.03469261939823541
tour,0.01774890909640438,0.06884384228341692,0.0007178344748434113
recomiendo,0.04613676302204617,0.00395785559871866,0.04672803179528774
visitarlo,0.04646190262668917,0.0026138470384643965,0.0060919992089234045
pesos,0.02925686046747077,0.037872763639719136,0.016602784873082012
parte,0.050572069429535134,0.002684106961483747,0.04393613171388178
parejas,0.04876565760341993,0.003677163162594112,0.022191331921334292
must,0.007428551714627161,0.1256726353997523,0.0009574610282421908
famoso,0.05307179704922106,0.003621414195160628,0.035958294673618475
callejoneadas,0.03962105123015505,0.0023265045457279707,0.0012829335398761579
visit,0.004787049394273803,0.12917325731857934,0.0034843288425110636
sitio,0.03965271183674497,0.0035887744899367035,0.022139206649125408
romeo,0.02048182208573989,0.06474122345642898,0.012179418355976152
picture,0.0033264321865198523,0.12131851522377797,0.004630619402927918
estrecho,0.03731346437573254,0.003286032167613996,0.00499735542925714
city,0.0022024207311961267,0.10077057270720341,0.0031022754818855703
around,0.002749504449068073,0.09883414953750341,0.0032995461017829926
además,0.041611381076185144,0.004463109978772104,0.005123492068397455
vez,0.028919369131814036,0.0018531330788336235,0.00586678986923765
ser,0.034815642221811494,0.002837735474152901,0.021880115900594577
narrow,0.002782688558008674,0.1126148113831353,0.00627155650129625
debes,0.05073327368122778,0.004913970855448697,0.027970895746276547
turistas,0.028980896690268335,0.004107154831531749,0.03055637405472565
time,0.002996992186104563,0.10459320870710934,0.003294592462705666
sólo,0.029726148633270073,0.0018781362527067642,0.0021197118929858583
padre,0.029455304850291415,0.0032777376988599722,0.0022959851304754204
interesante,0.04039856199283248,0.0017315658122541572,0.03456644574322559
lindo,0.04484244114475498,0.003812747072376348,0.0314458824384819
tiempo,0.032616987557695855,0.0033860008609922446,0.023600913392972125
pintoresco,0.04558530259321809,0.003958010923531513,0.028377821186437283
experiencia,0.03190326624098146,0.0024823985389559335,0.014717055787907121
escuchar,0.04922746114875526,0.004772674194117066,0.018442395085234
enamorados,0.03545996338812717,0.0014055251958728003,0.03995939666571038
día,0.030932569425163692,0.003572345543386736,0.005497488498317836
calle,0.026204497939059705,0.0005302367426108614,0.021732666905147434
romantic,0.0028003392292552643,0.11165218482066519,0.0016218401579529151
embargo,0.03269141524037404,0.0021428728896220606,0.05079867828500088
duda,0.04358929979302284,0.001687445448586379,0.0143913796840366
divertido,0.03902107882696491,0.001089710293448552,0.011074721240945355
balcony,0.0018988273830859359,0.09426775876921013,0.006424747753004535
pequeño,0.03331270311209906,0.001464331932383901,0.012966124262205753
mala,0.038836741143795206,0.005309339688433015,0.09513608700634038
estudiantina,0.032570880214842536,0.010481903277632272,0.0007809807876693656
especial,0.0382761958147421,0.0035918658102454546,0.0027034235666452003
cerca,0.028098488875909912,0.0028553124669565754,0.0009415389978120493
centro,0.03471057964242501,0.0010926867841058818,0.01654411911511186
-,0.0,0.0,0.0
tell,0.002909118816110953,0.09791602302328056,0.0015518632389362789
súper,0.0387908539879963,0.0013460661226986324,0.01745955847645993
punto,0.03105182382742476,0.001286387767810528,0.0038145058605557614
propina,0.03532931671176564,0.005391220446162561,0.009242844974567867
poder,0.03419623071239951,0.005425793721815109,0.02114118512916768
nice,0.002935800227869504,0.09676422186773692,0.0003901778596746595
calles,0.030954377042415302,0.0001255769896271822,0.014583637419678547
cada,0.03504205950439126,0.0025240888669962637,0.004745586995825613
romántica,0.04928408447833823,0.00616962177176366,0.0124509072295124
casas,0.026755591064521113,0.001569376876431836,0.018316826732511268
aquí,0.0252838846399554,0.0022989995370032044,0.0171043071327583
leyendas,0.03248069456437606,0.0010540434771303155,0.04853305240170956
estudiantinas,0.02886916643892677,0.006204539934231129,0.025864256310847256
dar,0.03748140089827868,0.003900841287138655,0.04893070588408724
casa,0.019062831097660646,0.0018125927074829201,0.016947889115781954
agradable,0.03126209826708465,0.0020112718100395,0.04090470646799412
verdad,0.02779554041228418,0.0027273448249271835,0.03835916569825077
va,0.035334483014221964,0.003069011753430618,0.03725482294001033
two,0.001589948624949361,0.0806216951657003,0.005519556143559868
really,0.0020899287581889695,0.08315507291366349,0.0036222298443507593
obligado,0.03802949666845813,0.0006093716182910197,0.04513147432372492
niños,0.03157079752469792,0.002336338523862378,0.008717600882871657
good,0.0026670242346841233,0.0870292321089186,0.001959734899993709
darse,0.03868086771780348,0.00140630516267303,0.04861325690715454
walk,0.002903206574619157,0.08695862870195735,0.00034436893808519314
small,0.002635645497398808,0.08372536549940618,8.76067981104988e-06
realmente,0.02192856576882309,0.00019244768301076217,0.004827778055656727
momento,0.032264618542710226,0.0006876273559365751,0.007191850895958312
mismo,0.02992972772615204,0.00238968785537219,0.011794350918800043
fun,0.002481640603436563,0.09055445556769187,0.0008400233028627989
find,0.00228510212200695,0.07942762323516005,0.002914982072846077
después,0.029885867136013156,0.0027062274397046775,0.008741246627805298
balconies,0.0015155180437261512,0.08121159982137066,0.005437514037753069
recomendable,0.02850394655622901,0.0015545498177251152,0.033240480034434125
hacen,0.03157794215925766,0.0015063182315956669,0.008624497004959823
debe,0.026711872139981177,0.001914396581916484,0.011875632058553534
darte,0.0406063451492561,0.0037282728218077494,0.06554013751449313
casi,0.02181755108895499,0.0017747993618627536,0.01219334398364209
buen,0.029022748245731693,0.002826854590970766,0.007667868111153052
7,0.0,0.0,0.0
worth,0.0015194446544669635,0.07053147905370717,0.00297319511731315
quieren,0.02207123240018978,0.003433102363582733,0.01206996932760816
photo,0.0017518383239873256,0.0678698185677155,0.003952735878840499
mágico,0.03132274798850638,0.0035735578962085316,0.029106412859308674
little,0.0018076951731706096,0.0785789375644626,0.0033822995876447463
guía,0.0219094487831956,0.0026742859275127842,0.005230586568886961
dicen,0.022893817961159565,0.002217533409784797,0.01542567586750598
dan,0.025547453198372337,0.0010470757551593296,0.006565770016500752
da,0.023494842364071355,0.0021471887293149482,0.006181203995620003
toda,0.028373648257186773,0.003325549343013258,0.00027538450525552247
tener,0.025095260268483594,0.003021299171658854,0.008028752255899552
temprano,0.030019812625567906,0.005352715159722727,0.022776017427658963
like,0.0026032606223700397,0.06896489501263803,0.00132165357253638
guías,0.0231877905784149,0.0034419859559028016,0.025753873680071145
final,0.023225884090152086,0.001775338630651468,0.011012710012773838
excelente,0.025825130409734033,0.0021622190200500414,0.038550184121767896
espacio,0.022352186789571866,0.003369450212035854,0.0064690366526833736
creo,0.024511078501256736,0.0011983179831944698,0.021124507031510375
cobran,0.02890664857245438,0.0032854711848238935,0.010450652082175233
caminar,0.02080048453573881,0.002169121826955157,0.011509335290676128
bueno,0.026974777652206204,0.0019902408282100994,0.005278376763150992
allí,0.01957655510023517,0.002633850217380902,0.021932857615957212
:,0.0,0.0,0.0
típico,0.03548646746009516,0.0012970308132154845,0.030948425733880694
tal,0.020541923244520567,0.0017124341295118176,0.0068405704945287684
sucio,0.018290846180974752,0.001097990539296057,0.035863384908126225
importante,0.02270712124110035,0.0015286341052178235,0.00023311907944324577
historias,0.021454112655124223,0.0015992742945704352,0.013115693600897134
great,0.0017674142146508049,0.060354171344877264,0.00016219311420750864
crowded,0.0022722431045633165,0.06687596271675296,0.0002769460942836915
concurrido,0.02783563895277324,0.0025221087615576064,0.04731019287603752
besos,0.020737675124041496,0.0010394674726087211,0.024005702070130898
besar,0.023854017458501506,0.001195470546228907,0.02555365414400626
beautiful,0.001481766844089574,0.07001432486681074,0.00237024776323654
atractivo,0.022299044028406337,0.003027671193253664,0.010640909522365323
ana,0.018649213570325056,0.0032755740347852006,0.025202261914503685
went,0.0018166730022192532,0.05633888222256829,0.0020893207357965903
well,0.0011073188924827168,0.05989197896026528,0.003732543880397778
street,0.0015108638041921986,0.06286281124657864,0.0030440479182814945
pueden,0.02542537176395582,0.0027148966403152605,0.00022337589702471896
pictures,0.001946343072896301,0.07940552555464755,0.004489747504447634
lovers,0.0019120701619488275,0.06883601100337786,0.0037824592127618513
lado,0.019743236902427713,0.00160547100967104,0.0018118607086196514
julieta,0.021699230979117964,0.0032194345920621777,0.01740758675219674
history,0.0025537302685210883,0.07430482591685299,0.002022727142155221
faltar,0.0321844406871165,0.0006564650464440318,0.023805483807914342
contar,0.025769490755118866,0.002676616225326692,0.02481944837376604
/,0.0,0.0,0.0
…,0.0,0.0,0.0
walking,0.0019487410954196877,0.05812574321797872,0.0036043362659711714
vendedores,0.016500801029411805,0.002973435045985676,0.028872664525439865
veces,0.021900110198855273,0.003106437914585734,0.017365961600753523
menos,0.02103035442654937,0.0008566393974688766,0.0017985473083636833
many,0.0021145129137544157,0.06873159054253541,0.003061631190015619
llena,0.026001908061168845,0.002338217136638638,0.0033421486409179156
interesting,0.0015004178516796862,0.06772830503934081,0.00198784400577005
forma,0.02597926037417758,0.00037913431986862426,0.020747679402702328
cosas,0.019743528071715744,0.0017578318553571257,0.01051249229478968
contarte,0.023432869321714976,0.003452838991292318,0.012271895581581248
conocerlo,0.02238142520888998,0.0024994392528660545,0.005567397405899517
besarse,0.021285251604631142,0.0032393120331640035,0.039108970039036704
atracción,0.01784594560966741,0.0008364858873846953,0.01585435944832068
ambiente,0.020948566514918245,0.0023364969016898517,0.0013444568504306393
alguien,0.019612467940615476,0.001753342696136553,0.0038372243772159488
?,0.0,0.0,0.0
único,0.018697001618479828,0.004025455089160739,0.02810930389740277
way,0.0016202259352816606,0.05710125767384516,9.794538839510377e-05
toman,0.024806565688427217,0.004209488521739477,0.005313589550649209
streets,0.0009798503535552094,0.048481609746869686,0.0023839524314640606
step,0.0025944441420041263,0.07374370966443719,0.004471002967587576
quieres,0.02403770596733683,0.0032935431697148883,0.004988789015509485
perder,0.029447676185635766,0.00163998762437421,0.007768886726813326
muchas,0.02327308778300274,0.0026614543906069202,0.025724529628945114
much,0.0017365888760693601,0.05758324625340031,0.0019587099385412958
local,0.009935064108199944,0.0384080393059357,0.00451882419578731
gran,0.025851295749486608,0.002667629363802846,0.030473223165207137
dinero,0.01260341972817779,0.002565149967156426,0.013907538567681208
cute,0.0015643138813764678,0.06079474655366299,0.0005460985023890492
turístico,0.022603372332452274,0.0005944696997231302,0.026957815631529467
stop,0.0010934979280764242,0.06322578209575115,0.0025264644710796917
recuerdos,0.022174925462490447,0.0035969356632714654,0.018932080572132432
persona,0.020936475155860952,0.002479866696961001,0.0068892281930487695
experience,0.0027912582026125552,0.058681405444134915,0.000841328536722195
dice,0.018511955249447234,0.00046696689645856203,0.0378423726402386
definitivamente,0.028640100360276685,0.0016287847684650536,0.032823675290131034
bonita,0.020910686934127336,0.0022087906881111175,0.026692241862693183
spanish,0.001956896113932482,0.03830795417174884,0.0012243538357815684
romance,0.01657964901333907,0.00527586206383189,0.014763500763384606
parada,0.024113443146744823,0.00020048493300573266,0.015154816326511257
mientras,0.010626210485683334,0.0007097273049306751,0.003756114918741717
luck,0.0016095426513835184,0.05433833393286902,0.000806808597721351
histórico,0.022827106006226158,0.0003710339946164143,0.0003466029822503692
hermoso,0.023942217131510297,0.0026251353030149857,0.026893006242332613
descuidado,0.0180514632248809,0.0015875224031049664,0.035170642273923296
cualquier,0.017797539784194995,0.0013202122097272558,0.004113985618581637
comprar,0.022389230323388618,0.0023030971519709792,0.01104418298565882
candado,0.020791811305501933,0.003239282511266236,0.018367774929359353
bastante,0.01841068466291818,0.0012838081517982578,0.013735784313225452
15,0.020261222659811964,0.012786548232028312,0.03330897503742722
..,0.0,0.0,0.0
visitas,0.02269554970206061,8.020801523348716e-05,0.031133514005266746
town,0.0012302558580025325,0.0540578829960961,0.0021094449362540958
toma,0.02025599947383059,0.0025550643203386923,0.016522231305036293
tienda,0.014878883852337873,0.002228303424082137,0.015250278895879661
linda,0.021499772647267476,0.0020949884215598733,0.007687713723262926
gto,0.012094005651189621,0.008831272726354982,0.02194398144037102
escaleras,0.015116936097161708,0.0018109956656821582,0.015443530494974779
encuentra,0.015224017268036814,0.00041239854009744655,0.0020918434055362334
colonial,0.017170705984633692,0.005648532747527104,0.011423035604975642
2,0.0,0.0,0.0
¿,0.0,0.0,0.0
vayan,0.01784964586704298,0.0006768388421610771,0.004906340689927642
van,0.02060732556541265,0.0020682427938216123,0.007729816596032004
us,0.0013003690925813777,0.05113874721186081,0.0006818325545124374
sure,0.0011829116745463906,0.04491390656489495,0.0005524858602031972
souvenirs,0.01552835331890329,0.004133538023096807,0.008491841723489326
