Words,Topic 1,Topic 2,Topic 3
00,0.0035448235251014813,0.005438671613208442,0.0035527803436241167
10,0.006385075207620461,0.0021932655705866545,0.01716226564288876
100,0.008113315675301326,0.000658003446077387,0.011357942098988567
11,0.0023973488574449936,0.0032812481165160412,0.013166209204801372
12,0.007704807876684748,0.0030216315588573565,0.010811156391119459
150,0.006163536188480214,0.0070241917234250065,0.010713857384522598
1800,0.005069421393485272,0.005807310117265054,0.00412421849503271
1886,0.004189111062153873,0.004026793771342105,0.0039507996120790555
19,0.0006946605800491043,0.0009495688423430479,0.003461633238575109
1900,0.0031333994711358745,0.0031534706257691633,0.0015557758869674462
1947,0.001523823865294807,0.0017868601012904972,0.00030987783812398055
1956,0.0029275467460968033,0.003586349276944685,0.00198504929688879
1999,0.0038300408233397447,0.005317636312366307,0.00017012989421489322
19th,0.009874827093932358,0.011870731797596118,0.0022576621649854456
1er,0.0016168938973410694,0.0020357038263198427,0.004113003916497186
1ra,0.004051407171934611,0.0038582802518320656,0.0019004076432124475
20,0.035955255073409506,0.015490201549678694,0.005294301373977723
20th,0.009685374716301568,0.012187703764825515,0.005920035901531754
21,0.0006946605800491043,0.0009495688423430478,0.00346163323857512
25,0.021737940373251705,0.0037443681972394115,0.013472938785978513
2nd,0.004647486534052759,0.0052317699424630605,0.003199495524079371
30,0.013176829770941586,0.0056575527040119145,0.0008459026198349551
3rd,0.004647486534052759,0.0052317699424630605,0.003199495524079371
40,0.0017107931688187417,0.0022459875780841553,0.0033860696556373346
45,0.003311416972675027,0.004351126691746794,0.0005141420869898901
50,0.004525810408986093,3.535240923537191e-05,0.007761857095014468
500,0.004401543495573795,0.004832957234997841,0.0016387757680025854
6años,0.0029975210382647494,0.0031391145559579487,0.012663652128181706
80,0.0012631801734244615,0.0013954827630726452,0.004339303694234626
90,0.0012631801734244615,0.0013954827630726452,0.004339303694234626
abierta,0.0035986555004321845,0.004870753494414334,0.003811535194276431
able,0.01504663796500712,0.018317139904031755,0.007857111848630418
abren,0.00018614085174067636,0.00028576239501395157,0.0017196758952141003
abrir,0.002005865841297577,0.0012417452738407273,0.0020440471381156494
abrirá,0.0024730176140852133,0.0034193028325985348,0.012330961280330788
abrían,0.0014085613884850968,0.001870546105461659,0.000349579369299691
absolute,0.004200763737877581,0.005887242384723558,0.0004070871164806127
absolutely,0.007051795081944031,0.008941829277849915,0.00590722056239563
aburrido,0.005991450637905352,0.006705446674371576,0.022082408807245796
acaba,0.0034393151921784703,0.003902847868293452,0.015187578011017782
academic,0.0027231291674982387,0.003479092660424463,0.0025077709278446617
acceder,0.004234858939367991,0.004899162804418378,0.0054548051483855175
acceptable,0.004522279195600698,0.004846762047330711,0.0047376436785636555
accesibe,0.004681167394526661,0.005529061104685743,0.0013490960647105973
accesible,0.015655892996928752,0.012198249395697679,0.038195118455635564
accesibles,0.0051355843931997994,0.005870059786492214,0.01616364868824677
acceso,0.01755255899324008,0.01769220385025963,0.0033784125232199104
accompanied,0.003599337165357563,0.004628844612147033,0.0029736492136694767
accompaniment,0.0024901862659803507,0.0030468485825807406,0.0009739841376712733
according,0.0037383237796000408,0.005624032570527244,0.0016684067729415392
acerca,0.0013496539070078813,0.0014918425327235649,0.0025113672990062005
acervo,0.006782034308802068,0.007287270086202447,0.011191358317745726
aclarar,0.006115073146236025,0.0074129660885137155,0.015586585372449356
aclaró,0.002429102674640767,0.002629063150148508,0.005197081512219193
acogedora,0.003167670030316126,0.004329968097575646,0.0027918455456707714
acomodado,0.008304994324888805,0.007866031375943952,0.0006350031962064109
acomodados,0.0023973488574449936,0.0032812481165160417,0.013166209204801351
acompañados,0.002859833110127724,0.003197462857403181,0.011045566654185634
acompañaran,0.0015743304022068521,0.0021138679992784657,0.005191126150391117
acompañó,0.0036924312310808297,0.004194354969110483,0.004595501917277712
acondicionada,0.0054287267011483885,0.005509380936384563,0.0016352865728288281
acondicionado,0.007914255051730436,0.008663232817332448,0.007688851655896081
acondicionaron,0.0032110974517544667,0.002703217487153541,0.0021389587197275252
acorde,0.002207038108542036,0.0021094510413235076,0.00500340042050059
across,0.008719308285906693,0.010827365886160881,0.0013089036720403044
actitud,0.0016168938973410694,0.0020357038263198427,0.004113003916497186
actividades,0.0013868412199819673,0.001734692606183443,0.0007897725488228524
actor,0.0029975210382647494,0.0031391145559579487,0.012663652128181706
actores,0.002005865841297577,0.0012417452738407273,0.0020440471381156494
actual,0.012430920656266907,0.0036059808220719317,0.007061087916027326
actuales,0.00687388423159815,0.006217803261578638,0.023966418485845287
actually,0.008683983644896818,0.011666306485509963,0.0052010597543500365
actualmente,0.002752206581655874,0.0031121674424892457,0.0030569003286394798
acuarela,0.0021510047531917366,0.002877293945120688,0.0008354835672203117
adaptado,0.005074729819334065,0.005799281440496735,0.005079375969412493
added,0.01052722205823252,0.013732689275003884,0.005490433493571063
addition,0.014629918887845664,0.018324648559957656,0.0010817783619288097
additional,0.0048173677088481906,0.005826576093113123,0.00031788147317160547
additionally,0.0034389158630063394,0.0048878521265795696,0.0030595227288314378
adelante,0.003661504438806579,0.004881221290243224,0.004144503747728382
ademas,0.0272741639034515,0.029700298799655293,0.021239661925056868
además,0.06577173578388618,0.07364706587508987,0.04429171766198891
adentro,0.0034517117627958786,0.002424396025278754,5.591980904043239e-05
adjoined,0.0018258410305029558,0.002813870597632154,0.004133933055933364
admira,0.005182513545372203,0.00458116406959355,0.0015902933044883694
admirador,0.005500435529564345,0.004841208894779689,0.014938197813271617
admiramos,0.002852075974409034,0.002724101936274197,0.0025486465141644037
admirar,0.020589096094624566,0.022224397960455552,0.07030526771703484
admirarse,0.005370853176918717,0.005795195101812355,0.007912067315810409
admire,0.002416533804050978,0.0037620531453915777,0.0017006092506522646
admirer,0.0020844343674032333,0.0026251579497040527,0.0004930744975516086
admiro,0.006772734775672905,0.00522377823986119,0.016506943166293073
admission,0.009368838304891209,0.01194496844008027,0.006956787395626047
adornado,0.00457772515821924,0.00399390796843091,0.004987334689759749
adornan,0.004370785025994352,0.005817116250441867,0.00598548718204873
adquiriendo,0.0033331137479335866,0.0033968521640840104,0.011858210051789834
adulto,0.012899790761147082,0.014368418318486816,0.005574972189882637
adultos,0.006067169809359964,0.004474297568144256,0.012793621087409921
advantages,0.0018953694749182827,0.0025976980122873294,2.1587678921081655e-05
advised,0.0016319178990900967,0.0016056610946091855,0.00012061564474218401
afamados,0.0029441035003888844,0.0027255230837137266,0.0004120705700883305
afecte,0.0026732198216696747,0.002021663475821928,0.0014085417145316605
affluent,0.0021123318989591804,0.0026535991213183707,0.0010503276507123145
affordable,0.002702392628684709,0.0036371497021408508,0.0009971365231555888
aficionados,0.004497989104383395,0.0041850790815503094,0.00014141338866874954
afortunadamente,0.0024714057922700615,0.002602550783407565,0.007642064154914688
african,0.002416533804050978,0.0037620531453915777,0.0017006092506522646
afternoon,0.004661413866496688,0.00555029336035378,0.0006713604931576727
afterwards,0.003276776042863707,0.001957134731306948,0.001670864395091036
age,0.014104354835458199,0.016839800151622415,6.259493173852832e-05
agenda,0.0032596739977456255,0.004385606686026285,0.03405994686506596
ago,0.004273048524362195,0.005130579749183242,0.0015358682338807628
agradable,0.004549986719905603,0.005265478008316746,0.0019076598520889774
agradables,0.0035532877597087243,0.004245099606733776,0.01184924037710889
agradan,0.0028043021666002816,0.002831442668545512,0.010463920122762782
agradecí,0.0021608459386674834,0.0020534151269979923,0.0010970334709151023
agrado,0.005497600807698453,0.006529076963622231,0.0044019965080724826
agrandando,0.004051407171934611,0.0038582802518320656,0.0019004076432124475
agregaron,0.0040728891786099486,0.004251247864402818,0.005672273027818378
agrupa,0.003765309552039927,0.0035447731255418826,0.0010634750890681063
ahi,0.013271004611531162,0.013918746620342898,0.009629717341419593
ahora,0.0077595064761969874,0.007935765437770479,0.00252330096466112
ahorrar,0.006251542765486014,0.006176570995590056,0.00432589387371341
ahí,0.011772486064342358,0.013113076209487163,0.005894351888592742
air,0.0015039769088039901,0.0016755070810357644,0.0009928310632590991
airbnb,0.001622550178566566,0.0018074651980609724,0.00033561963674871636
airconditioning,0.002179466024511947,0.003414916995014283,0.0010833562111104804
aire,0.0022978896816016315,0.0022112773287943184,0.002287057422734592
airy,0.001678952532898935,0.0026808663724138464,0.002736557445825444
