Words,Topic 1,Topic 2,Topic 3
the,0.5048089615790899,0.040111578268211004,0.03502374576902878
and,0.368607950040609,0.029150334302618236,0.014049989172817726
to,0.2463495704705249,0.01918244353980009,0.003069770917348062
of,0.24636692016883585,0.01689597944124278,0.010235667540990218
lugar,0.011412660664594673,0.32137488094857586,0.11937143872693529
is,0.2385615270988939,0.017316395419968433,0.01965036366998248
restaurantes,0.011651999861569453,0.279814265397314,0.058299845852835985
in,0.18314110230259897,0.01225030504198567,0.0010172475935282018
guanajuato,0.04453511766645858,0.1707531307638144,0.11560998644230328
teatro,0.03520403912243662,0.19001777668406075,0.2397433017593947
!,5.271596723232509e-22,1.8278337975289498e-20,2.0183742033756603e-18
jardín,0.01476010268280484,0.185050076470346,0.1568426010963295
jardin,0.08539746498237312,0.04762752684411034,0.047483413291301846
you,0.12267307268870488,0.009963576255171712,0.012597497864367964
it,0.16708560605329367,0.012297732189576685,0.02107594810415035
ciudad,0.006909847325590651,0.15782125276547593,0.2519228480312223
restaurants,0.12039198362702397,0.0018035971653186846,0.0013063501065074612
plaza,0.047338830259512375,0.08628303994720528,0.21261829354426978
this,0.11230838558137429,0.008849166792252623,0.006517471206639015
people,0.108203553942565,0.007932392490931304,0.005306782761011628
place,0.11248342024647495,0.009234240369163968,0.002199129352112789
gente,0.004970184475686939,0.13347703339709946,0.056422509896499495
noche,0.005349126351866952,0.1281676948793351,0.02955244142677074
with,0.09656258942711447,0.006989339565769192,0.001315539781400647
are,0.09047509493214191,0.009032587763013761,0.010239133641942694
música,0.004881887086682324,0.13681103339215092,0.13056880853302658
centro,0.008511490740687336,0.12524797893860942,0.23359037362346285
ambiente,0.004905054297267646,0.1338916346867338,0.07980471918566649
juarez,0.041760793500724994,0.08936583358042784,0.12159639412513734
for,0.09091631190562928,0.007402249888634846,0.007884683330970406
there,0.09111766226826798,0.007377589664018828,0.0041016984139101475
at,0.08728092087189528,0.007695039621392666,0.01565740354611946
puedes,0.004899079784932293,0.12354258775994072,0.17281210887914616
(,0.0,0.0,0.0
i,0.0,0.0,0.0
by,0.08993543508610993,0.007356622101985384,0.0025954955283308693
on,0.07264937311262337,0.005008539970268374,0.0025871970817187267
bares,0.0046737267440844586,0.12326210007647696,0.013303667712082664
),0.0,0.0,0.0
or,0.0781866503689197,0.0055673283553596105,0.001485432292288845
music,0.08538357210788511,0.007048857548182441,0.008846024400488019
around,0.07497743093787951,0.007469552234341468,0.014633031006502565
juárez,0.010470425959789663,0.11747348344680085,0.1401021199341755
disfrutar,0.004745173675925885,0.13581141578710518,0.17551199498782413
comer,0.004470280585378857,0.11780734389633014,0.15686894687132946
pasar,0.004481883489631235,0.11489171402087266,0.16192081006790476
...,0.0,0.0,0.0
alrededor,0.004942892036371936,0.12504671698009318,0.0747105234614238
mariachis,0.01639372439158982,0.08064321290808919,0.03309113887199902
mariachi,0.04957566976639832,0.03774254904854883,0.05583432475974047
bien,0.003418454850580235,0.08216211706481859,0.04304234912566674
all,0.06930785467861877,0.006152605345690793,0.00851420883821431
very,0.06305657668896603,0.005753311289596479,0.007146678515072125
agradable,0.0036419552148393573,0.09841446130778765,0.042107267473855035
can,0.0668104163774572,0.005364604742675866,0.005933502496736549
but,0.053782146173383276,0.005279804195981095,0.004724046493119754
bonito,0.004885462819137072,0.11620571056462675,0.043116849054396875
hermoso,0.004356201517368557,0.09773441840471457,0.0027405679905483514
buen,0.003558263235550865,0.10996637283578761,0.136464390239724
beautiful,0.06369662867573328,0.0037754487553066656,0.011464728543219047
lleno,0.003993984217257067,0.10736337711547891,0.0003661775209127525
rodeado,0.004418584998886068,0.1032171104289746,0.05826087715666464
one,0.06119798424604563,0.005284983139391569,0.0038214710398169634
ver,0.003214809627500631,0.08431110520734918,0.060098110910687785
great,0.06815238312365507,0.005166783969890443,0.008551422683520759
from,0.05193920309189531,0.004018582324866371,0.0005981683912936458
tomar,0.003169103684525417,0.08730951268547497,0.11520244091061742
that,0.05465623746668989,0.004075979069090427,0.0057358866714291405
just,0.05834131822773995,0.0044883404000278125,0.005694770235593746
it's,0.0,0.0,0.0
watch,0.06854320740596755,0.005559069641698653,0.0020035653187672085
union,0.0490775031413854,0.00773997509336577,0.008222173410871857
si,0.003410341684866039,0.07059169656852542,0.016623112658549412
have,0.06139227584954374,0.004546414535106637,0.006166175386773353
was,0.050346960672098644,0.005187699893320023,0.010117930503599814
caminar,0.0029378837009782963,0.08209265777784537,0.0993945850073633
lugares,0.0030435223138510705,0.07546505035804235,0.03680029832467151
frente,0.004873671808172021,0.09534957387836199,0.20722753799061625
city,0.04966265957816793,0.0036712431127001017,0.0026739470018091625
callejoneadas,0.011372371178361427,0.07756053280311015,0.058994650027606906
be,0.05236015346722766,0.003373701322103204,0.0038077287465710027
punto,0.00320781438691896,0.07086997285193515,0.06310220161674165
vista,0.0036732991579057107,0.08637547684424404,0.054948720441420275
siempre,0.0032180963918130925,0.07790689548746639,0.05052993140532278
if,0.04885377218384456,0.004310994089693637,0.0023770644038601492
escuchar,0.00315373327807408,0.08514366482941123,0.16436289073670066
as,0.04826156674970633,0.004488290786854601,0.006080659868453196
night,0.061971153662134265,0.005189012774591462,0.008287826390739049
nice,0.05334266970162744,0.0007034635950152881,0.000586690047166652
many,0.05662487030703226,0.0035055020419691614,0.00035468897721416774
excelente,0.0032501964352785588,0.08907532971711565,0.10029655471669534
tarde,0.0030793056295271054,0.08164865787067854,0.09341999181792728
árboles,0.0023774437683269896,0.06006383743507075,0.04269670107199366
unión,0.005920770071646643,0.06629938624037934,0.055800281882808465
estudiantinas,0.007539794112126369,0.0615739217207951,0.05837518106024484
descansar,0.0033975045228564326,0.08287165837754142,0.040211068262495285
visitar,0.002823370103775462,0.06835594135215392,0.020828240806399514
trees,0.05271116676502776,0.003346558581330998,0.00893624929554288
sit,0.05529164867387987,0.004860294079922304,0.0025008532260366247
area,0.04661268040207586,0.001469404679822159,0.006861842912231481
not,0.03808636912168863,0.0032645735252231326,0.0014014112327247754
vida,0.0026103425044877076,0.06955217587403649,0.059836053545746185
they,0.03253421673421919,0.003169234518216767,0.01098800357074437
ir,0.002437891697408837,0.06872631324953482,0.15627194039958361
here,0.04619405006652262,0.003988826825123182,0.0016631152483218069
good,0.044582269578635036,0.0046873613964689914,0.007087149529211132
día,0.0021203046967131125,0.05350113634874735,0.01673753738018963
we,0.040543573344141645,0.004036806725857076,0.012840361932750236
surrounded,0.05746345126121675,0.004375795120781188,0.0024183781038877943
comida,0.002991582589876915,0.06842177880924803,0.034675293814641864
ahí,0.0024100921726058163,0.05815904019475358,0.04230033238781572
so,0.04060653716110456,0.004017332388632118,0.007395433409004759
mejor,0.0020626254870064016,0.05191706216399456,0.011562891106758838
turistas,0.001993658715887076,0.04534047888860678,0.05835564543919355
time,0.04146112388719863,0.003464753406570472,0.00737189481973757
square,0.04283441690234109,0.0015650589444322,0.004170772234827099
puede,0.0016491194746972404,0.0502319619678986,0.015505131382525333
pequeño,0.002516528275377866,0.06091768122163758,0.06621774243975267
hoteles,0.005499637265430782,0.06673540363878637,0.09203366844114585
garden,0.03944604670694585,0.00045350232149312574,0.01322553908646151
an,0.03897430821832695,0.003385700089825803,0.0028429297769234545
where,0.040267189855129636,0.0026574750439255696,0.002966615800251632
rato,0.002371002984591461,0.06277195793010741,0.06682311770655774
out,0.0399400927395646,0.003552994153153337,0.006486816912397045
mucha,0.0020975603902695233,0.0580706952724876,0.014393065630068069
mas,0.0023714893384626117,0.04036136980560627,0.007483037195213826
ideal,0.002224395149264717,0.05968096937371023,0.01968892661552653
go,0.03880536338472138,0.0037609793379776756,0.009508928240530318
benches,0.04435218370235659,0.003840066847255823,0.0017371951660143496
were,0.027787408634617875,0.002813510352821862,0.008039508400959945
café,0.002312698405738162,0.06415155624944426,0.12522976280238976
cafes,0.03138582373751436,0.022239285582251387,0.020433785749930475
also,0.036921343226537194,0.003591508609493334,0.004178337903636553
watching,0.044531566249054376,0.0034617823410182475,0.0021635268590378767
lindo,0.002472059824005538,0.0577382393448346,0.037597080713339746
grupos,0.0021914925575616875,0.04914240370378066,0.03194424411623845
buena,0.0019743234511206856,0.043670251064232606,0.03841536288481196
-,0.0,0.0,0.0
tranquilo,0.0016721454408836478,0.049861522538710984,0.04160830610213482
musica,0.00233048243139996,0.058602216238709454,0.1235963986852313
get,0.030142429282787476,0.002739678632765788,0.0046493304295015655
encuentra,0.0020564230462620735,0.04943658590094753,0.04123995486972304
cuidado,0.0022835352880877006,0.05097301975537219,0.02316269496362092
vivo,0.0018334895832127958,0.0534093534224567,0.06280493267554203
visita,0.0020867794442255496,0.052701287326207755,0.04435910104177405
sombra,0.001972809449497588,0.046314082761955144,0.04015052553258619
sentarte,0.002151257857806049,0.05427112582804979,0.09658858231787583
see,0.03958440750691282,0.0027727287444616745,0.001777436478711604
pasear,0.0021702289367731267,0.06215364276922011,0.06168014935052796
lots,0.04259179207203739,0.00264377252494636,0.0048826169267309795
locals,0.039424570709304364,0.0030687470391854597,6.63489076839127e-05
like,0.03293812199088099,0.002853910334915816,0.0032052396083623153
day,0.03560348613180441,0.003600212772915848,0.00418965658278512
varios,0.003784728593613935,0.05435628203831825,0.025784223471826066
parque,0.0013920722864857885,0.030847002800522206,0.03155798313666783
gto,0.011795475935110884,0.033908081836267825,0.015145599254523842
drink,0.03906165710787719,0.0029025238432344243,0.010320141708700792
cerca,0.002249833451439535,0.05562846135889983,0.007845275649733377
central,0.01550462976928349,0.017495279440303012,0.020650202360132035
aquí,0.001432070730584058,0.0381571394185473,0.016330880514277793
well,0.03605781309518695,0.003530332423857033,0.0014968837947325145
their,0.027065295429631913,0.002237787818170688,0.0023206853927127268
street,0.028739484482287588,0.0012082710552857438,0.0016931322254550099
some,0.030568574376570335,0.0016846035981776621,0.0025478454461445718
park,0.03190756947480616,0.0024653301564844634,0.001799564665629703
my,0.026328923504786873,0.0021194925217605477,0.000503865322074344
center,0.03619387203472287,0.0026827636278016036,0.0008168045304528539
always,0.036942033415556144,0.002390667830611269,0.0031840872709942994
',0.0,0.0,0.0
when,0.02320583087037046,0.0017465842924955194,0.0031114854759186103
small,0.03152043356539484,0.001906593434034734,0.006493972629962418
sentarse,0.0014138580703479402,0.042571272475190394,0.07338766208133769
san,0.008556724645265204,0.019528232544191875,0.006499513583996915
enjoy,0.03541090267654536,0.002806459280927387,0.008958160261245442
enfrente,0.002454683950323277,0.047655666918002056,0.05379771701624201
bands,0.03366646509811632,0.002695035171410969,0.008352010081806959
además,0.0019825996418993104,0.0460868344914272,0.047429451560703315
