Words,Topic 1,Topic 2,Topic 3
momias,0.32053307662246566,0.02051675476748702,0.0034632682583546665
museo,0.32910905499996995,0.026821832464805594,0.277980272877894
guanajuato,0.22209374769486637,0.08767585425106722,0.008465047566100031
lugar,0.2156979532486162,0.023628574916160567,0.6806829352793536
si,0.20471656388568812,0.02026138225234851,0.06409821830683322
museum,0.020098933057576346,0.3658765548730558,0.004949990802307201
mummies,0.019295841374925127,0.33759340960334716,0.01712731048720364
ver,0.16860773038686788,0.018504841893547768,0.06610922814906835
interesante,0.1588502409098802,0.01891846057422015,0.03996415476158885
visita,0.14942711389713265,0.012706473518982882,0.03165467559709182
cuerpos,0.12603383490689143,0.01276260446125068,0.006840628817432496
bien,0.14164707720609646,0.019143408264003955,0.02578817605048337
',0.0,0.0,0.0
historia,0.12422303458348193,0.013253236309771082,0.08926884521267814
recorrido,0.12098082106771729,0.010607214861607107,0.18070190898527524
ir,0.13569153065811743,0.012731864094160647,0.0021958458539152554
see,0.013457364101499045,0.21676108455370424,0.013478776856185768
guía,0.10566409491065745,0.01156413893796558,0.0682884382716346
ciudad,0.09542067083261316,0.007343676380210282,0.004273143553079007
gente,0.0916891238404963,0.009865227359674874,0.017066021925264466
pena,0.11554658861325758,0.012575226460117278,0.21455562790232877
people,0.008358031438596775,0.16851755890137743,0.007907135894160642
personas,0.08078981276037282,0.009224257506564837,0.03697867706201055
vale,0.11376107036529093,0.011667093932438631,0.1977950597741465
place,0.009465347993584653,0.17387645956033201,0.00442440048351151
visitar,0.09693930375895235,0.0075172792017699575,0.07245820628790858
bodies,0.008387498375946963,0.14555629745530327,0.00042264655573410575
tiempo,0.07751923432557092,0.007605809382496847,0.037813011322626294
visit,0.010871175605711068,0.1657142968929378,0.00043781115746959544
puedes,0.08887687480585363,0.008058599757268515,0.01862461822030371
interesting,0.009110500037490902,0.1589385366853616,0.005756689030082267
pesos,0.04456521654551265,0.04555708316069738,0.03362497905494595
hace,0.07818807857424417,0.009771775747400189,0.038120786304409765
así,0.07101432830308595,0.006965718578533672,0.004729079161983941
momia,0.0644560862400108,0.00641291698693786,0.02903229084846154
minutos,0.07333584302700141,0.003009959760346008,0.14727365447764007
tour,0.029220158163327414,0.08510260623358007,0.016861020674146524
entrada,0.06767541843441495,0.00460400681729221,0.009696805347529314
entrar,0.07255786041545494,0.008140235415337819,0.08861213996387071
one,0.008268986609539784,0.12967145305721076,0.002276137013235362
vez,0.07264057276240986,0.007493338675628118,0.02901702629048822
niños,0.06264177797369685,0.007816430727481161,0.05869581528454341
cada,0.06695618054895572,0.007334608254129183,0.05979176385828241
sólo,0.06458157011549744,0.006966386363363046,0.041562925824761954
like,0.006865347559962132,0.13330373029136036,0.010298199943208526
get,0.006143300964123532,0.12316491292556782,0.00041392538952420666
creo,0.06592527602278045,0.007809099433715193,0.00029182564851304253
conocer,0.08607550719731683,0.009100975037082822,0.017769044287169494
mejor,0.06637479927385523,0.006774522265850865,0.026645110432036562
aunque,0.07243090817874064,0.007318651745894465,0.0449961281046469
verdad,0.06767315971510578,0.007407532563472785,0.025350598067720068
guías,0.060374248276707516,0.00601510376162125,0.009170350779329697
recomiendo,0.06572319926576274,0.008055435468055861,0.04119354393527156
explicación,0.06600905195347073,0.00672215087475319,0.042632386257106525
mucha,0.06480698942151285,0.007956568047638186,0.036878824658244484
puede,0.06517065281222657,0.00674427655536281,0.012862747568329263
ser,0.05573121137164985,0.006523140001374875,0.02611733639593784
fila,0.06423716451620716,0.006479520942036034,0.12068328218750671
años,0.05826099677147137,0.006860365118150322,0.04335806216160033
tan,0.05420171827634981,0.004468266251605826,0.021975467660284017
mummy,0.0062740865356136185,0.11631940598641861,0.005665052157363375
dead,0.005013702936796803,0.10668905592052857,0.006250026268314682
time,0.005590371149655296,0.10010360783631247,0.00038859295808448463
go,0.006718112772865391,0.10803216916358481,0.0011256379615138168
?,0.0,0.0,0.0
solo,0.05310334642753599,0.005322309981847706,0.030307727199140613
take,0.005322617503593355,0.08766971327032787,0.000857994973437721
hacer,0.05672360068133643,0.005942827271515402,0.0539407400014731
parte,0.05844520257899782,0.005576188979896185,0.0027287907955039934
impresionante,0.06905391096739459,0.008600725097111817,0.039492872428384056
bastante,0.05935553211992989,0.006353191307282401,0.03615767286792148
20,0.04309933527069582,0.029693680718437022,0.07442995648392617
really,0.005022538677826468,0.09906425529413859,0.00016116508114352352
well,0.0058870048568173405,0.10196450170221946,0.007591823314146045
menos,0.05645563045699312,0.00567496543875569,0.001128905683592433
mas,0.050643828238965856,0.005062130561992231,0.009546364861864989
llegar,0.05102959589913412,0.005116974262310253,0.006891525174208678
pequeño,0.06172925571842556,0.005270583213737832,0.08113847135863744
falta,0.059535159901197385,0.00619918687570971,0.039853465537702776
muchas,0.047686614809659036,0.004666099396830143,0.0019495375981879739
experiencia,0.0461691581892544,0.005100237452969044,0.04030008979908925
worth,0.0045943137714925305,0.09252501210859766,0.0034047824950692632
además,0.048074591582639735,0.005170196352204073,0.026162187815111367
momificados,0.04319508792911031,0.0038204000732955552,0.013934688697787278
cadáveres,0.03977691364741598,0.003912617926513403,0.018239472412996137
ahí,0.038709368598246564,0.004358104469206254,0.029074609591244447
30,0.03679207575267826,0.03522108207580393,0.023487420622119334
tomar,0.046420834156671045,0.0040927173871586,0.019458028861291356
obligada,0.05764035261358115,0.0039558718078708255,0.03208627527617694
many,0.0047268525457629836,0.08604266395414509,0.002192815163067694
would,0.003971840676854151,0.08043273170578884,0.0022034337257036663
walk,0.004630826994533832,0.07690279169194854,0.0005070574500302433
vas,0.06424351253515798,0.005431464113679696,0.0037321158382578063
realmente,0.04997081543165547,0.00564086165577723,0.002338280881828611
centro,0.03459992229747527,0.008425994845087983,0.020058933447810616
gustó,0.05336665433259846,0.006001190257861703,0.038337352474285026
buen,0.047669489633451675,0.00473093209198823,0.08251951940259532
natural,0.02871528161792562,0.025626583037360356,0.003502911800454844
must,0.013983905972729601,0.10014480175270962,0.005780691269885468
lugares,0.049049056035405166,0.003606215783457236,0.011193849618325058
hora,0.03843360275488583,0.003323086847914164,0.07073874481883309
historias,0.05144456128616439,0.004617417540783381,0.0539011703328723
cosas,0.04305228154638609,0.004353574902486083,0.015589393496829782
atracción,0.04253599169567912,0.0049371964591390545,0.01902610381949079
todas,0.041824178775844045,0.004795225346269307,0.006188593135900586
pues,0.04788503819280365,0.005111283544810331,0.015148760924137514
preserved,0.005019153454028676,0.08670079731476808,0.005594991304919281
cuenta,0.045628118171649065,0.00440798238898635,0.022954203503732257
bueno,0.04002048225176046,0.005096661771166924,0.015500495552088801
proceso,0.0431391798655966,0.0038041051762837145,0.008999311159845267
muerte,0.034897841661820965,0.001910369908323995,0.02965249894792372
fotos,0.03854929923381506,0.003592525379889355,0.005499046856867011
buena,0.03985117607199563,0.004386086628038019,0.013528739775908741
embargo,0.045666984840237596,0.003934936422294449,0.008817002966392604
children,0.004088089497074392,0.0758916632396892,0.0021273840767254432
visitarlo,0.04794351274077727,0.004452633643764357,0.012193772265756376
spanish,0.0041526010944232,0.06607789204074517,0.002775429131004205
parece,0.038705188053696944,0.004862631676842803,0.0032765329133483
mundo,0.036338114713655015,0.0023226208679504308,0.03596615780639575
minutes,0.00470396929638388,0.07133561657493667,0.002420972758272871
gran,0.04142577004264333,0.004563309773321929,0.01322673028002734
exposición,0.03904711545699202,0.004211057979168152,0.0010116148893328967
excelente,0.0509378281821669,0.006474281412729492,0.0898388638460658
