Words,Topic 1,Topic 2,Topic 3
historia,0.3957099011397391,0.08264160801961645,0.11017885456205084
lugar,0.317096418993379,0.06945780933796582,0.12839547057578926
history,0.052355838344733834,0.29716899537292363,0.0032603503457375874
méxico,0.3014147597088775,0.06693549656466743,0.3048623140487869
guanajuato,0.17568164332948308,0.03878697547171533,0.18956542669109921
museo,0.2054798375776035,0.03903629950775333,0.13060170302046548
independencia,0.2158686182695504,0.04399958688530747,0.20496815406863506
building,0.04039117713694597,0.22940023619510067,0.02036142272546852
spanish,0.032135302128933216,0.17548971526705054,0.008692707260787984
museum,0.033472126670079684,0.19031559381762692,0.02067680145927504
mexican,0.0401257263276995,0.23419496155086447,0.013924374303557295
independence,0.035603897735176165,0.18559403240805544,0.007359180886072025
edificio,0.1400368538197731,0.02541018183007001,0.06800618977136667
mexico,0.05232135765682565,0.13087403141779724,0.060662129448861846
alhóndiga,0.12660800203148184,0.018698943102182283,0.05148317680204134
si,0.14242396817568198,0.025214674758195197,0.335129092276786
bien,0.15498547390201747,0.03496118703089426,0.019212870139854062
murals,0.024038597118902903,0.14484021999841062,0.001009891246439986
hidalgo,0.054894642330423224,0.0377094058741995,0.005122011990024127
exhibits,0.023698185235695078,0.14353915010315735,0.029152047767760134
visitar,0.15738023526401795,0.03447593431455783,0.0575576414609902
english,0.021081384361511968,0.13194387867570553,0.026906365505017224
revolution,0.022366654856744175,0.12986534200711727,0.004677971756743766
place,0.0262857603223358,0.16807029478458643,0.012931309091846076
ciudad,0.1531186066851594,0.02977412646887201,0.11191546172789957
well,0.02607682054266135,0.15997617674775383,0.021138187954555448
conocer,0.14570430849757585,0.028467857862434713,0.0007798836945011374
interesting,0.01912916984530656,0.11931202095044363,0.02138255059631539
good,0.02001531014345896,0.10609257156570087,0.00987431939959428
art,0.02311060821968151,0.11838211071877365,0.020625930336782092
alhondiga,0.024191151791971097,0.07079991906589952,0.04335492678209667
visita,0.09510955989148563,0.01491110748289397,0.2566273665238393
pipila,0.03774493302488456,0.040204837617340984,0.02383788530069191
one,0.017953737357306716,0.09775906099454806,0.012537264426673616
pena,0.07598258394802308,0.01534283952251717,0.1890288860563076
parte,0.09963033524889846,0.019046100768035118,0.03048124763819564
also,0.01534620089312544,0.08867681391467959,0.009407809955502494
visit,0.016566293345589636,0.10152388493067592,0.01092370790960923
granaditas,0.045939230555761955,0.021997779845080306,0.04514506751478627
war,0.014213689758468383,0.07967726806342357,0.003186969658300534
vale,0.07613119865852319,0.01633167875789836,0.17169273604770718
site,0.016391650608608435,0.09556694266024736,0.02006802208302121
much,0.015348826411419887,0.08733083689733606,0.008184475800319543
many,0.01549517248212293,0.09048345557375635,0.008858217784596101
gran,0.07589304396216671,0.014434079168318088,0.00535399755422472
nice,0.014687837535705477,0.08521843856744815,0.007115701748373002
-,0.0,0.0,0.0
worth,0.014789357817339449,0.0881287037079183,0.0022719517831453146
take,0.01117142052487122,0.05788495248213614,0.003096002937034903
importante,0.09115034205788282,0.017536929490409373,0.06700664156852613
floor,0.015700381472439705,0.07388081184233579,0.002642175960377134
beautiful,0.01653236909184604,0.09098418937062426,0.005041678037968839
tiempo,0.061356696144247116,0.012396570788398826,0.07127929475725651
salas,0.04307029071214775,0.008422992053635942,0.010073943207397105
rooms,0.011877935580629226,0.06788665690836064,0.0066472721515745984
read,0.011643856659500136,0.06403686520988418,0.0012542838261391334
mejor,0.09087536048072692,0.01977871085769362,0.00908955327139211
important,0.012270116478374888,0.0722815310169492,0.004671640235830288
histórico,0.07381272934512932,0.01441360996738389,0.05443348390754111
historical,0.01486391350457867,0.08439978394931702,0.006518757473145531
hermoso,0.07997207823624616,0.017931682884557484,0.05879538709756098
great,0.01582047960249312,0.08893384201415266,0.013078614539519536
toda,0.04991159724184883,0.009436036657285202,0.05464127752015037
time,0.009535786607232751,0.05151037376593848,0.0016535937186492136
solo,0.03463744197130999,0.005382038065040495,0.0020739154045385693
see,0.012593952669140882,0.07120981223389154,0.0012951650941687225
