Words,Topic 1,Topic 2,Topic 3
callejón,0.27575265351226524,0.020502710924206403,0.21227136318056136
beso,0.30109799185993635,0.001527752305415047,0.28977078309965143
lugar,0.29772581190330416,0.03761114203052287,0.2828529662853097
guanajuato,0.20173911670853617,0.11527204330098005,0.05632019445092937
leyenda,0.21443185031233022,0.03139243143397071,0.18814087397582
historia,0.1917702069834706,0.024330134508827414,0.0008689524914132127
si,0.1906650203238389,0.02742378432987664,0.07505890699473772
kiss,0.02434442498282696,0.3180552229982697,0.0026229624104851064
alley,0.020615830091823543,0.29525103108987893,0.021250968900710935
pareja,0.2036371211476611,0.027903546881197897,0.06486696178970157
gente,0.10706811115470176,0.016760468412010773,0.13943886919367757
foto,0.13866245307296277,0.02403607887509431,0.13899887444026077
ciudad,0.13660794180456415,0.007896611338211424,0.03139229603141503
one,0.021051270111417695,0.243504441040402,0.012730761740254512
visitar,0.160632230345199,0.021343141406949904,0.24396307978212445
story,0.01571500521593624,0.23622397539539805,0.01957450906914364
visita,0.10550637679525006,0.005790500648969304,0.05729458807828318
amor,0.08958470761245206,0.01214620110080556,0.09187427072518495
balcón,0.08069179710597892,0.013472100817227552,0.07734869857742117
ahí,0.07489760443074361,0.008095049903644328,0.009484305776136608
narrow,0.011207353627632286,0.1586521531574274,0.0057047686273041616
ir,0.10937629723398115,0.009239493914695312,0.01875196745166457
cuenta,0.08939631239150457,0.011242542156889024,0.06514208542403803
fotos,0.07436326231706164,0.010496952737415157,0.17464439206742194
escalón,0.09582990917251932,0.016903166431569177,0.10252791046710033
balcones,0.07675313329758067,0.008995437373333517,0.04451557745204327
tour,0.012968636858823525,0.10887410146227161,0.006252307921038086
ser,0.05384559416283248,0.007909597757715795,0.002073868992829184
place,0.015473473869605672,0.16408015836358042,0.0007086911348725224
pena,0.06689903888933209,0.012319080926894278,0.06297502052176322
vale,0.06452035895840892,0.011456287225359237,0.07237671813306243
take,0.007712407914906817,0.14232921788259006,0.008707810315115317
tercer,0.08749697533177421,0.014615247537875228,0.11814484063738863
puedes,0.09344523334198027,0.011746891340412721,0.24402309925660562
callejon,0.045600143702530356,0.0714613654737083,0.006714062969357383
años,0.07812681902438977,0.009948197190900218,0.13799251475846763
tradición,0.09558965973099093,0.012017188674547324,0.06503184266068489
sitio,0.08731364839552035,0.017071755122283688,0.0025318753055386723
romántico,0.10280293614712778,0.009364557948017813,0.08701861590310284
puede,0.05775833392984903,0.008959426316763181,0.015830131785320046
must,0.027482980430068246,0.10780506065137663,0.021607136851871846
go,0.009049300697843782,0.11794377172000232,0.0035451002146342694
callejones,0.038347113901575386,0.0415915038056715,0.03237254275597354
ver,0.049493169246487306,0.0035859622873593445,0.014975846927187514
vas,0.0928790341119264,0.01361819726718436,0.04748983279948115
suerte,0.07652781958003226,0.010484468218911022,0.10546666252518731
mucha,0.06692796239171014,0.008811266866922704,0.07903439909814884
dos,0.05956673752237829,0.006885667064789338,0.1140174449044918
balconies,0.008181543980890115,0.13246658996237123,0.013597143044608071
',0.0,0.0,0.0
solo,0.0514910772597482,0.005939822118344219,0.019858652161953982
see,0.0055389546114107705,0.08854662696488994,0.0037863329317955013
propina,0.045470296024607365,0.007345327230387468,0.00816644766106191
parejas,0.071638108085823,0.010426931310389046,0.004262636707841506
conocer,0.06831952710964627,0.0076724888798074984,0.004257459132075299
callejoneada,0.05494288103899588,0.014444108302294863,0.03476819420356873
turistas,0.03987088503354422,0.003002436880199057,0.0521555924259231
tomar,0.057852328996676514,0.007912723349764105,0.13813703586838763
tan,0.03963080612159987,0.003915988800090685,0.04207201765476759
street,0.007460967482984017,0.09350371832445208,0.013213913581159687
guía,0.05169176760716263,0.008598893746197692,0.018705437169963767
get,0.004886163867128353,0.09374981962108599,0.002850384394864034
enamorados,0.05262328118571009,0.0069026817833013395,0.079809796263595
cuentan,0.06806633582278676,0.012115451494691044,0.022758007187107746
close,0.007426482293435071,0.10252578039834839,0.0044971467434239566
tourist,0.0065277357891715924,0.08208084215224887,0.00820818282157611
time,0.005822566125504436,0.08044922287522165,0.0016498421023814702
romeo,0.028515965767707575,0.02830759714065529,0.02677308409006352
noche,0.05117891443171349,0.00534833944981126,0.04176805109799995
love,0.011543528469700708,0.1152592094014413,0.00962362960165648
leyendas,0.05613320793322561,0.004279520349104704,0.007730666561844879
legend,0.008203799204904256,0.10507385581732755,0.007371648861387826
buena,0.06956362636836223,0.007059695184135702,0.07875666849699263
bonito,0.0763105289174555,0.012526484892151203,0.19068422465687496
bien,0.05022278318630352,0.008509525951311731,0.005511884521646548
besos,0.043349325978931874,0.006734473454580548,0.037342242803431666
?,0.0,0.0,0.0
visit,0.0103045740756882,0.11830523482805108,0.013926706521320567
two,0.006412627996491476,0.11335045018175009,0.003041294153661177
tomarse,0.06451129595966312,0.01036424802008821,0.07222238824174168
tener,0.06312620401465265,0.010182052130020111,0.0332110953984843
romantic,0.008892395090859404,0.10337152193268222,0.0008268747995031007
recorrido,0.04643967506587939,0.003183437304456115,0.006499016875021182
personas,0.03526559086261593,0.005278281270390879,0.047425507410788416
interesting,0.0063975813780343845,0.09517931510318924,0.016332087045508786
good,0.0059058719879803954,0.09596445798119041,0.0004891456602649382
find,0.004423668029739668,0.0694436982388702,0.0044922930872797594
estrecho,0.048864198199406565,0.00718090478021408,0.06452985628063389
bueno,0.046391161782721034,0.004472680370462636,0.010422963897440669
tradicional,0.045990249312325995,0.000299829730214756,0.03653483340098895
step,0.006085444264377276,0.09264606998444054,0.0046233599854457914
picture,0.0061755468588712914,0.12783027946168113,0.0016914064362329782
obligada,0.07080163961502291,0.0038329382159269713,0.04726041587541883
mejor,0.04124409424513676,0.0037453401313218937,0.01976593256193356
little,0.005269094321582867,0.073175417163279,0.004011853630671927
guías,0.030191612682879912,0.003779559426639633,0.013873997268377127
escuchar,0.05915681154421021,0.010710482754564684,0.011467700619999669
darse,0.06530759586459113,0.012389187406562424,0.06323717543440097
calles,0.03325448199918722,0.00021795913295739302,0.017091283122080147
cada,0.03989303272427076,0.003419254437911402,0.02265845067854065
balcony,0.003942376314944491,0.08604415128420102,0.019569554437371222
walking,0.0078080223935774705,0.0780380630988347,0.004739158703326846
town,0.006324144180265602,0.08533421085663291,0.011199143240659537
photo,0.003040417247736285,0.05698592803780265,0.008992413697230682
pasar,0.04265392847094207,0.005679174778846633,0.014282554186566305
lovers,0.005292887797619974,0.0892102550524934,0.003907913129054625
group,0.00540917813346222,0.07689109574808495,0.005653873011150529
estudiantina,0.04733539258019265,0.0035903001630180897,0.04105816047154537
casas,0.03473753741670706,0.0041488862839910165,0.04524546505731749
así,0.026217185679006116,0.0032099296585971207,0.014410795450021408
$,0.0,0.0,0.0
walk,0.004565158146588861,0.07317300454328614,0.002276493649227555
us,0.00485565739672495,0.08180851170699513,0.0037734414958573216
tourists,0.003340405509447762,0.046226132687768706,0.010222695705747702
someone,0.004447865439181554,0.08173856082451589,5.719324725612655e-05
romántica,0.056397402902529134,0.005782100476167431,0.08060157107712612
really,0.005271683176713967,0.07167563079807257,0.0016651138370942647
pueden,0.04655671445882368,0.008360029597042188,0.08905801015412278
plaza,0.005547549172079121,0.030789550856470036,0.009604057608884786
mismo,0.02677832595625471,0.003369536280193529,0.021776798520863675
kissing,0.003967083295428886,0.08046877571817612,0.005414994298592007
interesante,0.051292993270499264,0.004674259516774013,0.02801954416141938
hace,0.04990970136602663,0.005898382918730172,0.035047832730290364
debes,0.07236737821860996,0.007093032436283927,0.06598322114006372
casi,0.02840921081428246,0.004065450286196522,0.03656445317857862
besar,0.04482705681765681,0.007048596186420791,0.029108727850071597
around,0.004100002964680164,0.06035959273866934,0.016342009047104908
¿,0.0,0.0,0.0
vez,0.038738184675569796,0.00401109862270337,0.021170117796090793
venden,0.014217019770187612,0.0003668387627771909,0.0019692872274804543
van,0.025806589226229224,0.004626661231523153,0.004480907480379966
tomarte,0.043207886933309174,0.006388745420504507,0.07889684542017433
tienda,0.024808454821662936,0.003719164618992127,0.020165773634763937
stop,0.0047332529391112795,0.07132940373732011,0.00017396629088119026
siempre,0.037195677811274586,0.007719224041992201,0.024806138450844575
recomiendo,0.03866103275833119,0.004955685881429937,0.027544206161373663
pintoresco,0.04697135596694881,0.005058443110517716,0.0205708785451008
parte,0.029939703045937373,0.0045556442300366245,0.0069436460503713125
padre,0.03302360864755802,0.005288738506436197,0.0681690999486613
much,0.0026507651622877265,0.05916454378608014,0.009675630011735886
luck,0.004381874053691598,0.07561320132335098,0.0029839076839381913
local,0.019120147301161173,0.03365179935862464,0.018424329562298922
llegar,0.02346091360931582,0.0027201707333648793,0.021574119013319598
great,0.003294354583428139,0.07212494567221858,0.008578633038079047
fun,0.00456147410530375,0.05187160348055245,0.004470242182798987
