Words,Topic 1,Topic 2,Topic 3
the,0.4156039251383857,0.03883211832139736,0.27335368294378326
of,0.3363769693086706,0.019962697897535027,0.2593664555817871
and,0.2577527487457521,0.021464161455308946,0.025043532284423093
his,0.20214399438039052,0.032071056147587214,0.3878279542103599
rivera,0.12532864423273055,0.2131898998532327,0.026910063897264535
diego,0.11120855650939633,0.24474075955561964,0.04493696572661766
to,0.17727384722395056,0.023882473149417768,0.15745692133605174
was,0.17261054560309172,0.013546136301660924,0.027814888959268366
in,0.1661314915116136,0.01158315500777113,0.04032517617235299
is,0.16970268962096638,0.02535620440879787,0.018713275783148096
museum,0.13480678986127045,0.012537851167539546,0.014587450355496922
this,0.12662097061637773,0.011509308373458623,0.015583786587313794
it,0.14633294886361056,0.012459391249266165,0.009231780912987018
i,0.0,0.0,0.0
but,0.11585029220552147,0.007899944804850031,0.049544277404912025
are,0.10903027262480709,0.012894959820754946,0.0818350237886719
not,0.10530825107667165,0.007473772141547434,0.022775912590512027
work,0.11423406956034345,0.00894520794184603,0.15593537933913135
there,0.11205708867094531,0.014110082902222106,0.013887329906996317
home,0.09969671222712571,0.00524151197161223,0.16516212201771485
with,0.0936033894446346,0.0009785915516349927,0.011380920480486141
casa,0.011350163152230329,0.3125570904037749,0.006330832478687765
art,0.10165044103201937,0.008180147356097497,0.07797654013757441
you,0.10538176008049273,0.011085996590042,0.21841912791419224
on,0.08736569839851467,0.007526814726532768,0.0017970177617246906
see,0.09431365991291256,0.0080981243600147,0.0338525672572286
interesting,0.09417697306641841,0.003359291745311972,0.012452696404202485
for,0.0824572436340264,0.002924150572313316,0.08012990504403866
that,0.08718605861355944,0.004889300883570628,0.04560203729341606
museo,0.006225050843902802,0.2880416768444231,0.04133031694085266
as,0.08246509961855633,0.002791807843543942,0.0022562245388374597
we,0.07957300076334932,0.0067426381398112524,0.06027803288997864
house,0.081705503185561,0.003243694050840664,0.053995440272500674
obras,0.004368906113262028,0.28493000696567755,0.017509214561668447
some,0.07353420590987968,0.0029184982607626726,0.023704786123540694
an,0.06903948935460803,0.0032938600271599705,0.12776336368904534
works,0.0728632076424142,0.0011772067239619714,0.1847851328200146
very,0.06657621037659245,0.005977114551763265,0.012471860435289825
visit,0.06747712466190865,0.0045797113752507395,0.19289428170818063
rivera's,0.0,0.0,0.0
have,0.05931174109907059,0.010277777762719787,0.007845338998794225
from,0.06442322497199217,0.001928505445617107,0.01080799175723409
by,0.0608545192975967,0.0023181278973264906,0.0025016635383919685
!,0.0,0.0,0.0
if,0.057121991871010386,0.004300565515607801,0.12944438620016116
where,0.06288562000661774,0.0040675746239498,0.04521247998374769
guanajuato,0.03502715156470183,0.060993800578213485,0.06444305224143584
one,0.06309346040035324,0.012130827357878385,0.03802323481985981
more,0.0584384764901305,0.0007818853158210892,0.034921192275943626
early,0.053474180931030374,0.008341040036918638,0.05132925990678729
other,0.0612213801722175,0.00374772913127975,0.0711533254401095
frida,0.027193307354958497,0.1319894737157118,0.06014258015419644
sketches,0.0525628582850485,0.003789165253883008,0.07854020383390896
paintings,0.05173222836088937,0.0009513626593128269,7.949654490313197e-05
here,0.0550125448900811,0.011791699639637327,0.08347931795205155
artists,0.06012309006667115,0.0014323456005298928,0.09215336884370198
about,0.05471303414740323,0.007461968396168674,0.08562986450590726
worth,0.05375395115216872,0.004928661871385417,0.07844531044271726
so,0.05121340460203049,0.004392101900564214,0.010437909031111883
life,0.051675009360163476,0.0016890486385049597,0.015587893994151277
had,0.0473961642558837,0.00512571238890572,0.061076002575576264
also,0.054061459115005324,0.0023948687097545083,0.06399546030725368
(,0.0,0.0,0.0
were,0.050042945016841256,0.001961431430689961,0.009735626548248728
murals,0.050446927106943484,0.004007474119006708,0.025400547943260767
),0.0,0.0,0.0
years,0.05041192136115979,0.008900876197872448,0.06108957152901414
well,0.0539956399881836,0.00014459774405723583,0.010842334328653171
small,0.04400801931855101,0.0007195834982017776,0.05782999009113213
many,0.04560507821611526,0.0022119713927884112,0.004282238027436247
lugar,0.002596311531081535,0.15298581298067843,0.005231500971993602
it's,0.0,0.0,0.0
collection,0.045327994495141175,3.916804698331108e-05,0.03485124555606332
be,0.045768293036406435,0.0021866151891258958,0.042352257591709776
which,0.041778740916169566,0.007952134598796323,0.012192815992915206
pieces,0.04562720808695715,0.005054734433487852,0.02506498488289638
much,0.044362368856817984,0.004535894030337665,0.014542987769385923
little,0.045645410440771146,0.0004597963936375335,0.05427395767343238
they,0.03723167969697236,0.003684802758185025,0.03793917507354078
nice,0.04796069544579723,0.0038310441362464664,0.02880365834084251
born,0.04260198335595518,0.0015685449830816418,0.05089227560818172
bien,0.002979921463744549,0.1711894585757249,0.024184429299644695
rooms,0.043783789195962604,0.005025416792483186,0.028180094106204524
or,0.034535883335876205,0.0036331838520533345,0.013883933042072224
great,0.04388309122748021,0.0064450902272435205,0.0570193542343704
floor,0.03734191353315187,0.005307024635193891,0.002345297837719318
famous,0.04051072584021413,0.0028375042987455875,0.01138613453826852
vida,0.0027447881821409835,0.1346662523525157,0.02006657715669299
ver,0.003511590018381437,0.15766778125480452,0.032567036559370044
how,0.0342298744105885,0.007714904350084634,0.0468478568668026
floors,0.038736864434809316,0.0036075580396691463,0.0027979209365252265
at,0.03573738855773496,0.003971724393512321,0.010051871364704278
artistas,0.0027723652792683304,0.14093418997811802,0.0012173606033670777
artista,0.0012121707714052978,0.13029689284271823,0.019994814189071407
time,0.03567695188726998,0.005966893111045892,0.005977071512869091
si,0.0022766887098100504,0.13517762986628407,0.02086835166692478
seeing,0.0403578283201843,0.0006763903569866787,0.09091996116372021
really,0.03618057368577186,0.004882671975271712,0.027395095802602625
pintor,0.0015357929345904814,0.13634692642139157,0.010552541963151675
kahlo,0.01839435720566642,0.07761630901460158,0.02287650327406608
good,0.033726175996140195,0.0025694277815490538,0.03337597969860756
first,0.03642833330076866,0.007491128481471775,0.019012738408609786
display,0.04151549890141414,0.0021951273816164336,0.007438661575447888
...,0.0,0.0,0.0
will,0.03279974694828343,0.0027770526668112875,0.0854985720258029
only,0.03709608376992434,0.0008892365185331517,0.02423640030856943
obra,0.0026748054702388584,0.1228768962411942,0.002863400029693905
mexico,0.03896536063551249,0.003658938028810746,0.00199362046754819
lived,0.03527661941043191,0.0014781426463157143,0.012690980886137277
exposiciones,0.0014752109935795338,0.1173537257875018,0.012919968621498792
exhibits,0.0334674500195199,0.004902712783564574,0.050911621667382494
enjoyed,0.04032642045215426,0.0016902215893603596,0.019505458640460726
up,0.03687525158117793,0.006477850882990276,0.04862454934736148
seen,0.03156040489726665,0.0003107190541921334,0.0349606450356945
like,0.030781760550199565,0.002200814733497641,0.07400460832810024
into,0.030918047011226343,0.00312426533466172,0.0019111402587308015
exhibit,0.03272623869643504,0.005143610246367022,0.0034420074065918205
city,0.03375340621299112,0.00011661585331960236,0.026018859610875186
building,0.033878590858900264,0.003032113838130765,0.033257347194790086
-,0.0,0.0,0.0
would,0.029980422508848373,0.005533914615544326,0.0502390931333815
when,0.028713697172550103,0.0037742053830150525,0.013235482144944827
pesos,0.021288289470221614,0.030810128540816065,0.012954711343747349
méxico,0.002102924476080928,0.09477554725850147,0.0070709090366289406
my,0.028684336442834232,7.21463637014194e-05,0.04195926755945404
did,0.027463898807455266,0.0008811633603280311,0.0029789759217625877
your,0.0256442016450682,0.001110316715814175,0.04366760742271323
than,0.027969089685602185,0.0006844408446457803,0.056427763742302475
photos,0.026550505045294246,0.0038210238496055307,0.00456599786667515
nació,0.0015006580516705986,0.09455211984234722,0.001260694417037794
guide,0.029212627612470534,0.0035746007124636443,0.04571797616577316
gallery,0.03021000282903593,0.0034332128861579558,0.029463110614092278
childhood,0.03684408310099665,0.0031203023355540543,0.14181163007056125
been,0.026551796544512122,0.006390787449096631,0.01183247862286019
all,0.025430970276584797,0.00345275669590805,0.036030753397900135
’,0.0,0.0,0.0
what,0.026245210785371714,0.0022839358901308856,0.008580974414060213
vivió,0.00155989497482216,0.09431376887445485,0.004083550148962751
style,0.026999772304689428,0.0026672985704320118,0.04711531757611553
s,0.0,0.0,0.0
pinturas,0.0011359067159172705,0.05777548989647109,0.009300335028314552
our,0.02434272595852793,0.0034112658959498396,0.027654409832648316
mural,0.019182859875388886,0.035110960405687903,0.032430722411573874
most,0.024847523331470476,0.0002859951273133722,0.00828381095634991
english,0.023052666275499865,0.005585616671676849,0.04511652716145355
diego's,0.0,0.0,0.0
ciudad,0.0015090521124723844,0.07158646234338736,0.001583853475992902
artwork,0.030478827352675875,0.0023349463619884254,0.029878792030934527
wonderful,0.025060103257481873,0.0024868775054256026,0.0037478026271567056
visita,0.0016833081547166812,0.08691292198291774,0.0020542512304800925
lot,0.028345687224536283,0.003780226939610308,0.003902282072055118
itself,0.02688517722665322,0.0022046744886578045,0.02657662831967313
interesante,0.0014494436274526104,0.09857238052075958,0.01543552981807236
history,0.024759850677696742,0.0007762127794960384,0.002095606132637671
him,0.026999830415117134,0.005450320487773406,0.022599260840217093
furniture,0.023753489009928963,0.001182662859032297,0.03376729483918258
few,0.024530225920687432,0.0006785356457550012,0.0002221022554978132
drawings,0.025964761029843696,0.00015016388039855195,0.013172681430595504
don't,0.0,0.0,0.0
can,0.029623228672174852,0.005444795604155536,0.045795196351809606
bit,0.028937471721351776,0.00855619733677197,0.023668183108890007
/,0.0,0.0,0.0
who,0.02289824128329744,0.0022172405425104056,0.015851417680211526
way,0.022589024384541946,0.0022584249078261803,0.017834552870947193
tour,0.0265461107007264,0.0076306987427406745,0.013856205490616627
styles,0.02180095336753938,0.0007159742935452058,0.03924163255427514
place,0.026935508972686692,0.002810656187368759,0.09771016846645642
out,0.019568458398801135,0.00035629098135315834,0.04341221956053185
original,0.02069010337111441,0.015887080216186955,0.019876977722857486
must,0.025241954601861457,0.003222542026854247,0.03851357597539547
mexicano,0.0009159559574384221,0.06536691733802542,0.0021406062345622487
gran,0.003496619918119369,0.057826222817208686,0.006826790567983057
family,0.025534717368234632,0.0006910407845502085,0.00836727925650342
cuenta,0.001277195341744534,0.07706782864212047,0.022004379198615382
colección,0.00098460435877355,0.06717149199525176,0.0010886074189638848
child,0.02717922509110118,0.0001360029420960581,0.0439346677457463
aunque,0.001280147667904459,0.07443228472276321,0.015212581591512083
artist,0.02745389423070139,0.0008375200218960424,0.01969021673841718
arte,0.0018347521827844933,0.079610056436774,0.002120030497296781
;,0.0,0.0,0.0
¡,0.0,0.0,0.0
visited,0.01898858872594411,0.0024201385660683338,0.019060710666367848
various,0.019974007083944232,0.00035133092099590325,0.0058680646527039335
us,0.021295196168051884,9.585919703889176e-05,0.0405096665074537
upper,0.02011066659856296,0.0014693318488079089,0.009306566790136184
