Words,Topic 1,Topic 2,Topic 3
place,0.26193490734892916,0.0517770859311331,0.2247525849434731
restaurants,0.22561554240655776,0.041508535823685404,0.04745283238907103
jardin,0.18641997501155125,0.004878583813079313,0.11759437362344362
people,0.22990098178988272,0.04421424339954217,0.045445845435504915
guanajuato,0.11299135129843194,0.14606088176258275,0.008430680360903853
plaza,0.13466327330948555,0.09511920714462373,0.041679189216331465
one,0.17879581233725134,0.03697327161648103,0.2213915574092726
teatro,0.09095782472530682,0.17688331378252445,0.19955413950943698
great,0.19965046593001687,0.03505628956809475,0.29885794405289984
lugar,0.029404881325413506,0.309742170000426,0.219944176416866
restaurantes,0.02988619799712355,0.27736740017665285,0.033522569305811066
trees,0.14596948779887026,0.033560609023354795,0.022232729174982924
around,0.14392592969735551,0.030785716054813252,0.08569006792929675
music,0.1503491866414632,0.02939090582134324,0.09189433573764762
watch,0.14175783095225256,0.022217866890424615,0.08312033755694664
many,0.11541039747343573,0.01717275046376279,0.16724963729693176
juarez,0.09094715100171098,0.03860117416072148,0.12801576015362573
ciudad,0.0234419687422286,0.20121320787402955,0.06592895790212938
sit,0.09593617320366776,0.020465920528407264,0.08578850446973317
mariachi,0.0965826259992094,0.015780674036113548,0.06274676846924532
jardín,0.02389224224820982,0.18106544706434277,0.06251667378976507
park,0.10277258249821677,0.02455026150638508,0.06431708599812211
lovely,0.11176400546452336,0.023588267759507946,0.06869983753939464
city,0.0866586485071484,0.019111453129715083,0.03125907828915273
benches,0.1008588534669022,0.02201588413713906,0.060144482519204935
union,0.08307495858887277,0.0009122744221901863,0.06275728291662006
night,0.09343508863385293,0.011329317050157307,0.029734029490298745
mariachis,0.06435156143009296,0.056042113982657925,0.11496482534584976
beautiful,0.08916795025959323,0.017212671058471938,0.017537166821064674
see,0.1145220876211413,0.024832833068866682,0.054853451352865686
garden,0.0993008196629782,0.02084380723428821,0.015426270155090594
center,0.09684772675372272,0.0169734123366956,0.1069374863944
bands,0.08279457760740364,0.011241192197064615,0.05127661533271329
lots,0.10156397190622106,0.025790559639832945,0.03347231379543249
evening,0.08095446188415016,0.018220358428095905,0.052537582573032295
