Words,Topic 1,Topic 2,Topic 3
the,0.654272221659313,0.023994123163602412,0.22538575780778797
of,0.25047567398320963,0.005044780257310698,0.25170635853265505
to,0.23857179224600875,0.008020772629037835,0.019855442861525047
and,0.2278045669119352,0.0072703397252628504,0.02647217008342976
is,0.20266803848787446,0.007081586330506151,0.06300616639351828
you,0.1783392236415931,0.006108298237759073,0.36516120388766804
ciudad,0.0037817495567017134,0.3752135338075275,0.06165206349556951
guanajuato,0.04192424199830337,0.23346768307595775,0.059240530307968914
vista,0.004745673011118507,0.341949005636324,0.014710007547653697
up,0.12713469577007697,0.0046566778677928945,0.13034935030736333
funicular,0.07225749413199159,0.09267240594269693,0.03428618823761385
it,0.1348606721394088,0.00558801323943445,0.12352965020870486
city,0.11581873133656372,0.005901202299520878,0.022714256488821947
for,0.10214658682897657,0.003169218983486791,0.051066387380007607
monumento,0.005554424382391166,0.26901279667909284,0.10499061507568393
view,0.1169850632854065,0.004808246291524457,0.0620575033183153
in,0.10621473853014725,0.002031350124976789,0.09400219566563665
this,0.09628214427305853,0.001253261275819778,0.025338577695427508
monument,0.09861929149909486,0.002692671132555353,0.023882446224852787
there,0.0955275306444688,0.005045215460231695,0.17470914598673848
from,0.0856210604027323,0.0012608700890450397,0.041772841734735576
take,0.09211843023293804,0.0017896677727188956,0.048073848847383006
can,0.08447403530782673,0.0027090824412422426,0.22448177462276497
),0.0,0.0,0.0
(,0.0,0.0,0.0
pipila,0.06425407695708647,0.01306049443441196,0.09300785025594364
!,0.0,0.0,0.0
lugar,0.0020847211104656287,0.21859870057978245,0.008328654684276291
but,0.07656818700464962,0.003012855178764063,0.0678865849706964
pípila,0.0019304277917571039,0.1671307651250584,0.11256609303734438
on,0.06553813082897657,0.0010062037022807334,0.04678025472956629
subir,0.0021027496988357728,0.17021546343078986,0.15639441589351005
we,0.072881203362987,0.0025740149047833506,0.02210447043348694
at,0.06295478509913004,0.0016965719982282661,0.0182589718292329
top,0.07101836544597927,0.003145630473573628,0.007757808111439956
i,0.0,0.0,0.0
are,0.06593495306640061,0.0035369840405970777,0.06586254698481024
that,0.06457021058082874,0.00011875857830585659,0.01829643720236032
see,0.0619172006775708,0.0013620906182736422,0.13034970846728958
get,0.06446256582076665,0.0028046985167491318,0.018274059673864817
views,0.06624058113812714,0.0024705669939236903,0.0008845496893971158
statue,0.06362216125992266,0.0027742438260219032,0.10669493363504301
was,0.05312774099252848,0.001677544333093895,0.038562269710497935
ver,0.0014707296076260418,0.13737606622653364,0.026583338488713183
down,0.05760822957689349,0.0008909308615324941,0.0014152025142628274
great,0.06710999057967455,0.0018865935722558681,0.0021301943202848153
walk,0.05954333679276727,0.0008958541754178523,0.03667368549109037
or,0.050254955503088686,0.0012239456101845482,0.04400286575357258
go,0.05974635363660967,0.0023732250916724427,0.08425580771042579
mirador,0.004420860790014632,0.12504730264917174,0.008550630963447301
puedes,0.001617635884754848,0.1285173253605172,0.04153273437833989
puede,0.0014574339834201005,0.13739840091839364,0.02565762040718128
-,0.0,0.0,0.0
worth,0.055232794484995365,0.001555024544927634,0.020948938357731615
si,0.0010869640191281255,0.09459396467153144,0.0014451994396232
be,0.04693006676689337,0.0016188398693359834,0.008289344855409534
as,0.04266279874462614,0.00018171778265401055,0.03239615136631188
noche,0.001134965271115918,0.12095416928724916,0.15989334323065674
it's,0.0,0.0,0.0
all,0.043382651035358724,0.0015095518676621269,0.057988466917312374
vale,0.001123822503722335,0.11811873349375127,0.15005846829896868
pena,0.0011498700122526773,0.11701676684338765,0.14902683161173183
not,0.04602030711929371,0.0009402760768007003,0.008895953934916602
with,0.038549190179628726,0.001449638704809714,0.04111647075308401
