Words,Topic 1,Topic 2,Topic 3
000,0.0003953175460061752,0.008035465841994414,0.006480503671524724
10,0.00881873723906617,0.0037216718690407814,0.0035356894284071802
1000,0.0014673901159511342,0.01723888684466668,0.002297198506625879
11,0.008818737239066192,0.0037216718690407558,0.0035356894284066993
113,0.010140021474102576,0.015898539846412645,0.003264133830319569
14,0.010840436803882863,0.0005718518181698177,0.0067059443769617606
150,0.0006305548671885401,0.009493663626668588,0.00018830393792437184
1700s,0.000557741317387168,0.011523989614785906,0.0022461126802490695
1732,0.023890312922049885,0.002328532110383487,0.02307302253513333
1767,0.003171028429624702,0.00014672412502004611,0.004216853074878815
18,0.024084559637117697,0.006296321205705323,0.028458909587097233
1900,0.00989251497737688,0.0013591233705849564,0.005333130008689879
1950,0.0005577413173871666,0.011523989614785922,0.002246112680249131
1955,0.009238299344009793,0.0010393248051019858,0.0062942571663079
20,0.012723919937667014,0.0029045115053852543,0.008163800075080087
200,0.015355334736729382,0.0010868152974431932,0.022188273348172544
2014,0.007557788162067586,0.000379026708636949,0.0022307943685184652
25,0.00039531754600620115,0.008035465841994415,0.0064805036715255195
27,0.012466161582449913,0.0023835774478691988,0.012195096534072058
30,0.015413935025564724,0.0006726198672444559,0.0153172545011742
50,0.004813713303958894,0.008329050348529262,0.007494058748260778
86,0.0019422231893567307,0.015265114438111323,0.0012068745575380096
8pm,0.007898723902907322,0.001713242520336302,0.0008057998284332296
abajo,0.04823262747474823,0.009347150017069093,0.038088527423565686
abierta,0.008818737239066182,0.0037216718690408035,0.0035356894284071486
able,0.0006305548671885387,0.009493663626668583,0.00018830393792441805
abra,0.005306907950779719,0.00032483942191408255,0.00894333379520552
abrumadora,0.008150408627286363,0.002344488100453382,0.013222358088117888
acabamos,0.010221701903547906,9.377522646773754e-05,0.018041014080077425
académica,0.006714082547389094,0.0006360529984604269,0.0043614874698232565
académico,0.01353499169770372,0.0044713186540228335,0.003571167473146519
accede,0.012651921471917234,0.0005764525996990511,0.005833080986441758
acceso,0.01993822411643986,0.003452812165697899,0.022522910581291442
acercan,0.007463221415183922,0.002069834889921277,0.031661001304957484
acoustics,0.0006487334273717312,0.011161365945856053,8.929431998409667e-06
across,0.0005377469057705618,0.010766594056413392,0.0003474695369225817
actividades,0.006439842683654497,9.395661941328694e-05,0.001475638972733245
activities,0.0005333069191602223,0.012202988910511721,0.002084762937448165
actually,0.0008507586894576311,0.020432931026527594,0.003262659293018042
acuden,0.011965026756046129,0.000642975531672864,0.004574254259460771
acuerdo,0.006531760470738129,0.0010429274536360297,0.004890317119711492
adaptado,0.003751809312453985,0.0004716436956584814,0.0022527902107383874
add,0.002428282570919525,0.014335003692891084,0.002935831154866801
added,0.0005577413173871667,0.011523989614785922,0.0022461126802491294
addition,0.0005577413173871667,0.011523989614785922,0.0022461126802491294
adds,0.0004813538222980717,0.009888782897090597,0.0006530428313732934
adecuada,0.004820344317064156,0.00024010555800429311,0.00033883009177875775
ademas,0.009131625306802294,0.001001852247137028,0.005504799481789872
además,0.04204590109107717,0.00739225993393186,0.008929250420080557
administration,0.0005577413173871667,0.011523989614785922,0.0022461126802491294
administrativas,0.01771463745300155,0.0022209007503987696,0.010766658693692022
admiración,0.009743416463094092,0.0012370549694429927,0.010066370164147872
admiran,0.007938716518560337,0.0009546542597228511,0.004089951722186172
admirar,0.016947586753509797,0.0033141920728535727,0.04205875846955551
admirarla,0.013428165094778188,0.0012721059969208537,0.008722974939646513
admirarlo,0.010700640651827385,0.002808383472635867,0.004430246345572942
admired,0.0007980765194046043,0.016567439472543816,0.00035415774672761417
advertisements,0.0007025116352403904,0.013036922609375877,0.0012148264307840738
afortunadamente,0.015355334736729382,0.0010868152974431932,0.022188273348172544
afuera,0.007110414505110972,0.0012963159877056128,0.013605272569358907
agradable,0.02361235514413195,0.004735703656185307,0.007542449080885702
agregados,0.003422712590660159,0.0005828417034761482,0.0017529572163816692
ahhhh,0.005807512521314348,0.0006985707016536912,0.023114219676498786
ahi,0.005091170681877183,0.0006461054021174695,0.0007383345729329052
ahora,0.027804680916136325,0.005900062561340771,0.028045644921764583
ahí,0.026866832119279902,0.0075997899548839246,0.012387826415568749
akitsu,0.007557788162067586,0.000379026708636949,0.0022307943685184652
alberga,0.03386088339946144,0.004362565460392053,0.023606683077222645
alegrar,0.006176626431307473,0.0014454049894801497,0.008820997354171124
alfredo,0.00957447071423271,0.0016135622244703935,0.014309205081848688
alguna,0.02696576597406215,0.004803372520882004,0.046670762129687425
algún,0.007304981737393767,6.499875647936789e-05,0.012663717875290963
alhondiga,0.0057374330004684,0.0002529351411574764,0.0031884895783467976
alhóndiga,0.00869698043374825,0.0018846089748817145,0.004668613476903059
aliento,0.011935008834822054,0.001789341045067314,0.035652085418399246
alinea,0.012466161582449913,0.0023835774478691988,0.012195096534072058
alley,0.0010079047174692034,0.009021347279466777,0.00023669273661462036
alleys,0.0011577401506304703,0.020331410405529875,0.0016266663958476159
allá,0.013951812021944699,0.0036165020474108753,0.013993309082795077
allí,0.018203537107287743,0.0049336711520198235,0.013829673638525442
aloja,0.0036801053931399107,0.0002726568728963326,0.0007185667386070308
alone,0.0020281335432343105,0.043266104807342394,0.004600709991829434
alrededor,0.025815994183368166,0.0020286723874329174,0.03826271018563605
alrededores,0.005091170681877183,0.0006461054021174695,0.0007383345729329052
also,0.002294196048130438,0.043803732908811455,0.0001934855162513537
alta,0.039451194572801135,0.006425645828696265,0.061830648229304536
altamente,0.013586088809566101,0.003323185756469094,0.0007924648801484908
although,0.00037656313611559417,0.006837383935509551,0.002102639683733571
alto,0.06918066521775121,0.013955344506967884,0.07788224866037712
alumnos,0.01541429214573978,0.004549542012235197,0.0009734981092960756
alza,0.00937358180226939,0.0026301002413131594,0.011754642084177494
ambiente,0.035463050823522,0.003552922654352327,0.014895158943642234
amores,0.004820344317064156,0.00024010555800429311,0.00033883009177875775
américa,0.011981879570439048,0.0014012174108441815,0.014138616201525693
anchos,0.009518734730474446,0.002860549840480208,0.008977339537888044
anfiteatro,0.012466161582449913,0.0023835774478691988,0.012195096534072058
animals,0.0007980765194046043,0.016567439472543816,0.00035415774672761417
anteriormente,0.0036801053931399107,0.0002726568728963326,0.0007185667386070308
antigua,0.03457068879098775,0.005717974128345935,0.03490306129880609
antiguo,0.022394171636266696,0.00751106451861185,0.010648596886367443
apagan,0.005126279113793282,0.0010373155389942165,0.010009241489855578
aparición,0.0038736668101644646,0.00208098884783901,0.0003907957455931413
apariencia,0.003907029227292658,0.00035335314395029726,0.007936011689167619
aparte,0.01314233883634551,0.0036536832796590975,0.0018560172848247868
apoyo,0.004594443537756112,0.001186128449414764,0.0011769524269431648
aprecia,0.02573332369175342,0.006985762007766187,0.0754347064494129
apreciar,0.007091885675301115,0.0007639256577386649,0.009434566072575092
apreciarlo,0.006531760470738129,0.0010429274536360297,0.004890317119711492
aprende,0.007463221415183922,0.002069834889921277,0.031661001304957484
aprovechar,0.016463062415767834,0.004534637314347102,0.00657425218421863
aprox,0.010840436803882858,0.0005718518181698804,0.006705944376961822
aproximadamente,0.01464601897074071,0.0004088994105854271,0.005316474221346947
aquellos,0.007127835752162843,0.0020527002169558844,0.010028662864181043
aqui,0.005807512521314348,0.0006985707016536912,0.023114219676498786
aquí,0.0317608383022698,0.0015184509678602012,0.027100075176851198
architectonical,0.0012935192802428182,0.0276195577239687,0.0016246486241133997
architecture,0.009640523761269703,0.1319736825883638,0.0003329981101970468
area,0.004095668743764575,0.034360132293351366,0.0018860326859924772
areas,0.00936500333155038,0.002708829798028171,0.0008928755913860895
armonioso,0.005306907950779719,0.00032483942191408255,0.00894333379520552
around,0.013716397408535027,0.15766622316682616,0.01085975198048135
arquitectonico,0.005807512521314348,0.0006985707016536912,0.023114219676498786
arquitectura,0.11358949842279685,0.008116819758287304,0.03241760888941944
arquitectónica,0.04264949737792986,0.0013156628923990455,0.025864925510104105
arquitectónicamente,0.010700640651827385,0.002808383472635867,0.004430246345572942
arquitectónico,0.02777307590970288,0.00546907620876265,0.018204663731840955
arquitectónicos,0.022177089361622708,0.002595243448512311,0.00013314567894219783
arriba,0.03651416569349347,0.009273469844090273,0.028878947857119315
arrival,0.0008648229888666234,0.014303239441421648,0.00011775910020432285
art,0.003700166037179685,0.06610096911375589,0.002576007261101632
arte,0.04194212157705166,0.0018456479092198174,0.02048775855451226
artes,0.007557788162067586,0.000379026708636949,0.0022307943685184652
artesanal,0.005126279113793282,0.0010373155389942165,0.010009241489855578
artística,0.01065134776615911,0.0028444536031979033,0.01712848628263587
asi,0.005807512521314348,0.0006985707016536912,0.023114219676498786
asistir,0.007127835752162843,0.0020527002169558844,0.010028662864181043
ask,0.0006305548671885387,0.009493663626668583,0.00018830393792441805
asombrosa,0.013668142624651878,0.003347739663178414,0.0018056505249241757
así,0.022276130050130082,0.0033465205524873492,0.0034871980949061233
atención,0.025442175761978346,0.007630296651762003,0.04847042530799874
atocha,0.011481443077027557,8.923064350268778e-05,0.008476377737043296
atracciones,0.010221701903547906,9.377522646773754e-05,0.018041014080077425
atractivo,0.012994137376641988,0.004100965464518353,0.033809294863318226
atractivos,0.012651921471917234,0.0005764525996990511,0.005833080986441758
attended,0.0014752912398346342,0.015630052485948343,0.0029834409608224563
attractions,0.0005333069191602223,0.012202988910511721,0.002084762937448165
auditorio,0.008150408627286363,0.002344488100453382,0.013222358088117888
auditorium,0.0006305548671885387,0.009493663626668583,0.00018830393792441805
aulas,0.018780878045348875,0.0007691021757119863,0.011089464299266528
