Words,Topic 1,Topic 2,Topic 3
diego,0.29570420142208065,0.15701089143518496,0.05795838111956691
rivera,0.3043369530455748,0.0962707636936426,0.02110361036541323
casa,0.11858176166659619,0.3100782456404099,0.033089593429313745
museum,0.24532295058580086,0.12784929771986944,0.045880518354387834
museo,0.09226785866307115,0.23915257228266018,0.005397576760778801
art,0.2016946157493109,0.11264494856904549,0.05385838827928616
see,0.20327006239934187,0.11323679047802938,0.10964377787390187
obras,0.09502294604013092,0.2516339119155107,0.017449466686739735
house,0.18495360362803012,0.09369295680402606,0.44084870494162476
work,0.1828886493890631,0.1019527514627721,0.3623474726019918
interesting,0.1766512231684496,0.09430238466073392,0.061034197294419064
home,0.16275461327854684,0.08708812320509145,0.3343196240571576
lugar,0.059420047601646216,0.16327083724831346,0.03512507877833906
guanajuato,0.06986106044761735,0.04400951052702807,0.029545855249139347
visit,0.12211612828356476,0.06609571572942172,0.08356631656272581
works,0.12779095190173975,0.06731900217039687,0.17260924683276416
well,0.14776738854081414,0.07751080221252703,0.028267646492974863
pinturas,0.05310746926261008,0.14259489430131264,0.014689934004135406
frida,0.0649620190559356,0.06626195314008672,0.038898225157329575
artists,0.12284066078187088,0.061963314654620606,0.01322008778065981
worth,0.10148217014366447,0.05845943497520927,0.005044485583782151
vida,0.03721431107932207,0.10527718778179064,0.019230062448612795
rivera's,0.0,0.0,0.0
artistas,0.04954473722431184,0.1269141908079159,0.012390285187315617
also,0.09950576790385715,0.05468447858569986,0.10712670902992248
early,0.09774374989799617,0.05561262942046002,0.07613979319579449
obra,0.04438961852726145,0.11855563716398929,0.005548563198898353
small,0.09463091173680088,0.045272375205004815,0.01787724236251289
si,0.03200120094496608,0.08609314672804795,0.012123295979873468
interesante,0.036487898776737616,0.10333753382382062,0.01038462828455938
arte,0.04115182613412775,0.11148055736921117,0.010613738468193995
many,0.08521810292087835,0.0438529190800802,0.05833108190166703
conocer,0.04201106291520361,0.11410258057217094,0.005105986060506188
born,0.08497697485674376,0.04305882161981003,0.03587205989068678
ver,0.038504011714478016,0.099831725925594,0.012850683519378672
pintor,0.03320668377495371,0.10138387371254404,0.015396801654440326
pena,0.03816279502286844,0.10163615401172076,0.02155598450952103
paintings,0.08206996424239221,0.04101982374260855,0.15278216319982937
one,0.06321536043101893,0.03813614199206036,0.10878559627906874
historia,0.03141182740166063,0.08571666174248475,0.013092838667025802
great,0.08374123921915846,0.048104071667666476,0.1024048395055459
first,0.08024395690980866,0.04349762745340706,0.01068753571360468
vivió,0.04234719934473709,0.11590792618554117,0.0028897721426677423
visita,0.03241575083238506,0.08842482491044133,0.004107376867201316
vale,0.033698264787262656,0.09258654433429163,0.022460564564951647
muebles,0.03752177331282067,0.10461539202660348,0.0026583330175677816
artista,0.03193589312666914,0.09800327336485612,0.005307404909270144
época,0.03696714744701083,0.09932645708027632,0.005708731745303674
rooms,0.06730008920504449,0.0387701306635285,0.08858829090443981
really,0.08196601917854432,0.042834872693394824,0.02461005128351987
exposiciones,0.032799664400887746,0.08752165969498267,0.013528971565001251
enjoyed,0.10348222333600571,0.05621570261680672,0.0757602497297265
además,0.03182727596535336,0.09191041304667118,0.01872386273008173
parte,0.03098449870295063,0.08668108656990252,0.005274385051995587
collection,0.077326826090333,0.03906019987615222,0.08017225382191218
bien,0.030272055860896794,0.08242471992032671,0.014741038806863449
artist,0.06791260288243177,0.038186341374978096,0.0020148506509847144
years,0.06925589648813589,0.04232013164725443,0.008181809713788183
sketches,0.06425850386490711,0.035221540198310246,0.07929953574637484
nice,0.06626675700218608,0.030559336257092923,0.07983134504078855
nació,0.037318395783867156,0.0904373977676428,0.0026241731267462993
life,0.07426609697329448,0.03721630310324808,0.0732124347613765
gran,0.03349052335546332,0.09139896984762481,0.0011361255901667247
’,0.0,0.0,0.0
seeing,0.07619676648705447,0.036540564769849085,0.12774694808054568
place,0.05583550996281142,0.02611563793545966,0.05585945563966719
pesos,0.04972010611608762,0.00032222497240510806,0.012372518831810559
much,0.05668513544653255,0.031167202880112536,0.054280623687802204
mexico,0.05913849693203015,0.02524859722659375,0.018973918056591533
diego's,0.0,0.0,0.0
time,0.048399598508435934,0.030320222813065806,0.014575916348398879
lived,0.0658132316973551,0.031286294562661465,0.053927660299188426
famous,0.053428857961357774,0.028387820455713024,0.010845132330651198
city,0.061169801031579374,0.03188292809634326,0.01827947036566736
años,0.02712350726658044,0.07379338542647845,0.0030904922797715772
