Words,Topic 1,Topic 2,Topic 3
00,0.004681432281387048,0.003698628341155823,0.012695178783598098
10,0.020295939356014554,0.01783828272920411,0.014432085979734062
100,0.0006911002924393163,0.010041117486870164,4.3208521460278085e-05
12,0.0030563185210215464,0.004962114452431063,0.0007501971450672039
120,0.0017206001232362921,1.4396461543970813e-05,0.0007387416544095092
13,0.00019310388818408956,0.004259425020572357,5.433015822924803e-05
14,0.0009905965669893982,9.377991067862771e-05,0.0035987402681130257
15,0.013107663208732542,0.011361568950641205,0.026164386674324355
150,0.002252031953915071,0.005368013017845583,0.00369706771793751
17,0.0012664738534831229,0.0002093430839124135,0.005445136979978736
18,0.004995486845905984,0.007230553245657905,0.01189706767492827
180,0.0006156551304943253,0.009419364813149972,0.0009955090056003799
1810,0.001847096337371475,0.003483928815081106,0.0012222458097079145
18mxn,0.00022980740831945003,0.0021459118718865165,0.00022717939392909425
1939,0.00013517368952721269,0.002235119434782774,0.0003797486923267478
20,0.002525655749499572,0.010493432069904926,0.00442387175010992
200,0.00037114579511610335,0.005878502604694714,0.0004130069550183721
2011,0.0015830351339909568,0.0003978351931312397,0.0021386912717300775
2016,0.0002371845184739267,0.001843082157917365,0.0008718566916286886
24hrs,0.0032660189090776763,0.00023547506873530582,0.0052664960085024495
25,0.009253101600778234,0.01606566379350373,0.02365768348149206
28,0.00017219592273654628,0.0025626969314955653,0.0005334572858261226
30,0.00997616921532371,0.015308030993976006,0.008818555714251077
30pm,0.0002554603283140162,0.0039207951400588945,6.578196725546164e-05
35,0.0019207529325316285,7.947868757001092e-05,0.005580040231370248
360,0.00275202799560261,0.00059906109384436,0.0036363971534936596
40,0.0008744739706517396,0.010427044296795224,0.0012399243351071017
40mxn,0.00022980740831945003,0.0021459118718865165,0.00022717939392909425
40pesos,0.00041635835006704634,0.00406858514695098,0.0014435119661502444
45,0.0003245393622338354,0.004819147083432335,0.0009094285699437236
4ft,0.00018946545777483238,0.0019970217924848723,0.00023645067125913741
50,0.01608165474810211,0.015900073937656252,0.027135853065239877
500,0.00023393133751394382,0.0029387191524315927,6.00727815492102e-05
52,0.0019207529325316285,7.947868757001092e-05,0.005580040231370248
5ft,0.00018946545777483238,0.0019970217924848723,0.00023645067125913741
5pm,0.00028343050533334227,0.0033688852445478367,0.0006396671103078138
60,0.00017945806724855532,0.002209098647988687,0.0004138342941506518
66,0.0001140945881406233,0.003026401855070424,0.00041249806334203216
6ft,0.00018946545777483238,0.0019970217924848723,0.00023645067125913741
70,0.0024429857478992555,0.0003894133049797645,0.001923974129082699
75,0.0002101626634552177,0.0027580815444398954,0.0001797068350998275
abajo,0.015521231300355329,0.0021003137586787487,0.007952910276720454
abierto,0.004436284190490514,0.0005113161495784237,0.004648879402626437
able,0.0010713274639176616,0.016049668538842418,0.0010290565639210084
abordar,0.001275400598713404,0.00023711414083572556,0.0020856243998922156
abren,0.0013874496887736631,4.807049986180394e-06,0.0016110681252654675
abrigo,0.0010258219286402807,9.476042022379026e-05,0.0008385798117102343
abrumado,0.00045858964341820914,5.374755732931533e-05,0.0005049771589394216
abrían,0.0011136161108835333,0.00022905857978445078,0.001448306329720275
absolutamente,0.009672341143269854,0.0004453505305027786,0.0025758335048308386
absolutely,0.000358764518934236,0.0028626703489310792,0.0003027774827841389
absoluto,0.00045858964341820914,5.374755732931533e-05,0.0005049771589394216
aburrido,0.005856558115399538,0.001376460845894741,0.0010030856528671572
acaban,0.0025634310250468658,0.0006146959799294641,0.006200984952946115
accede,0.006998753248064918,0.00020792263028739615,0.007950873270702067
acceder,0.007715730506349924,0.0009164801229196282,0.004293725431573443
accesar,0.0009477808432380039,0.00020865104397735964,0.0044430840235723
accesible,0.014154443329779609,0.0012455411820639943,0.016561318946795203
accesibles,0.00256896600400198,0.00037243260164621767,0.014778565588799435
acceso,0.012762306423031652,0.0009570114779010822,0.010231931498117153
access,0.0001272760850662963,0.0023144735433107094,0.00015104751321737858
accessible,0.0003684123568681183,0.006197396762615417,5.346945172740465e-05
