Words,Topic 1,Topic 2,Topic 3
00,0.015114097765514858,0.022120399594128683,0.022674278185429872
10,0.002966713857464036,0.011560055785297153,0.00017344605353287231
100,0.011320333772303067,0.0006338279898492461,0.017794829245809343
105,0.0010822734649017598,0.0011876974701343387,4.299162530843234e-05
11,0.0007049417978869299,6.432618874849901e-06,0.0005578975483895842
110,0.004092477073610247,0.00028939041130626855,0.0022932912106852148
113,0.0047721644199545665,0.0003583808623184185,0.008678927751507904
12,5.912344666472069e-05,0.003052148668602262,6.024684047711945e-05
1200,0.00017552877042589863,0.006061516514173575,0.0001239781573999406
130,0.0003243727363954517,0.005876442170955159,0.0009238658676096964
14,0.0028660583007646062,0.00042171135946363883,0.0025437371551540527
15,0.01415289020554969,0.006956368606251904,0.015205777542928721
18,0.0026483099791567793,0.00036994965512984637,0.001299023720998408
1800s,0.0007226067341254839,0.009022085199248598,0.0008025197198669975
1872,0.008862481308613694,0.0005362934899197629,0.017156280451358398
1898,0.0015474561497455424,0.00020418531794210413,0.0011177989435579509
19,0.005367569875290064,0.00033963971813020117,0.00025532691037656043
1900,0.00038942815855616374,0.014656768087460406,0.00026484892682888093
1900s,0.000673908486851687,0.004856436329703405,0.0004014502208131417
1903,0.01735350048533333,0.01644345331824631,0.019370758764774308
1910,0.00014349034498231273,0.007892413031231928,7.25139507553459e-05
20,0.012571353168849523,0.008566403885751998,0.003867062457725532
2014,0.003767912865149959,0.00047555956402662854,0.003310733200607192
2015,0.005517572404558889,0.0004312056234810484,0.0027496313797754435
2017,0.0027864575806616047,0.006022154212526398,0.004045955282894041
2nd,0.0007048065937988186,0.015265561546254776,0.00199361166186207
30,0.008359576661988723,0.001387568849606628,0.0164194649425924
30hs,0.0027569339202687952,5.2568052786623734e-05,0.003568818977154012
35,0.04357266586640237,0.042872178871028385,0.06567204862878245
3a,0.004410014233178823,0.0005948823093006919,0.011414094141123267
3rd,0.0004278568759675548,0.010416264999319472,0.0012038862572986797
45,0.005728577321394151,0.0006799630267355652,0.012264533450207631
50,0.002861986712107807,0.004204291781563828,0.004402401655213165
73,5.912344666472045e-05,0.003052148668602255,6.024684047708282e-05
74,0.0029114922556937443,0.00011843492774537217,0.0013927047561488079
8pm,0.003567297379555768,0.000540940551559835,0.0023297032253516803
abierto,0.015144620752198107,0.002439831198547644,0.02781438933479072
able,0.0015471077681231866,0.03996122402829271,0.0024943864896305014
abren,0.010692174661695699,0.0012664496258549375,0.014146711952282329
absolutely,0.0015198536618227557,0.0412756450574767,0.0008290954366352865
absorb,0.0001831726612954879,0.009679587573578957,0.0006462292477521491
abunda,0.005061305913721609,0.0011045778267255169,0.007379594670345524
abundante,0.0028731032996380866,0.0005545627588417151,0.002714292085054192
acabados,0.009283255239569297,0.001649886559656511,0.0016938205967806084
acabando,0.0026688781308480203,0.00038205680291153037,0.003645127263643903
accede,0.004444874868418161,0.0001919979977469663,0.006783400478890403
acceder,0.007062795836654246,0.0004761651056804266,0.0020006961469486197
accesar,0.00862403539323154,0.0008459748498342751,0.007860923027091666
accesible,0.008507901095475926,0.0017978928944081226,0.01389909953651433
acceso,0.012786133934891235,0.0014347126571477753,0.025169644431279354
access,0.0012390314902587843,0.02188654588078361,0.003099341272349547
accomplished,0.0005994260643325726,0.006138996483731896,0.0007663783317939396
aceras,0.002155161431821573,1.0688263184254556e-05,0.0008344319698785498
acivities,0.0003763689611217169,0.007386722376330484,0.0006051730674235812
acompañarte,0.0027569339202687952,5.2568052786623734e-05,0.003568818977154012
acordamos,0.002086960316202848,0.0003711709213513716,0.0019088199665922183
acoustic,0.000457140318043469,0.016935342982760355,0.00047000088635529877
acoustics,0.0014912174901683482,0.02343777870800973,0.0004431744784091744
across,0.0011678297204430579,0.036912837650803096,0.0014672742666106823
action,0.0008358993850139969,0.014357348529251749,0.00018765430469563238
activa,0.0039137138678272615,0.0004226363086881023,0.005840290585248983
actividades,0.007684293477386192,0.000895213118665253,0.00488737235323798
activities,0.000752820616044411,0.004649749265716368,0.0011991210262415394
activity,0.0010077165971616156,0.01774842515375676,0.0007071239036691104
activo,0.003154895861036417,0.0005343935191212368,0.003097160654079017
actor,0.0012205476361345244,0.00014267089165743434,0.0018207742167490504
actores,0.006349388554476347,0.0007359756020520958,0.008504269045834277
actors,0.00014852572412456092,0.008010655027920244,0.00014020023237322252
actuaciones,0.006057118669700129,0.00015617022341411185,0.004465832472712581
actuación,0.006235541877224439,0.00033282421320834086,0.0018622707465670656
actualidad,0.009248692527083291,0.0006537814909014178,0.00194020673906941
acudir,0.005813589299277308,0.00012050512657563254,0.013993052124413078
acudí,0.0035551025047718416,0.0003297361715787272,0.002722058506104347
acuerdo,0.005547307351752848,0.00016833921795739537,0.0025975680919698
acústica,0.019237855496861626,0.0012236607189052258,0.017419301529602478
acústico,0.003053343569103647,0.0003482711953801087,0.0016229185711197414
added,0.0001921654896104449,0.010184388573618034,0.0002649521007912915
ademas,0.004167561269411153,0.00016546556943837205,0.0006421006706395855
además,0.056419795770611236,0.005032379598720609,0.03271725195884775
adentro,0.017854324551268556,0.0025809185210371147,0.020020561888294427
adicional,0.0064701893359822935,0.0012960679367716675,0.01070049258706395
admira,0.0028660583007646062,0.0004217113594636406,0.002543737155154027
admiradas,0.0014672723173031691,8.87811875000449e-05,0.0008299896156789652
admiramos,0.0012205476361345244,0.00014267089165743434,0.0018207742167490504
admirando,0.004689587724001508,0.00017525185870790033,0.001608460692092737
admirar,0.0161810167646582,0.0017448248909744104,0.0036295558038042593
admirarlo,0.023856107722390264,0.002495159695615218,0.019168615818868296
admire,0.0010553572495267242,0.020191661305015395,0.0015443541393879445
admiren,0.0062358400504605145,0.001505151760639126,0.0005605340761595276
admisión,0.00175210120741086,0.0003344880184093206,0.0035058953879341815
admission,0.0007790547334826878,0.009764948000810614,0.0009400239455312517
adornan,0.002155161431821573,1.0688263184254556e-05,0.0008344319698785498
adorned,0.0006991520001237518,0.011555908255861343,0.0001495297753558124
adult,0.0006991520001237518,0.011555908255861343,0.0001495297753558124
adultos,0.007973344623521686,0.001615924950499312,0.000562924963057585
adults,0.0006850253081330003,0.008396432008436303,0.0006247403190921665
advantage,0.00018615550200544752,0.007352734904562868,0.00036520583796835406
affordable,0.0007752026221955843,0.007478079515951026,0.0001871804696518611
