Words,Topic 1,Topic 2,Topic 3
the,0.6183840471460038,0.06078566129723659,0.012081753291201888
universidad,0.025506966671089804,0.2922742853184206,0.14209893311957703
guanajuato,0.06410554921831632,0.27653674241833787,0.07066333243132919
edificio,0.019956163570266805,0.24562704289208637,0.005024866521978256
ciudad,0.017485203843330282,0.21122035622490257,0.10175874797905773
to,0.24703278175131363,0.02453599479512058,0.009168023073383573
lugar,0.01874720339608558,0.1856280577331242,0.4723499694321322
and,0.2541426997868097,0.02438754027727928,0.001118685667230332
!,7.39774364681251e-21,1.935399058868074e-19,1.583542375236362e-17
arquitectura,0.016775828524864752,0.1968937126835545,0.13114562043507444
of,0.2421156626941534,0.02239795971244313,4.239608447001601e-06
escaleras,0.013488007464069602,0.17193398581343625,0.031655520239554355
is,0.2281726344260107,0.021965053505121887,0.010687661032678526
vista,0.014586392085345408,0.1858278044049303,0.11268260593142071
si,0.01179917066898232,0.1474710968518198,0.12762403298598143
subir,0.012022342276349851,0.14994426194708285,0.09669952476101691
it,0.20335300357770872,0.01928436498097939,0.012409437424200231
hermosa,0.011969742409829261,0.15062973941004218,0.06030784194583905
historia,0.010514143589612843,0.12680290261368501,0.11530673661495977
hermoso,0.009526514502725675,0.11985158413333905,0.06058656673720358
you,0.16182929128530643,0.015415596023207936,0.0001167291542984613
ver,0.008404706388019009,0.1089500232890572,0.016718140410665095
escalinatas,0.008365004165694525,0.09536714238422427,0.049606448502875
in,0.12194842121737569,0.010430625518596214,0.0032191751727786476
pena,0.009836927853643906,0.1284897013373474,0.34453029397038076
impresionante,0.008651719003556818,0.10636304288787941,0.003662774379607085
puedes,0.008704402304589175,0.11097259973698353,0.1336400209308404
building,0.13538021064773614,0.01251410229788556,0.0058220642930469964
vale,0.009686828024140894,0.12674682729659528,0.33661277973440223
visitar,0.008890377059066678,0.10386193546001872,0.1418157542227933
noche,0.006901572799125128,0.09044799762626898,0.030876455625920268
this,0.11652411132745914,0.011678489460933812,0.0017588452222662386
gran,0.008751319425917496,0.10665850682734619,0.03500035218529337
foto,0.007985094151614738,0.10251447278209909,0.11800050014521704
centro,0.012954465699553653,0.08780528143029658,0.023153958442289173
university,0.11444034644139697,0.010819366269219841,0.002417982912753992
ir,0.007677849513787503,0.08872006753238659,0.006946720302236736
fotos,0.005236460490756051,0.0723176226044073,0.020645907760908196
visita,0.007962170974826328,0.09589459695907865,0.0002469774011003548
escalera,0.006481891157259416,0.07766972684754828,0.07762793421825057
puede,0.008172097487481602,0.09446464468775835,0.03010879262822878
solo,0.004867020521093697,0.06285234617920271,0.023105439897831263
escalones,0.006763602446219402,0.08929554648559745,0.05440208082957143
además,0.00694857998559413,0.08581429230334166,0.019076171052948083
tomar,0.005051654512381152,0.06964690760508806,0.048524268659830824
escalinata,0.006620928068742934,0.07869513100392515,0.04345158155020877
entrar,0.004682927854768635,0.06310036746076511,0.14211827414025105
mas,0.005813057940294415,0.07188605400213403,0.01797063875866475
llegar,0.006384569932638068,0.08005033630101656,0.07400580694224798
ahí,0.005421591403281348,0.07447566632622393,0.06679430733712367
bonita,0.0056809224600826,0.07529271712028847,0.11266011074786975
with,0.06404421311512916,0.005970112742217377,0.0029634739751600385
not,0.08250508080531595,0.008276741386752324,0.002125058188240448
...,0.0,0.0,0.0
imponente,0.007114366557907465,0.08517299961178747,0.01725908482652692
día,0.0047889931147032565,0.06362399735061305,0.00509254985065305
bien,0.0037967105689627766,0.04730743561944747,0.0209804536325615
beautiful,0.1010633817997419,0.009923291477594954,0.0013493238324694004
),0.0,0.0,0.0
¡,0.0,0.0,0.0
dentro,0.004031041505414029,0.051864371057816744,0.10958633042610841
construcción,0.004901059779332438,0.05642291943200379,0.027718874782641314
