Words,Topic 1,Topic 2,Topic 3
guanajuato,0.2964573142018039,0.11410673323563793,0.25264223980404693
ciudad,0.2725187963230171,0.11052421477864696,0.01538915046863662
iglesia,0.2151559214118986,0.08553851834257012,0.19761826819934383
church,0.06874050719957411,0.25375339111968465,0.0651403653726274
basilica,0.08685829440688517,0.20719105976050609,0.025935583602165527
lugar,0.18937831186889031,0.06992270785502581,0.1809652684789679
centro,0.20567874936386962,0.06599889278182348,0.10381783485516782
beautiful,0.08227708511367897,0.3083836264295109,0.034242810202345896
basílica,0.18153267180646318,0.06180887510429595,0.006523433119875632
noche,0.1989445310918508,0.09134554601255267,0.2312060951392491
interior,0.10621906479109894,0.036721413031324326,0.046662310846802856
hermosa,0.17864124000831938,0.0795518879362615,0.14994940104833593
city,0.06000688191750598,0.2110291519765783,0.0004464667771335116
plaza,0.13324495070120837,0.0074769688461319705,0.14261186458154063
inside,0.052531003186404863,0.21750090043392173,0.03630830019130192
arquitectura,0.13296863741472162,0.04117796988093652,0.06331736045209502
one,0.06594180787998158,0.2168520362355912,0.00237754200465629
visitar,0.14712603616245815,0.04972093921503435,0.045207510974651095
dentro,0.1398395693633307,0.05932376365855738,0.18498320371911986
town,0.0343896031618597,0.14213559606201878,0.02583703013942071
bonita,0.15159152245044322,0.0629695130441606,0.30235879029121593
templo,0.06896647366656979,0.014942212907264489,0.09950075261188171
visit,0.038864422496315,0.13695465869187712,0.006592277696408098
si,0.0988226928394646,0.034461943405516865,0.10201239518151799
see,0.05313409976679795,0.15882846772121745,0.033536878491637175
color,0.07363629355423633,0.013834025620754174,0.027986908823846766
pena,0.09890589918508505,0.03885710565298245,0.21798947551395947
encuentra,0.10676075413862336,0.040294548097327,0.10771594632570772
visita,0.10377424866075999,0.036055002582877936,0.19352848964766495
hermoso,0.08241413690629706,0.03039244714591203,0.0759601157865326
great,0.04017662005686904,0.14420321715151604,0.012924827063149987
worth,0.02924698071796294,0.0950208415694158,0.010566683112598101
vale,0.09555711556532395,0.038269261026892924,0.2091176461459412
churches,0.03344899317473054,0.11937434949671588,0.030198696755801474
bien,0.07896442432331295,0.027750668124270815,0.06232036121308042
tomar,0.06834768684035303,0.025278230228559913,0.027497065320682627
place,0.03061485187803046,0.10867840432345684,0.0006541626677134211
paz,0.08561382530075222,0.020283599999543798,0.09772034942651998
around,0.03475270815355128,0.12649826683737947,0.02311378738044216
walking,0.03226514759612442,0.11061987547364718,0.018968288354092887
virgen,0.05115609079355723,0.010473839259221638,0.005549605526776481
outside,0.030556538316332874,0.11686012369227347,0.010903030279568035
exterior,0.0638199267993092,0.02733429134866979,0.016976385098070812
amarillo,0.06506238823427271,0.01764036525022943,0.02432188217675077
many,0.02897556329610046,0.10356074109810626,0.006392675866975796
iglesias,0.051106524189164726,0.017622731791074295,0.12573012960973695
historia,0.06471035562255978,0.027148166534220922,0.009810720040277434
gran,0.062174054185338126,0.01859553776159661,5.174270796095083e-06
center,0.0280343009795986,0.11383330865051339,0.014420557133164888
catedral,0.06756356259914319,0.02510300746996827,0.06536730679968038
-,0.0,0.0,0.0
time,0.027875219000251455,0.09274393228881549,0.017535869925621117
puedes,0.060635967512459865,0.021166595808456045,0.013888512203500314
méxico,0.03917577296542409,0.016925815768435996,0.08038745236511263
lugares,0.05959556884818324,0.024990660556299293,0.006548712635377085
iluminación,0.077486565925241,0.03562931708872525,0.10213465276662562
día,0.08682264613146283,0.03731385603588854,0.09027597080203538
colores,0.054988344860210224,0.018508432650854178,0.05826130454167457
ver,0.06544051828202352,0.024553081329721095,0.02049724841433849
puede,0.05321612972489952,0.01802516705207812,0.016087133464588843
mas,0.05353325653694555,0.016579841286445088,0.022856637669159983
visitarla,0.0787996769630603,0.03673029529304004,0.06662746171836796
teatro,0.05178660313664251,0.007591537621868016,0.06985773493464628
parte,0.07231043742644024,0.030940022740137067,0.058320895669798055
must,0.040152831660083654,0.11603324534683086,0.030242061432090402
misa,0.0335393630889376,0.01376104518081862,0.0038276489905122164
mass,0.01713804036090047,0.06394937483627908,0.009775529128972893
hace,0.04960282225881822,0.01774187516082886,0.01530621682033209
day,0.024243526660106963,0.06512202680006084,0.0070340295158655974
cerca,0.07837610061252409,0.03211744589831834,0.08933789494988469
bonito,0.06508790203978386,0.020131762619977178,0.011136761452013404
well,0.019850808878343222,0.07048350342291049,0.01158532481614397
right,0.025421071301889517,0.09135640361586594,0.032227021781729044
punto,0.052996850027883464,0.021453824706154714,0.05140394187347707
night,0.024099284750080233,0.07888445846238605,0.006204035300670391
like,0.021887665248265745,0.07468703947141167,0.0030703280998024313
get,0.020524667925866474,0.07316978383982017,0.004349038329612157
frente,0.05353912682093929,0.021573482067909412,0.0607728319479848
fotos,0.04877560499214678,0.017318702608614324,0.009234847412875176
duda,0.05907796620453795,0.021640329496053882,0.020037611233613816
arte,0.04369432324573998,0.014907883398180234,0.03016181001490597
vista,0.05278336063358626,0.020569906793522205,0.0077535386519039405
ubicada,0.07105921487656333,0.025845929355098135,0.08612219240689843
ser,0.05009989124103282,0.01938619480117799,0.04252912912873487
obligada,0.06506998190026023,0.01951194461486703,0.10521126254433844
miss,0.020063391753011906,0.06881620968656751,0.007986643363873601
mexico,0.021312247988029855,0.06860636254838742,0.01952525808232442
ir,0.059523596204884004,0.021039995433931598,0.03030605478488569
impresionante,0.04818562502342628,0.013842571748189291,0.039584511713962434
imponente,0.05008520095823343,0.01501510492476805,0.005516659375828587
estilo,0.03783698369221599,0.010520129689414858,0.03393921836896972
corazón,0.06448525937870413,0.016297363000012412,0.009248445004027482
architecture,0.019164934799350306,0.06490826423614134,0.013104923220013203
altar,0.030131456514867497,0.02423230725593077,0.03526665397295088
also,0.023312502430289136,0.0862281500552789,0.0003532132515682796
walk,0.01643088598280867,0.07073978389938435,0.02481346538805309
visiting,0.017774989502617102,0.06500376208903819,0.009264753609444369
virgin,0.012923171447854417,0.0353469478429032,0.0003560876120251447
take,0.02029174239578838,0.08020346682672926,0.0018491258800243686
restaurantes,0.04278976352146021,0.017887030532835118,0.05849576487246323
preciosa,0.06778160033096552,0.029000773368659468,0.08067653468188815
main,0.02049201338792617,0.06597662747006997,0.0041563569591240735
llena,0.045985313742103705,0.017333893531620834,0.03805290029533887
go,0.016962881483900315,0.06860672838115982,0.0021783841334250312
foto,0.06000884657422828,0.02400494180336199,0.0029021585811299113
entrar,0.06898022051974328,0.021187025692540502,0.023810177035027715
edificio,0.03062140168908988,0.012047726120803483,0.003867674862788633
cuenta,0.03695697294554513,0.013074458024096573,0.023117033284393265
colonial,0.0478629554481206,0.0043323967392059105,0.042800003076472956
cathedral,0.018650395652168233,0.05474807462890912,0.015776564756307926
bella,0.047077561814642226,0.01924441365245265,0.04746568481823638
aunque,0.045713822775059705,0.018505704103218147,0.0699165942539137
area,0.017089016301215863,0.0712674872149676,0.014819617561910081
tour,0.010398499453632665,0.02672975364688868,0.0071678091871114815
really,0.01281586720035239,0.05221115901523728,0.015154494787605454
point,0.014804293257745387,0.03838559969439454,0.005928634641416685
part,0.012440218753183865,0.04467082844919729,0.009854258428543022
old,0.012648874665714549,0.045180852189132634,0.0002596731923475494
obligado,0.05749896269366875,0.014385085366187373,0.05948120690506351
mexican,0.014509910363733457,0.05205539099410488,0.012921409185953024
lovely,0.017282705257426548,0.06272590874320583,0.014203351154128848
lots,0.016602638485173602,0.05886175883589367,0.000945218461855228
lady,0.020233273485884256,0.0448535401627193,0.012444681277292584
imagen,0.03632254619193797,0.011767213646765619,0.02026125211671889
iluminada,0.060562354708670996,0.029063175539072714,0.12399567170527506
gto,0.017843621878467594,0.030112702589645653,0.013043332344951702
gente,0.026970093140860994,0.010823233734574954,0.01316238642967441
disfrutar,0.03522107680069059,0.01583671086666176,0.02633241042738978
central,0.03473100758928779,0.03612609337501551,0.0017994212954704487
amazing,0.01793774707518275,0.05256902476943168,0.0003255334190339133
view,0.017869716066015135,0.053566626000400096,0.010933521910550956
universidad,0.02911360178809437,0.004248244857645836,0.00014313530183151772
tiempo,0.019954230316204902,0.008971608224860178,0.014096527733330741
siempre,0.03410483713400854,0.012453093707797234,0.0065590006835698315
realmente,0.027836773734050482,0.01061504515800629,0.035687500911027036
parece,0.03076872424861063,0.01257829803342594,0.002480858801829724
nice,0.01671262544582657,0.060513379324756617,0.0017972542229517932
look,0.01219319104851539,0.04274306910761274,0.0036763318604114237
located,0.015243756219816218,0.052381297102800296,0.000470143853349908
histórico,0.03903192242751651,0.011479952606744651,0.08730298212059638
hermosas,0.03318524800544833,0.009641615987633122,0.06958865818778621
hacen,0.029315542772671784,0.00882936231517991,0.04943289751337897
good,0.013758766195473515,0.043134842981909796,0.0011908648366006234
front,0.010615938847981952,0.034887503342703,0.0035860395448994013
even,0.013023652297915491,0.04092333341893118,0.004288518640137791
espectacular,0.052786837781379124,0.022920450526252904,0.05863271976948419
enjoy,0.01517881652169609,0.052512650899266614,0.01652826157932486
enfrente,0.03757751939655158,0.014123317644335354,0.004804842628452709
detalles,0.027998176014027702,0.005146027486026657,0.03738096205612495
da,0.03607976769235822,0.01443714030132179,0.005327897529630195
construcción,0.025242166959610634,0.009257491233358577,0.0028341896334524806
big,0.011233985270441126,0.03682189381101465,0.002365941586185703
así,0.020833582962023173,0.006752512701980378,0.0012712971728224157
apreciar,0.03555300997929853,0.008510192409237444,0.03718037280666451
además,0.026393260576131252,0.00933678623587185,0.012412143427950778
;,0.0,0.0,0.0
yellow,0.010098890987270386,0.03106636777517363,0.006672488891089949
wedding,0.00806359269026081,0.027886695256143006,0.0023808545753649427
walked,0.009120388212346203,0.04056514978157854,0.011204692039131867
vez,0.035407848477170815,0.011969593809898668,0.09372215547325509
vas,0.036568299773935956,0.01133632517945133,0.02169934833836939
ubicación,0.04141158589792112,0.009547246896983127,0.024738784601881905
street,0.017083658458099907,0.06064340495554076,0.00447032674253981
spanish,0.008707281571038911,0.03208980930561087,0.006702592942952688
siglo,0.022318429660483717,0.006349731475580168,0.019393383754576488
principal,0.03123324215736392,0.009700303395288023,0.012207323638451123
precioso,0.03679991378171229,0.01460666784516878,0.06617930160657363
pipila,0.01728165696879479,0.01903708033828205,0.023117385463582323
personas,0.013432200273149278,0.0030944948487118583,0.003880621426520621
paintings,0.012232788580211967,0.04769297047922164,0.009354371575670815
mirador,0.02702505314152096,0.00371703947325588,0.027650479584253478
mejor,0.03362685491658305,0.009783239820215246,0.017155769739717514
llama,0.03498024222996001,0.0104964028080535,0.037660412980930036
little,0.009374464465301876,0.03466061934781976,0.015347247970942769
linda,0.036064634832788475,0.009940307315609439,0.027129751477061998
juárez,0.03381576933378015,0.01179530642421484,0.04588361043385791
interesting,0.010896656024355236,0.03904715536241087,0.016513914064869874
incluso,0.01544684359667434,0.005899096672938468,0.011402038179239906
historic,0.014749128590505046,0.043062245121214544,0.006719419078688887
grande,0.03027342151048788,0.00939981491499656,0.018877834850305232
going,0.00889636219660306,0.03667494443693381,0.007031515320956742
find,0.012037298826375267,0.03553142266425169,0.009661489925101746
every,0.009616601062807156,0.03808273088166824,0.009979057933994685
evening,0.010807925672957552,0.04138624658891784,0.008561210812164806
edificios,0.028385472535287344,0.006972038777182418,0.0024303104228309536
