Words,Topic 1,Topic 2,Topic 3
the,0.5220806461378105,0.04189171201536693,0.009929093766952732
lugar,0.016266326416756034,0.30756709935496057,0.39493249493905447
callejón,0.018839099502855554,0.27537562500550455,0.25580883789121756
beso,0.03356027304821911,0.2715503072875039,0.4141966076744931
to,0.2863013902652596,0.022126750852289104,0.0021115439525676914
guanajuato,0.061752923406925835,0.20563925745901473,0.01974778706844674
and,0.24166304134021957,0.017566652755957625,0.0014881447479072754
of,0.23919531961006937,0.016846951943181816,0.005580634126676216
historia,0.01230881096157079,0.226503935549637,0.06201610336500921
si,0.013035728619326626,0.23675907384516245,0.0480411712117628
you,0.24247517197477117,0.01766903755053678,0.03079633086409966
is,0.21165133079707552,0.014736704433751259,0.008325595439427588
pareja,0.011455495503785443,0.21407889170520905,0.10164241954850195
leyenda,0.009762202448153292,0.1794095001092959,0.14477629320868285
foto,0.009424225358612193,0.1597679940755043,0.15992903446988008
it,0.2247063620072934,0.017247059658975977,0.0061993773346073104
in,0.15384729330163827,0.009565384362685106,0.0005863287675711957
ciudad,0.007025827121996301,0.12640380318963032,0.02873146722573205
ir,0.008352748101241186,0.15288780446287728,0.13658189301326235
gente,0.005594587770181943,0.10942482537896223,0.15161121623231544
this,0.1280355159370555,0.009283172079986584,0.002204088509423289
alley,0.1177715473866031,0.008907837198001776,0.0046188802905789885
there,0.1183339681806355,0.008850644798988954,0.0062519898424452
for,0.10909484622402865,0.007605731315832484,0.012728249926846973
...,0.0,0.0,0.0
visita,0.007856388321166217,0.12716652014757912,0.09796094406811448
!,0.0,0.0,0.0
visitar,0.007114589757613498,0.12702903291909137,0.20382138642999778
that,0.09988365891324698,0.007835937794712129,0.0009511827512726974
kiss,0.09579975141937408,0.006886553861467211,0.00020372399964123833
your,0.0937153367108818,0.006953683066873815,0.011000398459604372
i,0.0,0.0,0.0
with,0.09029329122138746,0.005966149232205005,0.00431099862614004
vas,0.007874072833200319,0.14231144897105438,0.01708900490721638
ahí,0.0049848234296700974,0.09429644588669552,0.005319380302805588
puedes,0.00561492063882348,0.10799317012348587,0.06883125769255026
are,0.08607181265109203,0.006398660438751823,0.006616370689365515
on,0.08334465066850066,0.006230072096055344,0.003491531720241481
but,0.0934917846930303,0.007191739422163871,0.004587007503800223
if,0.08455789565342284,0.005893436718434713,0.00905833138599396
one,0.08770574231225552,0.006643815783873347,0.0009396677460146053
amor,0.004314159690179528,0.0822300711851826,0.08496038411758544
escalón,0.005216153965637307,0.0970138039836511,0.2518509418928217
',0.0,0.0,0.0
it's,0.0,0.0,0.0
(,0.0,0.0,0.0
