Words,Topic 1,Topic 2,Topic 3
guanajuato,0.30349178445709163,0.14043092381078331,0.3541529804194562
universidad,0.2555883081642698,0.013114360751770244,0.1913285825613659
ciudad,0.25913178813216403,0.030965055505822348,0.05265494018921746
lugar,0.2936758947814477,0.02321734073830431,0.05292081522361935
edificio,0.21691649658828563,0.026924044507032115,0.011083688526469262
arquitectura,0.21166094545764838,0.02350566504886633,0.03843638500885359
vista,0.1643690590877298,0.026680807294070717,0.07473112037560037
escaleras,0.13811955041799676,0.017058312077338364,0.026332287384546047
si,0.1685152271672929,0.0031535162645186564,0.14631948978447845
building,0.015730589176155236,0.3472907964483677,0.03526640266213434
visitar,0.16756474921510264,0.0014731473241703862,0.15515290964931278
university,0.01319740995364103,0.29457388814972246,0.026144938395848145
hermosa,0.13774910882763,0.016869021331999124,0.04888679891652342
subir,0.14771454207034793,0.028058522178815107,0.16207283421870394
pena,0.1348942656010176,0.028670427489708886,0.4031096332594925
vale,0.13851291548881414,0.02884506086383386,0.4002714337105954
puede,0.11362046937543492,0.012210838838212596,0.06730163811538303
escalinata,0.11020919204718847,0.010858942630849293,0.09143160247316916
historia,0.09424687580811238,0.01609880918918333,0.08910100469067929
foto,0.11488841494739917,0.01233847180365545,0.07620174377802302
escalinatas,0.0795177389529259,0.009038571830646446,0.0217634069146251
gran,0.08539870516096172,0.009994141338041452,0.0010299849614257269
visita,0.10056277786606647,0.0003350348579102081,0.10705029504512571
construcción,0.07317577336233717,0.007514647666286926,0.033604980404234375
bonito,0.11113939609747056,0.01256607129471642,0.09512715254346503
city,0.012343711616091685,0.2433579202322071,0.02490569599515929
fotos,0.08697826070133251,0.01801499769398421,0.1963305453373827
ver,0.06963825010109657,0.006467182554520401,0.008782324155244617
impresionante,0.09314786698990606,0.012069934512436384,0.008637805900319725
stairs,0.007737702162233173,0.1936768764918667,0.02452062290762888
escalones,0.09139672337566879,0.01676308323558188,0.09933749953726285
centro,0.07910411796698803,0.021166288765635383,0.09769247171797454
mas,0.07335959875635725,0.010384265353203605,0.0406204882434154
ir,0.0805527130629819,0.006844961671529994,0.02761794569962937
steps,0.008175457064378533,0.1843908412010535,0.01885997636547126
bien,0.05884188401796458,0.010259320211190763,0.012176419175286944
noche,0.05940606392986847,0.007005205259980123,0.013219953515916929
beautiful,0.007186480952823462,0.19946872678310354,0.027829200434043418
great,0.00757667131694002,0.20486289327365467,0.0340079731743669
fachada,0.05574787751212777,0.0011198934599742185,0.04541833916823048
puedes,0.07955696298951448,0.0062995743995784125,0.06400663442506507
parte,0.059709898303737984,0.0003374793648726732,0.03735822377715364
hermoso,0.06194273333248375,0.005509854458915729,0.028361511876688582
escalera,0.05605446857159484,0.005121996670787713,0.005398699771525849
nice,0.016678943983284702,0.1481216754377265,0.013020456735597211
duda,0.07131978157483455,0.0009322679248440038,0.04028900026949596
edificios,0.050668018708313445,0.004648221164288361,0.01601626658812507
conocer,0.07852082043895983,0.006008696830277727,0.08007724723696213
buen,0.06878342513182052,0.01079304221890247,0.003632975277564907
view,0.007080006078333108,0.15671817603922222,0.018050853042638912
place,0.0054030260223700815,0.1311309596083237,0.010889673980186556
bonita,0.06201771671141349,0.0033964429847847736,0.029352062587683508
visit,0.010374292880934215,0.1654847233793614,0.011665551830264756
town,0.0051282484186636265,0.10915246270362752,0.008732877192911676
ser,0.03542089294379773,0.0022146807902226535,0.02424680614256428
lugares,0.05798865310336617,0.0024080506085028815,0.013280745376048975
estudiantes,0.03696142232888116,0.0037160701713867383,0.01120129782310279
climb,0.0039165547194383735,0.16745048720214806,0.04036209867790099
around,0.004355296926577836,0.10926415244060712,0.012506316793534528
ahí,0.04913940545974081,0.007979038251550406,0.12267350011652221
walk,0.004185573491560141,0.09974583269258769,0.012324585760428997
tomar,0.04656117053179276,0.0106289458861735,0.1271992953706436
students,0.003714505236101335,0.0947358300500553,0.012261349861046602
one,0.0065283766728099326,0.09026922588461322,0.0029683167759174114
architecture,0.005384444469687916,0.11005329514837216,0.007681394213757641
principal,0.04152244886241647,0.004607072017371453,0.024705995828005027
muchas,0.056815645196980506,0.011111190202119994,0.12081259418271281
main,0.003777801186005274,0.13501031187596932,0.02439701201644742
solo,0.043312725305642084,0.000989647572302598,0.030547022396629635
punto,0.047344529008658404,0.00872799557399318,0.002024336841395165
