Words,Topic 1,Topic 2,Topic 3
history,0.29691155898724264,0.024397415642776185,0.16340078108577008
museum,0.2258370958003993,0.01869486546863292,0.18306195286294794
mexican,0.22766469131510986,0.02253342700534438,0.008831976816240426
historia,0.01991823349347227,0.44230455998355295,0.03244055729592865
spanish,0.1823934743373772,0.01768281796451961,0.07269429182258214
building,0.19930213831218543,0.015200489295828594,0.19046664210690165
independence,0.18583431029057726,0.0067151530926319505,0.17618649654269308
guanajuato,0.10261094310550607,0.16465272636707184,0.11193704819159828
murals,0.14496242623645578,0.014926754019800646,0.1334939297373762
place,0.1846961706989796,0.02731273282041217,0.36558278199137206
lugar,0.014382893513926872,0.3339700635970205,0.045715109271423734
well,0.16172390075562346,0.01650774657449382,0.0480485858929155
museo,0.016293433394693184,0.24298600465069908,0.012423007045397429
mexico,0.15157991544406346,0.032416229493947575,0.08156812329929855
méxico,0.016708468607325735,0.27613312564052933,0.028437184297756258
great,0.14417511408246525,0.01216910812031442,0.03607720990195541
english,0.11720608131538729,0.013297950571430035,0.1028690432024683
revolution,0.13037725487441407,0.015565094884131887,0.02040715277295358
one,0.1015011483673866,0.004343192739610799,0.05601099897632354
visit,0.12449723164809066,0.014694614008035754,0.02981480299689247
independencia,0.011101958738288323,0.22430193066757878,0.0005715594426267531
interesting,0.133752464547215,0.018137758091136814,0.00767277576670849
hidalgo,0.0581624002295327,0.03899980552455805,0.06828919369619091
exhibits,0.10737158181729294,0.01408625196050572,0.0703502644564356
alhondiga,0.08985369516170884,0.0002048849781590505,0.03691109667522875
see,0.12102124487627042,0.01007207139015754,0.10582866575722412
good,0.08637532848273108,0.0002508913351801757,0.04140102804149836
inside,0.09384927295439469,0.006551221200547384,0.09909696965272465
-,0.0,0.0,0.0
worth,0.10970955274839982,0.013092834632119441,0.007316944016781338
war,0.08377855657194248,0.004866368413863856,0.13227494184910868
edificio,0.0069848135806389305,0.15653710879950852,0.010126096337658555
much,0.09285128381412451,0.007497854581354998,0.16549298115009564
art,0.08521083816590455,0.004095283790509102,0.21426444540023232
historical,0.10428067619391608,0.012436165191025,0.04459531784167674
get,0.07238872658749723,0.005423946495064459,0.013767258480532464
site,0.07553898651065083,0.005069891262813935,0.1034061025183204
learn,0.10257214570539548,0.00906815417222359,0.20211993670274422
would,0.06955382283698931,0.006998227480635813,0.007093940627757783
time,0.06522811089301496,0.001083919798991745,0.0035195051171881394
also,0.06306434178565662,0.0028964671225999087,0.05408338350859043
artifacts,0.07226932236319134,0.005882635014426878,0.08408206660869086
take,0.056066322430183044,0.003651866747032595,0.01989164087172726
rooms,0.07122198903728688,0.006136339604549192,0.04225595340813074
nice,0.07165817674956876,0.005945595078517148,0.023570872472102558
important,0.08043388901852676,0.007662618322122878,0.0021058193761933942
alhóndiga,0.011290156060800352,0.1132175158765572,0.01099687566473765
pipila,0.050154550563115546,0.010475461047547775,0.0018470598657634282
many,0.062447818334533826,0.005917554486976387,0.029544167194592463
first,0.051940034414933285,0.0026253520265759264,0.030342429850848653
city,0.07146315942166068,0.0020781126134998915,0.11143691984626454
displays,0.06589394433069574,0.008291753919464274,0.0239036210227876
read,0.06157874241892432,0.0072206707065993045,0.0062447801391536705
local,0.04411473656469916,0.009431654894474797,0.009616560610158975
like,0.05487913849010685,0.0022644475915796045,0.0009392299423678701
information,0.059607066363504484,0.00038158879066421014,0.013522677996264137
ciudad,0.0066166030896499806,0.12127445353439577,0.013894169969878783
lot,0.07301413190963493,0.010371442494637565,0.15981874339918486
granaditas,0.03692946219068092,0.033574867392657214,0.04269472146727942
si,0.0038262239591554358,0.09005138318704026,0.008340168105777182
room,0.044571265428236265,0.0018507094903282694,0.012049335969083254
really,0.07269118054511264,0.009813171389690506,0.18907392660617284
must,0.08254471345934948,0.006648285366509127,0.056170810424689625
hours,0.051424926235799605,0.0005709676576203528,0.020491921357959082
gran,0.0051910611532868306,0.10442389995856927,0.010270398883272504
enjoyed,0.06013416552442974,0.006162571988310481,0.07400559279726437
pesos,0.0426344831823053,0.010204620235730317,0.03200634015996164
people,0.048469803321043343,0.004066512793700393,0.023153312612410104
little,0.058260766546536884,0.006573949688177802,0.09597085001219793
heads,0.047981944454636966,0.004299309760356032,0.026483487020090863
granary,0.044501098207086344,0.0014859725944240095,0.02866350441434544
us,0.0427397059105347,0.004321494910331938,0.014240260526419067
mural,0.03533961982952358,0.027062488909382183,0.07277012356085409
historic,0.05196461458184348,0.0033473584329091195,0.008031231095537179
guide,0.054954343044556805,0.0037447477666830878,0.08549861478191201
beautiful,0.05920496322243688,0.005659285353782655,0.0069947810891351665
battle,0.043534290265037065,0.0007801886616111935,0.024032739897266175
area,0.046441065820679105,0.0025256001965069477,0.031448250314916174
pena,0.0037041822451633643,0.10317751922680106,0.01402978091390047
miss,0.0460881882192941,0.003151714207043564,0.04155831922709598
mexico's,0.0,0.0,0.0
lots,0.055045990778162496,0.006026715695953945,0.08108242786917103
large,0.03953449952454524,0.0019082889214293416,0.03665184252594637
know,0.055106545384187695,0.0030603560479290277,0.07630446591408069
exhibit,0.0368361904714916,0.003780584632003861,0.01383631234999377
different,0.05489949045302996,0.003296750423495392,0.02514219853246228
bien,0.0046518498826915895,0.11544190878861511,0.0010910542360238918
back,0.028286347039054634,0.0019423129648162187,0.022475475994761365
1810,0.04608362774037351,0.0077585910825242075,0.012288241615334462
wonderful,0.04267333614106457,0.001165938500009063,0.06889743150107479
visita,0.004937870274909815,0.09254354518555878,0.008319662386817011
vale,0.003617901870971712,0.10220357326661475,0.014719601312761288
spaniards,0.035847227178954263,0.00013602864779962506,0.04513458152225322
role,0.044477323767217344,0.003812993845163359,0.06577210640780146
murales,0.007749408432224145,0.06725492124261025,0.021017151215103058
morado,0.040760551958491986,0.009396924073050508,0.06684557130082724
miguel,0.022424066197044894,0.009458436117268244,0.019865011499970074
interesante,0.0049149810379533485,0.09631625795056852,0.014924766948007732
guerra,0.0037539038336426335,0.06837079688531282,0.00939036751606652
floor,0.04051207100640012,0.0006669654111002041,0.015320630204493783
understand,0.038463888344244655,0.004154243021998489,0.0010072240401550068
two,0.04120454995020105,0.0010305447330643685,0.006463872922377953
took,0.03889235427695057,0.003263309360070581,0.022169906030032827
struggle,0.0351187313802424,0.0017798134353571259,0.04987590538268622
salas,0.0030433642117182105,0.0687780191977241,0.008566364871953542
quite,0.03665498284824924,0.002002581629630264,0.0165223935547268
grain,0.032365382796452305,0.0015297596147068303,0.02590069536210721
entrance,0.04170614507371157,0.0035293894112243176,0.02785002695610707
chavez,0.04277839716389583,0.002778636143788631,0.06268422479701326
bit,0.045395068529843666,0.005593637392799948,0.06166774843000249
’,0.0,0.0,0.0
walls,0.030729027608710782,0.0016844850782511194,0.026527705677055296
tour,0.0319137242598488,0.0015938188202107018,0.05057831617742165
things,0.03447207115765778,0.003356475774617255,0.010146273137966125
pre-hispanic,0.0,0.0,0.0
interior,0.01618726665804832,0.03896313102253522,0.010841935034194354
impressive,0.03282132443755938,0.0021858385692447614,0.01117891380832601
heroes,0.041861695164742266,0.0031690821723310727,0.019017134676590254
go,0.04154685834948364,0.0038784970622341144,0.01045005378587748
excellent,0.04154887305862471,0.0024383545770787257,0.03245721620532072
events,0.045886369970592464,0.004178244430013203,0.06860490956465314
conocer,0.006770484891132644,0.12440207426908095,0.0057804063744670625
visitar,0.003409545290872944,0.11109556902277824,0.007574099714961428
tiempo,0.0015479596806583472,0.04788691748484476,0.008910196368676838
story,0.039106007090271774,0.0026922671946393055,0.003804544988870694
puede,0.003029965532910114,0.0698124940118165,0.005434358813514235
paintings,0.03279624452719757,0.001256557616093514,0.027646361928198058
outside,0.04197193017475258,0.00440524346201302,0.01724795689244255
major,0.030405207675003567,0.002113631702534205,0.05288730413929658
importante,0.005058339460190071,0.09314769961227624,0.027577426026996206
hung,0.029596017989576985,0.0018075211198928722,0.024684156426798998
four,0.02785138097235618,0.0012811361850573722,0.05491186988885396
fight,0.03589151029864847,0.0035275415903812594,0.028971560635735853
done,0.030930302412428532,0.002801479745138648,0.03446732878416821
definitely,0.04229073705673166,0.0034541112192328608,0.03945478041673773
corners,0.028724535324452412,0.0014594721762678856,0.02292684323045175
cards,0.03652789032518798,0.004876943561498741,0.028394514534393272
around,0.039550242944898846,0.0016463169630811726,0.019575152055872933
aquí,0.0023950522655586588,0.06662920187699185,0.0018567558322064787
