Words,Topic 1,Topic 2,Topic 3
the,0.42175452677786746,0.04388524811935548,0.21011257370131387
of,0.3096168293750338,0.02045257139493025,0.28851471256912986
and,0.2517962718215892,0.016751960064120722,0.010428352721232362
to,0.19075762492320955,0.018209271002232977,0.17303458501495983
is,0.19089197031860744,0.02673221544547036,0.08464435817925138
his,0.19433591097543174,0.03236237232592249,0.5217464452617075
in,0.17581888206557514,0.010101646077578465,0.15088359940403295
diego,0.11717603620195893,0.23184702073011962,0.02842691678005283
rivera,0.12489952617716672,0.21329794742180888,0.025770167326960552
was,0.1653235879815892,0.0071403341292047414,0.05214787010162956
museum,0.1378975927878587,0.004559147090361666,0.06003736850974492
it,0.1533488106549021,0.011952210541522325,0.14064914407880288
this,0.1242144267285674,0.006411202593303243,0.016901366267453578
i,0.0,0.0,0.0
art,0.1171702414520727,0.007444230864888009,0.027773308623261887
you,0.11177594069397584,0.016254422170611255,0.03730852230675426
but,0.10066918105493895,0.007282152474517304,0.00854778760617335
are,0.10633493628174547,0.011892929544533045,0.005226685873250643
work,0.10844630466381941,0.007664220818545269,0.24003402967127385
home,0.09933974186584728,0.002092191480709159,0.17238595143803986
there,0.10273883566182355,0.008509635272765239,0.03672183948860582
with,0.09005995518021202,0.004618778725909471,0.0011679670302745596
that,0.0921864785717194,0.0019691874150687258,0.0485165192781691
as,0.0979312421684995,0.0033820547947190148,0.13226985708290376
not,0.08321145032704363,0.007088600677163508,0.02745873883341832
see,0.09465935613806731,0.012748236424596994,0.06736906056337147
for,0.0800986666680188,0.009222557733685674,0.05544587561984625
house,0.08666773348339064,0.004932876211990709,0.12270625374272971
on,0.0784123347771062,0.011514290975062957,0.034629023129702986
interesting,0.08408352086144426,0.0006670577161091448,0.032980446688877604
casa,0.008870593505453325,0.37416808192171785,0.019581874546058104
an,0.06876037990004766,0.006300856923673581,0.06260823527046393
very,0.06966215066818293,0.006031949926974708,0.060034779410578956
!,0.0,0.0,0.0
from,0.06919898303129944,0.002753957137697498,0.003699933190910104
visit,0.07359825686761808,0.002140888549203117,0.09831143880757796
we,0.07154705570535927,0.0006774018491544876,0.07245162117810365
works,0.07140774737411759,0.003471527973142043,0.13855400844721286
some,0.06811837532127424,0.0022911769086776386,0.04842596100958149
by,0.06473401816095568,0.00228619934506499,0.001193247164695462
museo,0.004907462988692832,0.26853815362494277,0.007271834160820947
artists,0.0669569709306656,0.005105016723966397,0.03392311355707701
well,0.07074580553787102,0.0019429824025229082,0.03266021311886398
so,0.056142730574073096,0.00679224632575353,0.07830735940644779
worth,0.0628033543992486,0.00706076973682406,0.007027276039402214
were,0.06141543728335125,0.00299830671886867,0.03539647039292532
rivera's,0.0,0.0,0.0
have,0.05674164884102068,0.005605901942791277,0.0032186022491021557
other,0.060706875516464996,0.004075686715035536,0.019406597220483213
one,0.05901415902962889,0.009150689521223505,0.032043410741934716
if,0.05549944845415127,0.006702144358105653,0.003317423049449721
frida,0.02930562808333265,0.12359599793117446,0.021659465396991165
more,0.05533141867475027,0.00016146698967990666,0.05510020056754009
guanajuato,0.040942603770719656,0.055224067745735336,0.02115812558728221
early,0.0541657025271201,0.0065204979495261176,0.06437353456023642
where,0.05608365746180237,0.0044202056132993175,0.00525347904074917
also,0.055067690070960705,0.001004947953600647,0.05577926412697686
obras,0.003304595662345639,0.2594691181870365,0.005862898367024771
life,0.055286597355353406,0.0020843183071176845,0.04438584751243432
about,0.0514163881984153,0.0004806350022746355,0.010268450461436039
),0.0,0.0,0.0
here,0.05094533381608288,0.010639543915433113,0.0846057059274106
(,0.0,0.0,0.0
which,0.04762313364277903,0.006648552673168239,0.009649677753117215
much,0.04779058394435839,0.0028559895752524405,0.008897805810431123
at,0.043584848807377764,0.0064292794975033775,0.026217297522794454
many,0.047382619692064636,0.0020677815901821825,0.00965970925901125
it's,0.0,0.0,0.0
great,0.05148460585968202,0.004805858010557193,0.027595523411799144
be,0.046233876389155014,0.003731290665553457,0.04501650311832747
paintings,0.04561324675525718,0.0003545559489198853,0.003169141911192256
had,0.04190194289896983,0.007340006672358057,0.04994215219249368
collection,0.05097704299874602,0.0010941015347004214,0.06175983984371767
small,0.04737306377328735,0.0003130846688798531,0.01915220731499603
first,0.04777962298359637,0.003659871024248343,0.057141188313021056
time,0.04430721264651585,0.008835115561250653,0.010915039420742997
really,0.04456096388609287,0.002473777747291766,0.022497571777509565
years,0.045432597634223755,0.01065256120979938,0.10397365440318415
artist,0.04838529496451878,0.005588100935627982,0.028436097616694675
floor,0.04144629079702723,0.0055066624779703,0.022522339172750174
enjoyed,0.048641808513298454,0.004127334685937408,0.029421266206341425
born,0.04271438217054468,0.003569912424525932,0.006114046333700501
mexico,0.04289574465202487,0.00014339045632847755,0.010980588576603218
up,0.040711669865915644,0.005039523216148521,0.029177977744964025
sketches,0.03831669183809032,0.0024548366937751347,0.07809328656278751
rooms,0.04385409631530242,0.006392097508492438,0.002774374642703558
only,0.03952911913204723,0.0007709380706877893,0.027571629818882577
they,0.037911985660227895,0.004133806909971694,0.025132024673435484
or,0.03507851011657611,0.004774254494570683,0.024218035910631302
nice,0.04079558279817939,0.0013294416583256674,0.03194761941747626
lugar,0.0026484270935752314,0.1836690195442284,0.014499769508092954
floors,0.03839211813649058,0.006312062215798314,0.01378137136821013
city,0.03878999830493297,0.0012774384117912724,0.013920502241608831
lived,0.03878923853933859,0.0004200446320162336,0.004200159480798831
-,0.0,0.0,0.0
murals,0.03553814571777112,0.0020486694944081684,0.027729166729453254
most,0.03590775759435985,0.004773160291996078,0.007822513933793677
into,0.033247005201899854,0.00033858878026531093,0.012447520649929027
when,0.03493128338053504,0.0005249288331981225,0.006913450184640463
place,0.03586663992209244,0.004653422200241139,0.017062714156457676
little,0.03490537488415462,0.0005105888511211369,0.013238829356813179
seeing,0.038260903340596314,0.0014814300264914947,0.11962286000222297
s,0.0,0.0,0.0
exhibits,0.033652729690774645,0.005783396856266418,0.005596725801416155
all,0.030834759829122368,0.0036129916984651645,0.027812688212061735
how,0.03270707893788456,0.007520688804336505,0.0617900304108741
famous,0.03198329687650731,0.002064316877963845,0.01650049400185468
diego's,0.0,0.0,0.0
childhood,0.039204556275890416,0.004824897008249407,0.1696078567533114
’,0.0,0.0,0.0
will,0.028576293922377784,0.0031212114281521566,0.04101140106721848
pieces,0.03383808597990748,0.0020564766849376736,0.003416051928264165
get,0.030163470919258924,0.0054523565418161425,0.03592610338636652
been,0.03378903663824868,0.0029947522403993712,0.005475224989187116
artista,0.001301967757446982,0.14465080781843412,0.0023154629667993766
what,0.029724524432972535,0.0027318561030106416,0.015645476116092634
my,0.02970930047730844,0.0002162236092183432,0.07139505834931124
kahlo,0.017840220572804887,0.07278364326245147,0.015531271898321404
obra,0.001924596512881484,0.1463876963517154,0.0026000438982076647
family,0.03303294206820867,0.0005378978301841007,0.04638643151386741
can,0.03439723301260152,0.0063168251938332965,0.03621293322445532
vida,0.0017844534911281636,0.13361832669181634,0.005549391231513835
tour,0.031670010768933776,0.0017842138330921439,0.009794994014247499
pesos,0.022069017724957223,0.0326494669222961,0.020989712880966883
good,0.0290925477965983,0.004150898488364888,0.0014259166001675142
display,0.03047283690858884,0.001440693009661061,0.027584454681705287
would,0.02977060635731268,0.005660901656206382,0.048890226615770194
our,0.029967511432635187,0.0017778123089566872,0.048325328712462874
must,0.03041929041053977,0.004528046992359645,0.006277501592058872
like,0.025907272855083235,0.002893087403406224,0.01316098755096273
just,0.02891910114640854,0.0025534244109052845,0.03108591621053995
take,0.024640857453148226,0.0034397412658795246,0.03680561824164805
interesante,0.0018247472565953724,0.15070983449000847,0.0012661512436244542
furniture,0.031715873280250065,0.0016517849306115888,0.024465101619595083
don't,0.0,0.0,0.0
artwork,0.030977849978144213,0.004800693503108343,0.00854919217848657
styles,0.026328990123549403,0.00013937666606078202,0.015191800166491866
pinturas,0.001512500152640195,0.11329114590260837,0.0007007541904826258
photos,0.025625063843970418,0.0032697105832303203,0.020181773242567914
out,0.026163878261506512,0.004326009521242646,0.028176089162827715
nació,0.0021940690899382685,0.14918975701050055,0.005846495478772871
mexican,0.02373050021133606,0.002568027295631023,0.027830591582876082
artistas,0.001811753901035405,0.12450075693568723,0.0026555402158364994
original,0.02245957929077536,0.02459346423527164,0.02653106575142529
old,0.02584352685456319,0.0023175910370727033,0.04911449832202079
go,0.026141110325209608,0.0034414306559587527,0.0306234528549841
building,0.027088761116479943,0.0037318456000201908,0.02944925078791298
wonderful,0.02641754525377678,0.004007325688335953,0.010928176824175077
ver,0.001973234947933888,0.12659077683449002,0.0004564998397664258
through,0.02482725043715359,0.0019276558000075334,0.01862103931042696
gallery,0.026132650856136006,0.001373367538063044,0.011822894653543891
definitely,0.02498165067399886,0.00417261351449198,0.03581969429816327
bit,0.02528745619798525,0.003216446497555699,0.0016182978009160831
your,0.021224203429318217,0.003675599787652888,0.021863832526042487
too,0.023388008714475123,0.0024836622746774325,0.03204825483201266
seen,0.021970290037858917,0.000527115563576539,0.016912349191116293
mural,0.01607511097341834,0.02919427983993791,0.006866535651577998
drawings,0.02445823554394482,0.0026853201602125135,0.010737305472593071
did,0.020976294843630235,0.0002673291782074953,0.00903458759275309
...,0.0,0.0,0.0
while,0.023937985660766475,0.002711790407839952,0.0157594609789106
upper,0.022012957397357813,0.003207526429808324,0.01560482491713791
style,0.023494095390815095,0.003419205894564218,0.03926372023051454
shows,0.025686673222132427,0.0013613252323488626,0.03588613002465095
pintor,0.0010280529571531703,0.10746667944161688,0.000536584076907512
pena,0.001269532589042081,0.0984127531995333,0.007776171425969496
parte,0.001191076020446349,0.09342136798582212,0.006891907802428506
lot,0.026392229698087587,0.0025298220179649084,0.0004586476722907435
history,0.021638907360366968,0.0009294019672614826,0.00867532488410662
few,0.023166576851177227,0.003915898612643782,0.008434770163206144
contemporary,0.024132508502486775,0.0002727696817973078,0.032688633144934455
room,0.021257676543075633,0.0022973859465058558,0.029516468285686766
new,0.02155081289368869,0.0015164782819706698,0.04402094018421481
know,0.020949204842213152,0.0015535837536947152,0.008718708751380373
gran,0.0021036255235708833,0.07963347964787003,0.004107005734377745
exhibit,0.021515294938138214,0.002595531189318776,0.011708189135018527
bien,0.0014590676669674692,0.11077080886124485,0.002389873062108493
años,0.001238894408506199,0.09359601893209946,0.001155544197961691
20,0.020505257194706708,0.005335687296463118,0.016760376957195764
visita,0.001130098182316841,0.08103549214425032,0.006498497034425379
vale,0.000977852431194398,0.08807116065225196,0.00679465129910278
than,0.01996832755720479,0.00036376993150783604,0.052814750426964645
quite,0.022370685571040997,9.186235968728146e-05,0.0017323043327541294
period,0.021955336148392162,0.0006687249372148838,0.014004545874525412
méxico,0.001456475204450523,0.08559763353512821,0.0013746120117881216
modern,0.01951221116511987,0.0016923731960542302,0.0025548591512864287
itself,0.0209066183704407,0.0019046205210065366,0.019426088682629326
guide,0.020515044645679482,0.0028013253498117164,0.042770580048618986
century,0.020982518062897377,0.001588916761361314,0.022038590360126835
beautiful,0.022459736617826555,0.0004443481598184437,0.01133193359378715
way,0.01878550878717061,0.0028086141410759075,0.028550890877985742
spent,0.022941790451382272,0.006799759805078535,0.04457627194633234
people,0.018181993922724477,0.003168150759032892,0.0066095090755090066
loved,0.022221870558599838,0.002320229615189165,0.0002460705543315987
its,0.01988048100176775,0.0019705835564312684,0.007611708621483229
do,0.01899128856183786,0.0008838743415889944,0.023118016014415262
different,0.019352005290561042,0.0002597624881169447,0.024643703097823284
/,0.0,0.0,0.0
vivió,0.0008690990268988663,0.07960589997436887,0.0037636267327749665
visited,0.017633617172076805,0.0020423992907264515,0.024076205526292804
temporary,0.018003772245594657,0.0024893327759598865,0.012912853266472795
si,0.0011882500942005877,0.08606454922121501,0.002699759391311761
muebles,0.0013945408143107754,0.10184387512162463,0.0027037026443063176
hour,0.019814818955501436,0.00197558949669641,0.029116934730475153
historia,0.001070168731583767,0.0723397345095357,0.00045640911898284497
him,0.01929870965246373,0.003984343706441232,0.02900897731961819
furnishings,0.02009375652267184,0.0026232461454090373,0.007032109364376486
english,0.017822035025115077,0.0027426299795228616,0.04292288498797922
displayed,0.022345053922411984,0.0012678473061540469,0.012627897400829879
conocer,0.0013783703802727483,0.09116734365318775,0.00018458327532817637
arte,0.0013154983161621243,0.0893902512051636,0.0010635584893619048
6,0.0,0.0,0.0
época,0.0008456950031723886,0.07476861822142915,0.005013427998937112
who,0.018268347670091434,0.0025830146726337033,0.0018505958597280546
visiting,0.018425637081923445,0.0021908538404460886,0.006909814715119094
various,0.018515311281389304,0.0017274303750566624,0.005124445775188769
us,0.017146374582510438,0.0010518794279239195,0.016636408740955736
their,0.01655014779356445,0.00018653922434371033,0.020765478633332366
spanish,0.01730092336559381,0.0013661406297033427,0.037135180292674486
puede,0.0009085406836010527,0.06515797141945905,0.0024293205403430203
painting,0.016948237391896746,0.0009547119700676459,0.01251906098781132
nacimiento,0.0013869492270478507,0.08585710024405613,0.0060960409179683615
even,0.01820271507753395,0.0035521940012403544,0.023839916034564344
ciudad,0.001213142122067538,0.07333847443779248,0.0005808738883317009
went,0.016007219459482084,0.0013872950772435457,0.01856148257319538
pisos,0.0007345533623747159,0.0601051461273457,0.004203742081474292
pictures,0.01603497041269446,0.0006617679395051953,0.0007645668860348291
part,0.01790335212418678,0.000124572461665296,0.014836038199841119
painter,0.017127630603677817,0.0035961091755948985,0.010907951306473571
look,0.016468694961885088,1.4871285997676022e-05,0.038006216373898394
learn,0.017100390308705977,0.0003730969371611572,0.017756761910611058
incredible,0.018535711206731174,0.001101963505295915,0.008816231538756722
fee,0.017823362673324395,0.0016352020379175067,0.02740156233932661
fan,0.015109466591950624,0.003678112476512755,0.05137133591035458
experience,0.016587478789509547,0.003948146860364174,0.03621946148026651
child,0.02013160588485198,0.00100162132647013,0.01826962345904078
buen,0.0009337555937340602,0.07485359470827842,0.0035437413376503643
:,0.0,0.0,0.0
visitar,0.0009377459098102269,0.06966094158612078,0.00020139154611816332
