Words,Topic 1,Topic 2,Topic 3
guanajuato,0.23270755867167875,0.116354109013277,0.07326404192588004
ciudad,0.21222526672883196,0.33562201615836856,0.25639523070897463
vista,0.18749193148049906,0.28254308908194686,0.1101794856343408
view,0.26913284281103556,0.20072167120898088,0.01014442959035337
funicular,0.20975239638300214,0.023225135798786035,0.015539247296417985
city,0.23511683460838387,0.17879801019468652,0.016741129363659256
monument,0.1956860749652144,0.14682588611786213,0.0041723598476652735
monumento,0.14568356175131908,0.21464891271226705,0.3931129573741939
take,0.18751954997686368,0.14219521457783457,0.008134263886604388
ver,0.09447413747528015,0.14666427637014393,0.2885577300977765
top,0.14686192253438632,0.1115360164775584,0.03028667350307572
lugar,0.09304091597958368,0.14914994344629276,0.10684295424810798
subir,0.09776170427078848,0.1478391286655079,0.17649281576237003
pípila,0.08739323468155763,0.13244760756676663,0.08152021544608276
great,0.14261379576063357,0.10833412976323618,0.0069651895597680116
walk,0.13065993245940455,0.09630481711125903,0.006071498624209278
see,0.13306386025792558,0.09850101109255911,0.005641742441139906
pipila,0.10822852877248207,0.06864922746005313,0.0013378621658178473
get,0.11878567754298022,0.08665090765215407,0.011055450994156621
puedes,0.09043511974340487,0.13916352595616904,0.14967007441450614
views,0.10840967651580742,0.08111873645593676,0.006851180307885623
go,0.11877146684469056,0.08995576502927805,0.017858619117840077
puede,0.07828241028156341,0.12109920206151524,0.02239311085371172
statue,0.08367420418373123,0.0609385677837044,0.017336532695315026
si,0.06089401244105894,0.09513015479808176,0.11296440249540353
worth,0.09580778237295588,0.07332949758471861,0.020087304037084214
pesos,0.08402179385488506,0.010533049792137346,0.037671560895204376
way,0.07691502134204732,0.05820411568890501,0.00837902937858319
noche,0.06322306421502054,0.09911182100386585,0.1893334947722485
place,0.10486605089342003,0.07674465544102393,0.013582715597796127
best,0.11017623688102422,0.07994055009706844,0.001782115376396553
toda,0.07300879968701064,0.11648978862441745,0.12237959898057595
mejor,0.05648269877264224,0.08338223357017491,0.036475424931001685
teleférico,0.04293381673202795,0.07005997416360459,0.22641293810127713
mirador,0.059073889779191265,0.08281658704353806,0.09292223501727218
one,0.07415478702630943,0.05205140005458397,0.001426322485455674
pena,0.06438059165165258,0.10258026874026091,0.039754588369178064
town,0.07538863726220138,0.0568992318940575,0.012477911268802025
time,0.07231447434906003,0.05449168411728502,0.0019534235764062215
hermosa,0.07136525472351381,0.11053954639785327,0.07228526218976934
vale,0.05992814430757706,0.09610322188690607,0.04408896895258079
teatro,0.05120935802786209,0.017050775454684298,0.06201104364829531
beautiful,0.08547140085217762,0.0623970220709312,0.006508765244179651
ir,0.04689235912263736,0.07145599637112175,0.13561330679368983
good,0.060744910776693604,0.044612252698199364,0.004614771279690053
',0.0,0.0,0.0
took,0.06965594763260735,0.049582371458081795,0.003366446526085441
llegar,0.052454432117397934,0.0743383477966688,0.024161366425944984
tour,0.062355165295042446,0.015863355380039162,0.0028626911541547247
estatua,0.043406908766252326,0.06817952133237229,0.09070958310375282
back,0.05604452729692979,0.042374134419756,0.0049773095688534046
allí,0.039332964472877076,0.06278887484578555,0.018747512303999497
tomar,0.049201733299257686,0.07347914516370173,0.04456341973537698
paisaje,0.030770211927529337,0.050351986545964955,0.2290732428976126
visit,0.06179609711472401,0.045880307274893964,0.004545762108389535
little,0.05549788330196243,0.04220835595616642,0.005801524618165471
amazing,0.07149177008502831,0.05204497142993624,0.0034556260001834794
also,0.05223473876524951,0.04034212485406447,0.0072248795667163804
