Words,Topic 1,Topic 2,Topic 3
universidad,0.2676102397910588,0.25325007704983765,0.06689249515145441
guanajuato,0.26480448813079427,0.06685612743374254,0.16441913997796861
edificio,0.21310810873407374,0.20686118135809667,0.057361345452742636
ciudad,0.20293566887297954,0.19537069301488097,0.08982113847517016
building,0.19810786024375188,0.22763364378401355,0.014891375259908758
university,0.17005800139429889,0.18559341771584326,0.18428216468657255
arquitectura,0.11774111935335081,0.11461451550392635,0.0013321970146423139
steps,0.12527232169541502,0.1408689112951617,0.10030665817898318
stairs,0.15699795655593846,0.17907261444318842,0.27292288119020025
escalera,0.12744849267382583,0.11981323125485883,0.022994365910348473
city,0.12880514293330694,0.14810313326363259,0.06596394863399367
hermosa,0.14032323398368907,0.1379237766966816,0.16308414135286414
beautiful,0.14672954962665308,0.16573345787445384,0.0843953366616637
vista,0.12318851588956009,0.11991444037549044,0.17718503050037304
puede,0.11536752439306049,0.11042797596380363,0.04118027681409174
lugar,0.09039520021880589,0.08596652076615441,0.13929141689979582
escaleras,0.09498235440763857,0.09288229454085654,0.020001023514266202
architecture,0.11055073890210207,0.12178073531615857,0.09212742774757436
nice,0.10565296854724267,0.12403701572342372,0.03660025588721039
hermoso,0.08073621135149561,0.07829586671585557,0.08444997881751802
place,0.09607494622566397,0.11100576737927889,0.11722535091050468
great,0.13402682176902816,0.15148585494205236,0.2574865720830292
gran,0.1016526448256987,0.09647878058056873,0.03887477016530729
worth,0.1036081769199324,0.12217811774042431,0.12364272206515244
subir,0.09915138307839994,0.09488506769056713,0.08011302282807323
si,0.07879270351767284,0.07553678367687028,0.0666021709308068
students,0.07076362512890055,0.07984030668443347,0.09675760097877992
ver,0.07317290723510572,0.07108729134221681,0.03892261918651895
around,0.07335908141496877,0.08244011867162966,0.09866627614654125
visit,0.1064446585709935,0.12133154647536301,0.03824801614111518
view,0.10493642819774157,0.11851090568222611,0.20125345734112998
see,0.0697720748284409,0.08107065972934241,0.07903695571600816
town,0.06291504823801435,0.06870149998343646,0.139756261603116
historia,0.05655570421369773,0.05389350671133591,0.0042317013185046186
get,0.07053782655653139,0.08302538670079136,0.022223607664201714
centro,0.07883183289229398,0.04152734606365835,0.02251026583399361
go,0.08816647451658775,0.09590217641242592,0.013400709853553513
estudiantes,0.0586376157267651,0.0543583083096856,0.0598844879086701
