Words,Topic 1,Topic 2,Topic 3
historia,0.3532466804741944,0.20564627548419326,0.019991910178464817
lugar,0.34533681531272853,0.3352096787059623,0.3479306311428178
museo,0.2310290032594942,0.24457507938881085,0.17570192449672745
independencia,0.19936547554958614,0.04326865434885588,0.40099981400100987
méxico,0.23067447430577104,0.18343721267304908,0.3140266533683657
guanajuato,0.19788505971870804,0.09734959137470157,0.08841264775190343
si,0.15979145527600555,0.18514146778175045,0.24127928053071407
bien,0.13652647127921377,0.1512661726558475,0.03823978739068516
visitar,0.1504778456115573,0.1436530266119014,0.08366658313048612
visita,0.13945681153020892,0.08010178435206593,0.03280087549794498
edificio,0.11051892053725122,0.17536780071167818,0.15234529057285195
alhóndiga,0.1012097978720357,0.014274797066644404,0.006866896298964227
parte,0.13397178183883882,0.12264888353336362,0.20288621494173945
conocer,0.13337754104577557,0.19778157445221708,0.01593153283387522
pena,0.1063171150677571,0.2648662432674783,0.14631392774750446
murales,0.0840924521107113,0.1419961333892631,0.06270207147728574
salas,0.08568549643316185,0.14880803508555748,0.12802997430949056
ciudad,0.10540415819707045,0.11692565450395724,0.12805799765765316
vale,0.09915216729051256,0.2466971670978036,0.13531798766813108
interesante,0.1012278361163821,0.11427062746246544,0.057676440215177996
entrada,0.07474114529561506,0.12131436941104193,0.05851472469540787
puedes,0.07719467217452033,0.0056540658111656995,0.05768611946786565
solo,0.06377511537266473,0.06895645413824783,0.0032396710812253623
mas,0.0710446772935243,0.03380556238282949,0.015636654890645623
histórico,0.08030333466303577,0.08558973296379879,0.021077450562906823
ahí,0.06652845078498326,0.02457765761416237,0.0018738861996949268
guía,0.07221953762727353,0.02953716952848919,0.0020076030541674237
tiempo,0.0708981051592393,0.07150866201554378,0.07258556961577628
gran,0.07094569643772662,0.07346379279166121,0.020403211538879355
ver,0.06114597682097612,0.009167925243162945,0.021884113047925216
dentro,0.06354249957097063,0.0414636096921036,0.011914017894300433
ir,0.07608272053675871,0.00544863847728432,0.11834279222085611
importante,0.08861258883152658,0.08830948305055025,0.08527963001020554
recorrido,0.05718918306822882,0.012283800872141638,0.028701517069365485
excelente,0.0786227895683543,0.04549494457360632,0.02323250271516792
lleno,0.08099344851074197,0.08912431612336008,0.09610201229087069
hace,0.04724659963113043,0.04781711026308182,0.042570017108104104
mejor,0.06787723445493737,0.05623259978426813,0.0491720128060107
además,0.07355527608505615,0.0387886865819211,0.1182994642915415
obligada,0.0839662129937406,0.05088938879035706,0.02399424451591888
mexico,0.037226627700090796,0.021915350439481587,0.012581507180261412
entrar,0.0448366729923635,0.07069842144844062,0.03484889852703074
cuenta,0.04920831631172642,0.05980400673049485,0.014583852553785184
conservado,0.07028441787860268,0.05904370074384792,0.028744949411579717
cada,0.04535647431371582,0.024183036288201537,0.0065743663835216605
mucha,0.05981894528678921,0.018552749930942584,0.06419879162905294
información,0.048180303971908804,0.03025737622207402,0.0030808636494066097
visitarlo,0.06229870208527356,0.04610563876618165,0.06023291171860409
recomiendo,0.05203759994702804,0.0034206222887158038,0.034695462420405734
lugares,0.05407453850393884,0.04266828644558816,0.005723440266091404
ser,0.04627205472444212,0.03413148934066267,0.02490440188146139
niños,0.04684753387077658,0.015490996412564368,0.02479708871275572
granaditas,0.05006551496446823,0.003714159216454819,0.02128933116981668
país,0.0558898454015255,0.025312294432935378,0.017893793418881532
recomendable,0.04992360741623933,0.008414012538245495,0.04181205708504361
exposiciones,0.04221719017551126,0.04328014244608044,0.08095412484107123
buena,0.04251596064225975,0.009209949571672543,0.024422769333029743
vas,0.05954547288828677,0.05782679822512839,0.07930180069111892
gusto,0.05207056328438567,0.002264505148950963,0.007632232544724338
cosas,0.04578418951611781,0.03486251752828235,0.03690805792719702
buen,0.06275958644859,0.014409453676916647,0.0031848784248984865
bonito,0.043359986578095575,0.02414406089955581,0.01963178265938142
toda,0.04067668897906067,0.04354947729905442,0.009150429329356278
museos,0.043697569783026274,0.015218480957949341,0.06431678593243076
history,0.002353423192678482,0.003720590980386308,0.029860728002574076
hidalgo,0.03797403093659658,0.0031977101259022087,0.05204187124098169
gratis,0.036626627811176,0.07498991864216406,0.06260654430162307
fotos,0.0389714581365644,0.07808219045563047,0.07746823155144943
tomar,0.04144326572018877,0.05447938113120525,0.06875837408570806
domingos,0.03931636757841429,0.06660942900617997,0.024685257588561816
época,0.036443414277425895,0.0255835669948073,0.02140650644158096
puede,0.051541119701117986,0.006373489618974555,0.012780629678138443
guías,0.041988209120246194,0.01252434092527178,0.019043385455237094
sitio,0.03240940135422332,0.02149354516172822,0.05200734822009451
muchas,0.03772796906337732,0.06777449890780118,0.01520085562548669
interior,0.04212541512086024,0.017472944643953537,0.07670932050038386
costo,0.03929288765961178,0.0341241221978362,0.07038202097768474
así,0.046017801213081425,0.0011356764108833826,0.028733956423777594
pues,0.03687733905876241,0.012304917795532904,0.007395657794305307
pesos,0.030856218124334363,0.06691944741853499,0.04980513257954648
