Words,Topic 1,Topic 2,Topic 3
00,0.003419922961062403,0.0027028011886694923,0.009756387069508123
10,0.008091062001920548,0.004251534445244061,0.015010466735122397
100,0.008824517305298091,0.001495182605769712,0.003861323933832442
1000,0.0006637960891466119,6.268046610429537e-05,0.0010363366405208504
10pm,0.0009126909474741566,0.0026682986875837403,0.0026508778179803296
12,4.492442121758507e-05,0.0003266377386546549,0.0004306810108260638
12pm,0.00014999472644702832,5.637988962546277e-06,0.0011933435579371027
15,0.01449499526908011,0.05096110511650096,0.015875336041374758
150,0.0033541977028676887,0.0008348905054346253,0.008175975619172647
1800,0.001587483540187976,0.00015220368405098887,0.002754421181143025
20,0.014428123376437193,0.012556959609109072,0.02345698352523884
200,0.0039873612543313425,0.006330085559056786,0.002636728739291381
2014,0.0011719217194018183,0.00276459192768712,0.00796374243243382
20cm,0.003329006562812893,0.004515794036499062,0.0028306538397884335
30,0.006669748031537493,0.007924927519436728,0.0034533525250750557
300,0.002334866123943315,0.00017502508560600963,0.0021727811317193606
3000,0.0005294077054998837,0.0007613865884258501,0.0007238797887893344
3er,0.018716213887927352,0.025883055591117476,0.02364045988589968
40,0.002194359828578832,0.00027568541526896533,0.00827775010626529
50,0.0004136844844979288,0.00038115719064384795,0.0006517678557487424
5000,0.0020728737529279177,0.0015158519653881534,0.005342570946508465
60,0.008021875104518758,0.0003571698137205251,0.007118318820508656
68,0.0016517498298197076,0.004223355668390496,0.0007437181758068991
70,0.005889361594649774,0.013353976117904993,0.0023730990820405562
700,0.00038695243230777734,0.0007259932496804711,0.0005340809460268978
70cm,0.0028706181157066436,0.00623819331739697,0.0034757195864109623
80,0.009813279844492656,0.003630809549731738,0.029928287933257598
abajo,0.011206147650330142,0.0015514729965739897,0.023645145908524748
abandonado,0.0010831889249474321,0.0004576313746530341,0.001684991362702046
abandonaron,0.0005194077843677026,0.0018237939442712677,0.0003597018349583886
abarrotado,0.005433585769996668,0.005412659665961394,0.0084245155973158
abierto,0.0024643690462440946,0.0012491704086542749,0.0012469390525651118
able,0.00011479109481359306,0.0006428510712714956,0.0001001115947740232
abordan,0.00322309455244164,0.0007039208095129735,0.0049308922199117824
abordaron,0.001692347584945845,0.0010757619444335218,0.0008560084676907721
abrazo,0.0030685930533837892,0.0012867517347036265,0.00020382117395631924
absolutamente,0.0007276988197807214,0.0010560104734461916,0.0014674345540955874
abstengan,0.0008495230722556341,0.0006264991068984333,0.001115083553639258
absurda,0.0005194077843677026,0.0018237939442712677,0.0003597018349583886
abuchean,0.001817528103321862,0.0003968757661511767,0.0009182671287877333
abuelos,0.0005480434422413576,0.0022192249449379453,0.0007149478035951027
abundan,0.001821944244688005,0.002679557159709491,5.049022586624775e-05
abusan,0.00038695243230777734,0.0007259932496804711,0.0005340809460268978
abuso,0.0008758735030479844,0.0007559806190532154,0.002094707927390776
acaba,0.0010934923173615632,0.0009645660428069773,0.0008846393242103771
acapulco,9.105026442017994e-05,0.0006003531609392475,0.00048476404896399214
acceder,0.006078939593194691,0.009362192899383765,0.00824556170792539
accedes,0.001296429812614657,0.003659601354626538,0.0006557801782663317
accesar,0.004023236189624358,0.0009929548021201295,0.012264659090118039
accesible,0.0019195751700654801,0.0009767539054847654,0.006876775128750318
acceso,0.009513809372276902,0.0066398246657928955,0.018220159776523935
accessible,7.902129350752407e-05,0.00038146855519784157,0.000420144557349894
