Words,Topic 1,Topic 2,Topic 3
diego,0.30846218370636297,0.021051432159284456,0.06877542503877204
rivera,0.27052095462065107,0.003504588770607962,0.045747896849043644
casa,0.26673894642188356,0.0816271036209447,0.06876735337334569
the,0.12202187599372187,0.47072610803894305,0.006628869500056446
obras,0.240925231374439,0.07769343611365886,0.08972794407659883
museo,0.2263649171504344,0.06943252119773746,0.004214943384529844
of,0.10132285645371623,0.3774497650118721,0.0024978006261234683
and,0.06842095003845453,0.26383468694994416,0.0074037055454632015
lugar,0.15100423299687196,0.05038290871326736,0.06193812281220646
si,0.13098784502764402,0.043040770443451296,0.10601359994217749
arte,0.14694039179596258,0.04852416850689681,0.12615413680752094
exposiciones,0.1367565777966816,0.04390171643370621,0.23492954166575075
in,0.04840355063428078,0.18387628755133312,0.0008425076082338907
his,0.04960953735802012,0.18820261977331676,0.00387767282489994
to,0.049680557994888457,0.18520578334495352,0.0007719938742161268
pinturas,0.11751645840258579,0.03753193319931345,0.10889375456703045
artistas,0.12277490974552041,0.03785218141335139,0.1957465914182119
vida,0.09377207161953843,0.030868512660747627,0.012285220328277354
is,0.0425942616740533,0.1577922257320783,0.001155697427080172
pintor,0.10737620316086388,0.03671980904557936,0.010744287769740044
guanajuato,0.08854129574600293,0.004062086990150259,0.023513286827166396
bien,0.10536193949947549,0.03495278653211977,0.15423116653818275
obra,0.10387555109165059,0.03253701304275203,0.024000919188958223
además,0.09222644565027549,0.030508566873785555,0.03185724456097656
!,0.0,0.0,0.0
ver,0.09285862721675321,0.029824574243631895,0.04887727028956977
...,0.0,0.0,0.0
historia,0.08355797602659983,0.027517648217399222,0.09710069393316154
visita,0.09044639602768914,0.028885787873542814,0.03963293344000034
muebles,0.08326329533515969,0.028034532620327495,0.06026888600059386
was,0.03520003126365362,0.13303115455476325,0.003104691885225626
artista,0.09404972657536478,0.03235482299112872,0.0835868546194391
visitar,0.09874615293316896,0.030603716302268952,0.053624257104548816
mas,0.08048261870412492,0.026629504825772674,0.06324004145995031
vivió,0.10900164981192148,0.035099580915103464,0.012738384871814957
this,0.034626473790870416,0.1292807597711156,0.0017654997219891052
pena,0.09906850822679822,0.0314527171348162,0.37146715841611844
conocer,0.09390578764938676,0.03159414576473555,0.09464871792786782
vale,0.0959566439025412,0.030794858663206914,0.3722326074982666
nació,0.08491419378292156,0.026863361393447943,0.06784351264534909
i,0.0,0.0,0.0
gran,0.08899046809474453,0.029419439947873903,0.22982824197837634
frida,0.060494075004495405,0.007932494294327377,0.007800542677466463
excelente,0.08633029280041919,0.027434256497755733,0.10073586344896282
puedes,0.08197295340016321,0.026395578958679923,0.09588262258666219
interesante,0.06959192616115616,0.023886545428398485,0.07553187050922854
house,0.034203854926435504,0.11784238247495697,0.0007139728664711724
época,0.07137735884284428,0.022267161381356475,0.020055411992558805
that,0.02728164050362666,0.10389708223014715,0.0007806818698689583
exposición,0.07672455467373755,0.024482854354748007,0.1533966364229744
cuenta,0.07698697953697745,0.024094936657397186,0.021250052390378152
work,0.02552575551546224,0.09713357366028931,0.0006526393736240577
parte,0.068602771002352,0.021790155593038072,0.007947878283593588
not,0.026763666080242495,0.09709088946243305,0.00038202991308955366
it,0.03170136785372987,0.12010863677512101,0.0005336105664939118
are,0.02455743166702799,0.09512269373468425,0.0016540502042389558
solo,0.05075587605287773,0.0171766831986553,0.0003448473298610203
you,0.03071770735519849,0.11524254567363777,0.0028957058253720963
tiempo,0.060267572323236006,0.019061195231495846,0.014335395806303481
mexicano,0.05879887189228657,0.020460519516691384,0.1199637393856659
colección,0.060160563807382564,0.018759898778605517,0.0020599599429462013
art,0.026124512274962815,0.10005864847467079,0.0012247895913128312
(,0.0,0.0,0.0
temporales,0.06915576703676214,0.023299591121836077,0.15952308738214335
años,0.059962251704541066,0.019480238227523896,0.01850840703077391
¡,0.0,0.0,0.0
some,0.022437478994820032,0.08671377681095412,0.0007597598404711764
pesos,0.05154964791295402,0.008190348740814597,0.05900839364568207
originales,0.057965370579977665,0.020309378027099166,0.10418198899369749
ir,0.05784534151801443,0.017946700110787778,0.006590403027297035
cada,0.04397969327313827,0.014194663222945153,0.020663505677881732
as,0.024933420309152018,0.09510177046752932,0.0017248366208259473
),0.0,0.0,0.0
with,0.0219834078655974,0.08009609175461224,0.0002538507514960117
there,0.01859824576736066,0.0758522484063556,0.003196321043962974
see,0.02319028431874883,0.08942261940404492,0.002064283373934383
museum,0.021924482144678698,0.08563218872649464,4.418054966400719e-05
museos,0.03854195119235594,0.012359555667435358,0.04112030633161692
muchas,0.06157341380977433,0.02004644580980591,0.12198098085752349
ciudad,0.04267376794301865,0.01260309229356383,0.023329667069167007
así,0.05953809036243002,0.019161596761925987,0.025067726740349003
ser,0.04305885868242694,0.013486395567702892,0.006067665699180656
pequeño,0.051489771174800775,0.01615158297433351,0.03819196532731983
maestro,0.04815513044446886,0.015649392352829243,0.09468390914048348
but,0.01884886834692794,0.07279830723915405,0.0013406030119413376
aunque,0.04924146899173733,0.01595934149601174,0.024516319501085456
we,0.019581748198796375,0.06948852998068439,0.00013175994649384053
salas,0.045711938892274886,0.014073833665241531,0.02891523436732972
pisos,0.049693793671712776,0.014938644397560036,0.0050114885443034475
on,0.018699268002026516,0.06576343273080242,0.0015552722869969053
mejor,0.04111606412495228,0.012640210900564167,0.010390495480059641
interesting,0.02190503118245054,0.08094165582313854,0.0008261233479188806
gusto,0.045560505871562,0.014435947543489149,0.04567110554499998
for,0.018031389752411867,0.06541746395462462,0.00250911065176891
works,0.0177533540559105,0.06709270140143096,0.002589625824994969
visitarlo,0.050849586571705865,0.016563420650286848,0.09296729434367379
very,0.014656236095532377,0.056858614685528976,0.0011995762888237927
recomendable,0.040590459279456516,0.01181206681884467,0.009644799819827207
pintura,0.040133840431880695,0.011844391871327227,0.05915847078780925
méxico,0.028898079711774594,0.008283839836026947,0.01625314333471098
how,0.015025395221726606,0.057864735718882364,0.000746956525830987
home,0.015086405212863674,0.06271333145365203,0.0019756037442170524
hace,0.028956750236897314,0.009738235794958047,0.003763824393674247
familia,0.0420965351479201,0.012734727816480364,0.015189106760413924
diferentes,0.0414002888159603,0.013844466829655762,0.021568324574378954
bocetos,0.0427139050847962,0.012742764021149905,0.0495218806411644
an,0.01657731053395292,0.06008973780328799,0.0022434475746900794
well,0.014627643789411122,0.058815255066285724,0.002245417460316364
puede,0.031019894060878492,0.009345970691998847,0.007600358484030014
primeros,0.03589124382305469,0.011334871098979788,0.0107150025946222
pintores,0.03502180004069794,0.011300088893128469,0.05268361832513938
objetos,0.03764506120838659,0.013233570894468479,0.023852938037101243
mural,0.02679809840965621,0.02754155970559283,0.002686277316128244
manera,0.04277445628327795,0.01426206424420473,0.005538617812086225
interesantes,0.0360130925453306,0.011550547868997523,0.047084465390053176
