Words,Topic 1,Topic 2,Topic 3
museo,0.310079790944714,0.034405428614098066,0.1880097969197699
momias,0.287741522778941,0.02732026199037122,0.0785211980577258
guanajuato,0.23665434874977573,0.025392575154077737,0.03766568317102204
the,0.04935835453753346,0.5192294495780145,0.0071900927004308335
lugar,0.21989492289486842,0.026151989390500074,0.4807370155065766
si,0.21539807161824293,0.02500000109837272,0.005433880419190269
ver,0.1681084975173583,0.02006883661172017,0.16264580357215483
to,0.028144438262878532,0.28701701172343047,0.0006445211550908669
visita,0.15516330958661811,0.01707860419886399,0.06250320291935847
interesante,0.1530435253151009,0.018632157099241323,0.07833749745902492
is,0.02448666870596831,0.2530489295935153,0.0037905311739967022
and,0.02334261881314116,0.24148888980263036,0.0043252323200537865
of,0.02124646464183438,0.2186188601639852,0.0007956871057783936
ir,0.1451024198397441,0.016611905508141303,0.10228847469201607
recorrido,0.11810837085863685,0.01326011613973029,0.20233365865283187
cuerpos,0.10692070776644144,0.01238502619925881,0.18065536719336134
bien,0.12456638761770386,0.01556284834986958,0.009161085209000004
it,0.023040358691619398,0.24377106538792936,0.0012927489996810287
guía,0.1086912417293061,0.012920482642083144,0.08110261356617939
gente,0.09347127024489704,0.011259427644504647,0.10606458025566107
historia,0.11128316512823463,0.012983101309996003,0.045895862592415085
ciudad,0.09663614313716451,0.010475313978958142,0.02185894339409105
(,0.0,0.0,0.0
',0.0,0.0,0.0
),0.0,0.0,0.0
...,0.0,0.0,0.0
pena,0.10209926448968741,0.012368709043065583,0.13166795926355462
in,0.017365299409979405,0.16978153315188635,0.0014443551592215633
visitar,0.10387108407567507,0.01127733932679468,0.03803921264153649
hace,0.08711007000408368,0.010810811784816582,0.08037820564222883
puedes,0.09942067836849273,0.011626492551388697,0.008301422057304936
i,0.0,0.0,0.0
personas,0.07843490264729326,0.009638287189558288,0.046826067515753224
vale,0.09638120976390435,0.011430335555294088,0.1196079719045486
you,0.01708533337837077,0.16814250755047863,0.002709661259973185
tiempo,0.07752263185094617,0.009157741453275255,0.017978113907353464
not,0.014808635660038268,0.15378401994867966,0.002525079454955576
museum,0.014320873005321361,0.14955335236267803,0.0007943842368088579
vez,0.08514749688184615,0.010245086483326836,0.011832869790924303
guías,0.07096956038322585,0.008283343072952677,0.031095407600278475
entrada,0.07541708623365706,0.008290649457065365,0.04528248913942703
así,0.0716390372629076,0.008452470016668386,0.02461139414149465
fila,0.07955354058395042,0.009466751757087373,0.2325090861331661
entrar,0.07427282222689854,0.008948916508492498,0.14735157005444852
sólo,0.06609015610546466,0.007868482297832708,0.041185871726762344
verdad,0.07286133611163288,0.008673701481696583,0.02383965499424178
minutos,0.0733301022697349,0.00764686502825395,0.1831069170903439
explicación,0.0741869802190203,0.008533016739807171,0.04119653853124569
cada,0.060029614310359164,0.0070325939359081385,0.04242804350784215
but,0.011854902150215145,0.1218532695155647,0.001445629359843399
niños,0.06448395512682269,0.007648222555032405,0.03359481916081174
for,0.012441259735969445,0.1252998926360552,0.0011807361789053542
mejor,0.060926663508500324,0.0069564332231997796,0.03041390102482503
mas,0.06561720001735574,0.007614601622406941,0.027308327609732442
this,0.012123185244695127,0.11871175536377651,0.0016176276377963242
conocer,0.07757411926869831,0.009271409079243615,0.002636082650018933
años,0.06433236343161604,0.007954426407019533,0.09356720582160798
mucha,0.06685019729298244,0.008302813818899914,0.045036479163403156
