Words,Topic 1,Topic 2,Topic 3
teatro,0.3034153706547604,0.06322071925344636,0.15996397261346235
lugar,0.31493615442551803,0.33737447675788446,0.4423566577927186
guanajuato,0.21615465957649296,0.27727426853230625,0.1453334958784299
arquitectura,0.1685322617226483,0.09062227524360145,0.03153627161491261
historia,0.18806417965492822,0.08271411781023597,0.32217757364007255
ciudad,0.15444520356595878,0.045520280786567724,0.25230102845701907
hermoso,0.1976631099422515,0.08009935534616831,0.024375023579035187
dentro,0.1662624740078237,0.0801893292803965,0.0532172593444829
si,0.1393450188315649,0.030307460434818113,0.06967823392631155
pena,0.1593224162318724,0.4307936379642491,0.14886802988391715
vale,0.15603292311215297,0.43050405383736257,0.15001759772342949
interior,0.11717739929793429,0.07650914068866872,0.042916420477159226
visitar,0.15493706064200816,0.1866102961908771,0.048747000141951435
ver,0.10100695905040322,0.0637774773975137,0.12856668674365287
visita,0.10171304230515711,0.02639031844539675,0.018196712746265133
juárez,0.08651421880628564,0.04076233789683966,0.11942854361719585
puedes,0.0899772735297842,0.0049333354984813305,0.07366757126879649
entrar,0.09117465997312114,0.17752149382970994,0.0007514760032403226
méxico,0.08984016273951044,0.044389626224742254,0.035048576018015976
impresionante,0.10294100982844459,0.015544440632816311,0.07194612911672843
noche,0.0755215256847298,0.06924198846370569,0.10132428179757963
edificio,0.0723285987281959,0.05281986292775841,0.06979604246812415
bonito,0.10212423967709558,0.05380749062906149,0.009999132048120718
obra,0.06312540173094408,0.051000090944764306,0.10406128159023888
centro,0.07742660257859184,0.10842059961063853,0.10645036478524138
bello,0.09352421732619938,0.049449203953481,0.04162735141968262
excelente,0.09544790443235977,0.033616464554061934,0.11211997625056225
bien,0.08077158939219146,0.09077696171060963,0.08343405295893917
visitarlo,0.08977014333496726,0.12524215285992066,0.015703145792272125
época,0.06882149903838354,0.07014447049759318,0.01848779141137986
mas,0.07086450465462081,0.05325732514436961,0.05947566066905231
conocer,0.0769243851802585,0.014643626730002236,0.044888248832381454
tiempo,0.0611740895659002,0.057540659924917754,0.025787651785570048
gente,0.05536362199894211,0.00041884124729783443,0.07633445313897527
mejor,0.056988260353942055,0.027629258880190608,0.0031888996738620905
fachada,0.05633588229383222,0.008627633139187116,0.02873425480354265
entrada,0.05402749153956134,0.05114284310848078,0.035210039093251266
puede,0.05872126158619188,0.04927824974470867,0.05951513777752052
disfrutar,0.0609515988855541,0.01767358348534651,0.05963811330778233
eventos,0.047493118137096425,0.009795775663251146,0.07091861251501395
duda,0.062201856249856254,0.09835103859429845,0.02492304221058536
detalles,0.049659280990874015,0.01427095699831819,0.03528031853758371
conocerlo,0.06636857181382283,0.11396037267899617,0.019474701332451317
ahí,0.05753559869822366,0.02133235842493865,0.022529233220485962
theater,0.005989828694928602,0.014653934712487209,0.033854090867070745
ser,0.057526293368501034,0.014828013313295708,0.017397957902049236
espectacular,0.06004191486916439,0.022411909882809767,0.04241208908537858
buen,0.0638139513246891,0.04901731510475757,0.010939061516490309
pesos,0.037837909765845494,0.04486790099470646,0.005781387623343435
oportunidad,0.052222507143222435,0.017905408897017888,0.060196484659786935
guía,0.05755485080517628,0.031091591991538624,0.08750790319493819
estilo,0.057146697143730524,0.009066852096158035,0.04827384660644855
construcción,0.046575536819504174,0.044292120120801935,0.005712180466538164
cada,0.048428544000338504,0.005894404009639351,0.06477431470195079
solo,0.049875138963278755,0.02526066911423384,0.023693794399372123
porfirio,0.047863892422094455,0.019669368271786607,0.03152932385754053
parte,0.055286070233703535,0.013225807802141503,0.009014222114345593
lugares,0.0584967577168192,0.056279235385110794,0.02478740925131298
cervantino,0.03469910930057655,0.006339732773375825,0.07956508617492186
tomar,0.0586261744432333,0.006511777776735313,0.02497226494156028
joya,0.05356126955776244,0.014421077741391989,0.038728910681402676
ir,0.06224396470272527,0.02616966262642381,0.027821712728227546
hermosa,0.052423027592080944,0.04210441124187663,0.051573807445393555
día,0.045902142532871004,0.0009685663503726101,0.08267367803343013
belleza,0.05022590543576196,0.0012627195018028647,0.01621567920273806
simplemente,0.039289321726005355,0.013977059145863122,0.04427118873240567
porfiriato,0.04323601041029964,0.02016927651972231,0.04013831410873038
hace,0.05256023405443132,0.0038604776648643487,0.05272207607275511
guías,0.05804857769577301,0.000840512721904882,0.1091071284311481
pasar,0.04129783088274703,0.010615117448753892,0.040612678856893285
fotos,0.04256670171874349,0.026238979928051406,0.023350945117776037
además,0.06823079545389864,0.03435678149335822,0.004641788663755916
sólo,0.040825453976027756,0.01864260973351977,0.023183245296265143
siglo,0.039074162127065125,0.020284170096553908,0.015790612096846825
arte,0.045524606920795865,0.004243958790583274,0.02082921831078646
país,0.04828019074685631,0.0036802926184218575,0.012255155906423437
pasado,0.04569271645630236,0.03475561726848479,0.019925650392793683
frente,0.03365282245595112,0.009553014546239472,0.061328315166181535
