,0,1,2,Escala mean,Escala std
2007-11-01,0.0000,0.0000,1.0000,5.0000,
2007-12-01,,,,,
2008-01-01,,,,,
2008-02-01,,,,,
2008-03-01,,,,,
2008-04-01,,,,,
2008-05-01,,,,,
2008-06-01,,,,,
2008-07-01,,,,,
2008-08-01,,,,,
2008-09-01,,,,,
2008-10-01,,,,,
2008-11-01,,,,,
2008-12-01,,,,,
2009-01-01,,,,,
2009-02-01,,,,,
2009-03-01,0.0000,0.0000,1.0000,4.0000,
2009-04-01,,,,,
2009-05-01,,,,,
2009-06-01,,,,,
2009-07-01,,,,,
2009-08-01,,,,,
2009-09-01,,,,,
2009-10-01,,,,,
2009-11-01,,,,,
2009-12-01,,,,,
2010-01-01,,,,,
2010-02-01,,,,,
2010-03-01,0.0000,0.0000,1.0000,4.0000,
2010-04-01,0.0000,0.0000,1.0000,4.0000,
2010-05-01,,,,,
2010-06-01,,,,,
2010-07-01,,,,,
2010-08-01,,,,,
2010-09-01,,,,,
2010-10-01,0.0000,0.0000,1.0000,4.0000,
2010-11-01,,,,,
2010-12-01,,,,,
2011-01-01,,,,,
2011-02-01,,,,,
2011-03-01,,,,,
2011-04-01,0.0000,0.0000,1.0000,5.0000,
2011-05-01,,,,,
2011-06-01,,,,,
2011-07-01,,,,,
2011-08-01,,,,,
2011-09-01,,,,,
2011-10-01,0.0000,0.3333,0.6667,4.3333,1.1547
2011-11-01,0.0000,0.1667,0.8333,4.1667,0.7528
2011-12-01,0.3333,0.1667,0.5000,3.0000,1.2649
2012-01-01,0.0000,0.4286,0.5714,4.1429,1.0690
2012-02-01,0.1250,0.6250,0.2500,3.1250,0.6409
2012-03-01,0.0000,0.5000,0.5000,3.9286,0.9972
2012-04-01,0.0833,0.2500,0.6667,4.0000,1.0445
2012-05-01,0.0000,0.0000,1.0000,4.0000,0.0000
2012-06-01,0.3333,0.0000,0.6667,4.0000,1.7321
2012-07-01,0.0000,0.7500,0.2500,3.2500,0.5000
2012-08-01,0.1250,0.5000,0.3750,3.3750,0.9161
2012-09-01,0.0000,0.4000,0.6000,4.0000,1.0000
2012-10-01,0.0000,0.2500,0.7500,4.0000,0.8165
2012-11-01,0.0000,1.0000,0.0000,3.0000,0.0000
2012-12-01,0.0000,0.0000,1.0000,4.3333,0.5774
2013-01-01,0.2222,0.4444,0.3333,3.1111,1.1667
2013-02-01,0.0000,1.0000,0.0000,3.0000,0.0000
2013-03-01,0.0000,0.5000,0.5000,4.0000,1.4142
2013-04-01,0.0000,1.0000,0.0000,3.0000,
2013-05-01,,,,,
2013-06-01,,,,,
2013-07-01,,,,,
2013-08-01,,,,,
2013-09-01,,,,,
2013-10-01,0.0000,1.0000,0.0000,3.0000,
2013-11-01,,,,,
2013-12-01,,,,,
2014-01-01,0.0000,0.0000,1.0000,5.0000,
2014-02-01,0.0000,0.3333,0.6667,4.0000,1.0000
2014-03-01,0.0000,0.0000,1.0000,4.0000,
2014-04-01,,,,,
2014-05-01,0.0000,0.5000,0.5000,3.5000,0.7071
2014-06-01,,,,,
2014-07-01,,,,,
2014-08-01,0.0000,0.5000,0.5000,4.0000,1.4142
2014-09-01,0.0000,0.5000,0.5000,4.0000,1.4142
2014-10-01,0.0000,0.3333,0.6667,3.6667,0.5774
2014-11-01,0.0000,0.0000,1.0000,4.5000,0.7071
2014-12-01,0.0000,0.0000,1.0000,5.0000,
2015-01-01,0.0000,0.0000,1.0000,4.3333,0.5774
2015-02-01,0.0000,0.6667,0.3333,3.3333,0.5774
2015-03-01,0.3333,0.0000,0.6667,3.6667,1.5275
2015-04-01,0.0000,0.2500,0.7500,4.0000,0.8165
2015-05-01,0.0000,0.5000,0.5000,3.5000,0.7071
2015-06-01,0.0000,0.5000,0.5000,3.7500,0.9574
2015-07-01,0.1111,0.1111,0.7778,3.8889,0.9280
2015-08-01,0.2222,0.1111,0.6667,3.8889,1.2693
2015-09-01,0.0000,0.2353,0.7647,4.3529,0.8618
2015-10-01,0.0909,0.3636,0.5455,3.6364,1.2060
2015-11-01,0.0000,0.1250,0.8750,4.5000,0.7559
2015-12-01,0.1111,0.2222,0.6667,3.7778,0.9718
2016-01-01,0.0000,0.3333,0.6667,4.0000,0.8452
2016-02-01,0.0000,0.1429,0.8571,4.2857,0.7263
2016-03-01,0.0000,0.1765,0.8235,4.1176,0.6966
2016-04-01,0.0000,0.3636,0.6364,4.0909,0.9439
2016-05-01,0.0000,0.1818,0.8182,4.2727,0.7862
2016-06-01,0.0625,0.1875,0.7500,3.8125,0.9811
2016-07-01,0.0000,0.1875,0.8125,4.1875,0.7500
2016-08-01,0.0800,0.0800,0.8400,4.0000,0.9574
2016-09-01,0.0667,0.1333,0.8000,4.1333,0.9155
2016-10-01,0.0000,0.2222,0.7778,4.0000,0.7071
2016-11-01,0.0833,0.2083,0.7083,3.7917,1.1025
2016-12-01,0.0714,0.0714,0.8571,4.2857,0.9139
2017-01-01,0.0000,0.3529,0.6471,3.8824,0.7812
2017-02-01,0.0000,0.2500,0.7500,4.0833,0.7755
2017-03-01,0.0625,0.1250,0.8125,4.0625,1.0626
2017-04-01,0.0769,0.1538,0.7692,3.6923,0.9473
2017-05-01,0.0000,0.2727,0.7273,4.0909,0.8312
2017-06-01,0.0000,0.2000,0.8000,4.4000,0.8433
2017-07-01,0.1000,0.2000,0.7000,3.9000,1.2867
2017-08-01,0.2500,0.0833,0.6667,3.4167,1.3790
2017-09-01,0.1250,0.1250,0.7500,3.8750,0.9910
2017-10-01,0.1111,0.3333,0.5556,3.3333,1.0000
2017-11-01,0.0000,0.0000,1.0000,4.5714,0.5345
2017-12-01,0.0000,0.0909,0.9091,4.3636,0.6742
2018-01-01,0.1667,0.2222,0.6111,3.7778,1.1144
2018-02-01,0.1538,0.3846,0.4615,3.6154,1.1209
2018-03-01,0.0556,0.1111,0.8333,4.1667,0.8575
2018-04-01,0.0000,0.3333,0.6667,4.0000,0.8660
