,0,1,2,Escala mean,Escala std
2004-03-01,0.0000,0.0000,1.0000,4.0000,
2004-04-01,,,,,
2004-05-01,,,,,
2004-06-01,,,,,
2004-07-01,,,,,
2004-08-01,,,,,
2004-09-01,,,,,
2004-10-01,,,,,
2004-11-01,,,,,
2004-12-01,,,,,
2005-01-01,,,,,
2005-02-01,,,,,
2005-03-01,,,,,
2005-04-01,,,,,
2005-05-01,,,,,
2005-06-01,,,,,
2005-07-01,,,,,
2005-08-01,,,,,
2005-09-01,,,,,
2005-10-01,,,,,
2005-11-01,,,,,
2005-12-01,,,,,
2006-01-01,,,,,
2006-02-01,,,,,
2006-03-01,,,,,
2006-04-01,,,,,
2006-05-01,,,,,
2006-06-01,,,,,
2006-07-01,,,,,
2006-08-01,,,,,
2006-09-01,,,,,
2006-10-01,,,,,
2006-11-01,,,,,
2006-12-01,,,,,
2007-01-01,,,,,
2007-02-01,,,,,
2007-03-01,,,,,
2007-04-01,,,,,
2007-05-01,,,,,
2007-06-01,,,,,
2007-07-01,,,,,
2007-08-01,,,,,
2007-09-01,,,,,
2007-10-01,,,,,
2007-11-01,,,,,
2007-12-01,,,,,
2008-01-01,,,,,
2008-02-01,,,,,
2008-03-01,,,,,
2008-04-01,,,,,
2008-05-01,,,,,
2008-06-01,,,,,
2008-07-01,,,,,
2008-08-01,,,,,
2008-09-01,,,,,
2008-10-01,,,,,
2008-11-01,,,,,
2008-12-01,,,,,
2009-01-01,,,,,
2009-02-01,,,,,
2009-03-01,,,,,
2009-04-01,,,,,
2009-05-01,,,,,
2009-06-01,,,,,
2009-07-01,,,,,
2009-08-01,0.0000,0.0000,1.0000,5.0000,
2009-09-01,,,,,
2009-10-01,,,,,
2009-11-01,,,,,
2009-12-01,,,,,
2010-01-01,,,,,
2010-02-01,,,,,
2010-03-01,0.0000,0.0000,1.0000,5.0000,
2010-04-01,,,,,
2010-05-01,0.0000,0.0000,1.0000,5.0000,
2010-06-01,,,,,
2010-07-01,,,,,
2010-08-01,0.0000,0.0000,1.0000,5.0000,0.0000
2010-09-01,,,,,
2010-10-01,,,,,
2010-11-01,,,,,
2010-12-01,,,,,
2011-01-01,,,,,
2011-02-01,,,,,
2011-03-01,,,,,
2011-04-01,0.0000,0.0000,1.0000,5.0000,0.0000
2011-05-01,,,,,
2011-06-01,,,,,
2011-07-01,,,,,
2011-08-01,0.0000,0.0000,1.0000,4.5000,0.7071
2011-09-01,0.5000,0.0000,0.5000,3.0000,1.4142
2011-10-01,0.0000,0.0000,1.0000,4.3333,0.5774
2011-11-01,0.0000,0.0000,1.0000,5.0000,0.0000
2011-12-01,0.0000,0.0000,1.0000,4.5000,0.5774
2012-01-01,0.0000,0.0000,1.0000,4.5455,0.5222
2012-02-01,0.1250,0.2500,0.6250,3.5000,1.1952
2012-03-01,0.0667,0.1333,0.8000,4.1333,1.1255
2012-04-01,0.0455,0.0455,0.9091,4.3636,0.9535
2012-05-01,0.0000,0.1818,0.8182,4.1818,0.7508
2012-06-01,0.1000,0.1000,0.8000,4.1000,1.2867
2012-07-01,0.0000,0.2778,0.7222,4.2222,0.8782
2012-08-01,0.0000,0.2500,0.7500,4.1250,0.8062
2012-09-01,0.0000,0.2222,0.7778,4.1111,0.7817
2012-10-01,0.0000,0.0000,1.0000,4.6364,0.5045
2012-11-01,0.0000,0.0833,0.9167,4.6667,0.6513
2012-12-01,0.1250,0.2500,0.6250,4.0000,1.1952
2013-01-01,0.0000,0.2857,0.7143,3.9524,0.7400
2013-02-01,0.0000,0.1111,0.8889,4.2222,0.6667
2013-03-01,0.0833,0.0833,0.8333,4.1667,0.9374
2013-04-01,0.0000,0.2222,0.7778,4.3333,0.8660
2013-05-01,0.0000,0.2000,0.8000,3.8000,0.4472
2013-06-01,0.0000,0.0000,1.0000,4.6364,0.5045
2013-07-01,0.0000,0.4545,0.5455,4.0000,1.0000
2013-08-01,0.0000,0.1667,0.8333,4.5000,0.8367
2013-09-01,0.0000,0.2222,0.7778,4.3333,0.8660
2013-10-01,0.0000,0.0667,0.9333,4.5333,0.6399
2013-11-01,0.0000,0.0000,1.0000,4.5714,0.5345
2013-12-01,0.1250,0.0000,0.8750,4.1250,1.3562
2014-01-01,0.0000,0.0769,0.9231,4.5385,0.6602
2014-02-01,0.0000,0.2308,0.7692,4.3077,0.8549
2014-03-01,0.0000,0.0000,1.0000,4.5000,0.5345
2014-04-01,0.0000,0.1667,0.8333,4.3333,0.8165
2014-05-01,0.0000,0.1667,0.8333,4.4167,0.7930
2014-06-01,0.0000,0.1429,0.8571,4.1429,0.6901
2014-07-01,0.0000,0.0000,1.0000,4.5882,0.5073
2014-08-01,0.0000,0.0000,1.0000,4.7857,0.4258
2014-09-01,0.0000,0.1875,0.8125,4.2500,0.7746
2014-10-01,0.0000,0.0833,0.9167,4.2500,0.6216
2014-11-01,0.0000,0.1667,0.8333,4.0833,0.6686
2014-12-01,0.0833,0.0833,0.8333,4.0833,1.1645
2015-01-01,0.0000,0.0968,0.9032,4.2581,0.6308
2015-02-01,0.0000,0.1333,0.8667,4.0000,0.5345
2015-03-01,0.0000,0.0000,1.0000,4.4167,0.5149
2015-04-01,0.0000,0.1250,0.8750,4.3125,0.7042
2015-05-01,0.0714,0.0714,0.8571,4.4286,0.9376
2015-06-01,0.0000,0.1200,0.8800,4.4800,0.7141
2015-07-01,0.0000,0.1000,0.9000,4.3000,0.6513
2015-08-01,0.0000,0.0606,0.9394,4.5455,0.6170
2015-09-01,0.0000,0.1143,0.8857,4.4286,0.6981
2015-10-01,0.0455,0.1818,0.7727,4.1364,0.8888
2015-11-01,0.0370,0.1111,0.8519,4.2222,0.8006
2015-12-01,0.0000,0.0000,1.0000,4.6452,0.4864
2016-01-01,0.0250,0.1750,0.8000,4.2250,0.8317
2016-02-01,0.0312,0.1250,0.8438,4.3125,0.8206
2016-03-01,0.0000,0.1282,0.8718,4.2821,0.6863
2016-04-01,0.0000,0.2069,0.7931,4.2759,0.7972
2016-05-01,0.0645,0.0323,0.9032,4.3871,0.8437
2016-06-01,0.0385,0.1538,0.8077,4.3462,0.8918
2016-07-01,0.0000,0.1875,0.8125,4.1250,0.7071
2016-08-01,0.0000,0.0952,0.9048,4.5476,0.6700
2016-09-01,0.0000,0.1081,0.8919,4.4324,0.6888
2016-10-01,0.0857,0.0286,0.8857,4.4000,0.9139
2016-11-01,0.0000,0.1176,0.8824,4.5294,0.7065
2016-12-01,0.0000,0.0270,0.9730,4.7568,0.4947
2017-01-01,0.0000,0.0600,0.9400,4.4400,0.6115
2017-02-01,0.0000,0.1250,0.8750,4.3438,0.7007
2017-03-01,0.0000,0.1714,0.8286,4.3429,0.7648
2017-04-01,0.0526,0.1316,0.8158,4.2105,0.8748
2017-05-01,0.0000,0.0938,0.9062,4.5625,0.6690
