,0,1,2,Escala mean,Escala std
2002-08-01,0.0,0.0,1.0,5.0,
2002-09-01,,,,,
2002-10-01,,,,,
2002-11-01,,,,,
2002-12-01,,,,,
2003-01-01,,,,,
2003-02-01,,,,,
2003-03-01,,,,,
2003-04-01,,,,,
2003-05-01,,,,,
2003-06-01,,,,,
2003-07-01,,,,,
2003-08-01,,,,,
2003-09-01,,,,,
2003-10-01,,,,,
2003-11-01,,,,,
2003-12-01,,,,,
2004-01-01,,,,,
2004-02-01,,,,,
2004-03-01,,,,,
2004-04-01,,,,,
2004-05-01,,,,,
2004-06-01,,,,,
2004-07-01,,,,,
2004-08-01,,,,,
2004-09-01,,,,,
2004-10-01,0.0,0.0,1.0,5.0,
2004-11-01,,,,,
2004-12-01,,,,,
2005-01-01,,,,,
2005-02-01,,,,,
2005-03-01,,,,,
2005-04-01,,,,,
2005-05-01,,,,,
2005-06-01,,,,,
2005-07-01,,,,,
2005-08-01,,,,,
2005-09-01,,,,,
2005-10-01,,,,,
2005-11-01,,,,,
2005-12-01,,,,,
2006-01-01,,,,,
2006-02-01,,,,,
2006-03-01,,,,,
2006-04-01,,,,,
2006-05-01,,,,,
2006-06-01,,,,,
2006-07-01,,,,,
2006-08-01,,,,,
2006-09-01,,,,,
2006-10-01,,,,,
2006-11-01,,,,,
2006-12-01,,,,,
2007-01-01,,,,,
2007-02-01,,,,,
2007-03-01,,,,,
2007-04-01,,,,,
2007-05-01,,,,,
2007-06-01,,,,,
2007-07-01,,,,,
2007-08-01,,,,,
2007-09-01,,,,,
2007-10-01,,,,,
2007-11-01,,,,,
2007-12-01,,,,,
2008-01-01,,,,,
2008-02-01,,,,,
2008-03-01,,,,,
2008-04-01,,,,,
2008-05-01,0.0,0.0,1.0,4.0,
2008-06-01,,,,,
2008-07-01,,,,,
2008-08-01,,,,,
2008-09-01,,,,,
2008-10-01,,,,,
2008-11-01,,,,,
2008-12-01,,,,,
2009-01-01,,,,,
2009-02-01,,,,,
2009-03-01,,,,,
2009-04-01,,,,,
2009-05-01,,,,,
2009-06-01,,,,,
2009-07-01,,,,,
2009-08-01,,,,,
2009-09-01,,,,,
2009-10-01,,,,,
2009-11-01,,,,,
2009-12-01,,,,,
2010-01-01,,,,,
2010-02-01,0.0,0.0,1.0,4.0,
2010-03-01,,,,,
2010-04-01,,,,,
2010-05-01,,,,,
2010-06-01,,,,,
2010-07-01,,,,,
2010-08-01,,,,,
2010-09-01,,,,,
2010-10-01,,,,,
2010-11-01,,,,,
2010-12-01,,,,,
2011-01-01,,,,,
2011-02-01,,,,,
2011-03-01,,,,,
2011-04-01,0.0,0.0,1.0,4.0,
2011-05-01,,,,,
2011-06-01,,,,,
2011-07-01,,,,,
2011-08-01,0.0,0.0,1.0,4.0,
2011-09-01,,,,,
2011-10-01,0.0,1.0,0.0,3.0,0.0
2011-11-01,0.0,0.0,1.0,4.0,0.0
2011-12-01,1.0,0.0,0.0,1.5,0.7071067811865476
2012-01-01,0.0,0.2,0.8,4.4,0.8944271909999159
2012-02-01,0.0,0.75,0.25,3.25,0.49999999999999994
2012-03-01,0.125,0.375,0.5,3.375,0.7440238091428448
2012-04-01,0.0,0.21428571428571427,0.7857142857142857,4.071428571428571,0.7300459115473718
2012-05-01,0.0,0.36363636363636365,0.6363636363636364,3.727272727272727,0.6466697906828632
2012-06-01,0.14285714285714285,0.14285714285714285,0.7142857142857143,3.4285714285714284,1.1338934190276817
2012-07-01,0.125,0.25,0.625,3.625,0.9161253813129042
2012-08-01,0.0,0.5,0.5,3.5,0.5345224838248488
2012-09-01,0.0,0.3,0.7,4.1,0.8755950357709131
2012-10-01,0.08333333333333333,0.08333333333333333,0.8333333333333334,4.333333333333333,0.9847319278346619
2012-11-01,0.0,0.07692307692307693,0.9230769230769231,4.461538461538462,0.660225291773525
