,0,1,2,Escala mean,Escala std
2002-12-31,0.0000,0.0000,1.0000,5.0000,
2003-12-31,,,,,
2004-12-31,0.0000,0.0000,1.0000,5.0000,
2005-12-31,,,,,
2006-12-31,,,,,
2007-12-31,,,,,
2008-12-31,0.0000,0.0000,1.0000,4.0000,
2009-12-31,,,,,
2010-12-31,0.0000,0.0000,1.0000,4.0000,
2011-12-31,0.2500,0.2500,0.5000,3.1250,1.1260
2012-12-31,0.0526,0.2719,0.6754,3.8772,0.8839
2013-12-31,0.0549,0.2857,0.6593,3.8352,0.9221
2014-12-31,0.0381,0.2476,0.7143,3.9905,0.9456
2015-12-31,0.0602,0.2143,0.7256,4.0075,0.9556
2016-12-31,0.0450,0.2513,0.7037,4.0397,0.9613
2017-12-31,0.0756,0.2268,0.6976,4.0378,1.0248
2018-12-31,0.0583,0.2524,0.6893,4.0097,1.0242
