,0,1,2,Escala mean,Escala std
2003-12-31,0.0000,0.0000,1.0000,4.0000,
2004-12-31,,,,,
2005-12-31,,,,,
2006-12-31,,,,,
2007-12-31,,,,,
2008-12-31,,,,,
2009-12-31,0.0000,0.0000,1.0000,4.0000,
2010-12-31,0.0000,0.0000,1.0000,4.0000,0.0000
2011-12-31,0.0000,0.2500,0.7500,4.1250,0.8345
2012-12-31,0.0156,0.1875,0.7969,4.2188,0.8061
2013-12-31,0.0000,0.0746,0.9254,4.4328,0.6330
2014-12-31,0.0119,0.0595,0.9286,4.3810,0.6568
2015-12-31,0.0183,0.1498,0.8318,4.2813,0.8066
2016-12-31,0.0559,0.1958,0.7483,4.0140,0.9115
