,0,1,2,Escala mean,Escala std
2003-12-31,0.0,0.0,1.0,4.0,
2004-12-31,,,,,
2005-12-31,,,,,
2006-12-31,,,,,
2007-12-31,,,,,
2008-12-31,,,,,
2009-12-31,0.0,0.0,1.0,4.0,
2010-12-31,0.0,0.0,1.0,4.0,0.0
2011-12-31,0.0,0.25,0.75,4.125,0.8345229603962802
2012-12-31,0.015625,0.1875,0.796875,4.21875,0.8061027151061998
2013-12-31,0.0,0.07462686567164178,0.9253731343283582,4.432835820895522,0.6330273725953702
2014-12-31,0.011904761904761904,0.05952380952380952,0.9285714285714286,4.380952380952381,0.6568409593637391
2015-12-31,0.01834862385321101,0.14984709480122324,0.8318042813455657,4.281345565749236,0.8066369781840128
2016-12-31,0.055944055944055944,0.1958041958041958,0.7482517482517482,4.013986013986014,0.911476236322417
