Iterations,Function,Gradient,Time
0,3.986824416063824,7.276968934318342,0.0
1,3.2935841902631307,6.57606095404984,0.00035572052001953125
2,2.1350679741349636,4.973797982623149,0.0025856494903564453
3,1.3172883821939554,3.201328363296311,0.004781007766723633
4,0.8558978731528737,1.549220465766269,0.006964921951293945
5,0.6548905399956158,1.0253558291112543,0.008924245834350586
6,0.5177585367550256,0.7950569319113053,0.01028752326965332
7,0.4472833326531208,0.5905351872537342,0.011680841445922852
8,0.40662802547740895,0.21240188240316063,0.013048410415649414
9,0.3978874143828993,0.0008162236919731809,0.014384031295776367
10,0.3978874143828993,0.0008162236919731809,0.015744447708129883
