Iterations,Function,Gradient,Time
0,28.099433544639652,20.456813867228803,0.0
1,26.07410926394015,20.041569180953445,0.00024318695068359375
2,22.161136952325755,19.05256781271856,0.0023963451385498047
3,18.468170241151388,17.83892544451933,0.004652738571166992
4,15.041042884864662,16.394047452605403,0.0067670345306396484
5,11.92549139779955,14.725652689167898,0.008817434310913086
6,9.164246978724325,12.856195591348081,0.010807275772094727
7,6.794073444782873,10.823148212018804,0.013026952743530273
8,4.842705550847002,8.680147369407257,0.014360189437866211
9,3.3253184313874167,6.501937292760351,0.01568436622619629
10,2.239125265115892,4.40368575576305,0.016977787017822266
11,1.5507111641647078,2.617804367197716,0.018250703811645508
12,1.1566823288092603,1.6442960901224797,0.01954936981201172
13,0.8666339570404838,1.282799344434396,0.020835399627685547
14,0.6459427461791961,0.9321270570620867,0.0221097469329834
15,0.6459427461791961,0.9321270570620867,0.023388147354125977
