Iterations,Function,Gradient,Time
0,98967.5148651568,30202.861910635776,0.0
1,97466.66060181042,29831.949510616785,0.009480476379394531
2,94520.16224663494,29100.55541578857,0.017002344131469727
3,91646.09765352451,28383.23310792818,0.0245206356048584
4,88843.0709101853,27679.75801598412,0.03425955772399902
5,86109.70836644132,26989.90945690512,0.041753530502319336
6,83444.65824870196,26313.470570413338,0.04916691780090332
7,80846.59028091736,25650.22825446444,0.05658078193664551
8,78314.19531195583,24999.973101348172,0.06663060188293457
9,75846.18494934002,24362.49933438228,0.09051632881164551
10,73441.29119928685,23737.604745151,0.13077354431152344
11,71098.26611299766,23125.090631237814,0.1700742244720459
12,68815.88143915278,22524.761734400043,0.1808631420135498
13,66592.92828256848,21936.42617913065,0.1927809715270996
14,64428.21676898042,21359.89541155007,0.20124316215515137
15,62320.57571592392,20794.984138568114,0.209136962890625
16,60268.85230968683,20241.51026725316,0.2172708511352539
17,58271.91178831776,19699.294844342723,0.22763848304748535
18,56328.637130678406,19168.16199582638,0.23620080947875977
19,54437.928751537125,18647.93886652908,0.24414896965026855
20,52598.70420270692,18138.45555961955,0.2524087429046631
21,50809.897880238845,17639.545075966074,0.261732816696167
22,49070.46073769102,17151.043253259002,0.2703053951263428
23,47379.360005499926,16672.78870481758,0.2806546688079834
24,45735.57891648976,16204.622757997016,0.2919142246246338
25,44138.116437564706,15746.389392111061,0.3002941608428955
26,42585.98700763595,15297.935175785611,0.3076000213623047
27,41078.22028184481,14859.109203660306,0.3157644271850586
28,39613.8608821518,14429.763032357982,0.3257029056549072
29,38191.96815436752,14009.750615646544,0.33395981788635254
30,36811.61593171059,13598.92823872442,0.34108996391296387
31,35471.892304983405,13197.154451569771,0.3481307029724121
32,34171.89939946067,12804.29000130547,0.35899853706359863
33,32910.753158592626,12420.197763546432,0.36699557304382324
34,31687.583134624656,12044.74267271425,0.3749713897705078
35,30501.53228623665,11677.791651325837,0.38324809074401855
36,29351.756783303514,11319.213538288885,0.3959493637084961
37,28237.425818873566,10968.87901626728,0.4041922092437744
38,27157.72142845283,10626.660538214564,0.4121999740600586
39,26111.838316672485,10292.43225321329,0.42470884323120117
40,25098.98369140013,9966.069931802465,0.4321575164794922
41,24118.377105334985,9647.45089102451,0.4392120838165283
42,23169.25030510177,9336.453919476395,0.4467658996582031
43,22250.84708782631,9032.959202706868,0.4575810432434082
44,21362.42316513873,8736.848249361577,0.46515870094299316
45,20503.246034507334,8448.00381853974,0.472592830657959
46,19672.594857756405,8166.309848887835,0.47971653938293457
47,18869.760346565454,7891.651390015909,0.49001193046569824
48,18094.04465468661,7623.91453687796,0.4998345375061035
49,17344.761276549656,7362.986367806518,0.5069723129272461
50,16621.234951853163,7108.754886929759,0.5143678188323975
51,15922.801575666497,6861.1089717231725,0.5237414836883545
52,15248.808113491097,6619.938326452853,0.531019926071167
53,14598.612520654933,6385.133442249154,0.5384471416473389
54,13971.583665341512,6156.585564502798,0.5453507900238037
55,13367.10125449011,5934.186668195965,0.5545566082000732
56,12784.5557617468,5717.829441663165,0.5617597103118896
57,12223.34835660518,5507.407279117207,0.568751335144043
58,11682.890833850699,5302.814282070384,0.5755579471588135
59,11162.605542422394,5103.945269528401,0.5862677097320557
60,10661.92531283193,4910.695796533976,0.5932419300079346
61,10180.29338233933,4722.962180290654,0.6024651527404785
62,9717.16331718045,4540.641532709853,0.6095945835113525
63,9271.998931277578,4363.631797804245,0.6192305088043213
64,8844.274201044062,4191.831791910684,0.6261084079742432
65,8433.473176117717,4025.1412442835226,0.6331541538238525
66,8039.089886125016,3863.4608351773595,0.6425211429595947
67,7660.628243885687,3706.692228165221,0.651505708694458
68,7297.60194580801,3554.738093149047,0.6584062576293945
69,6949.53437058961,3407.502116354468,0.6654996871948242
70,6615.958477711155,3264.8889936075625,0.6727063655853271
71,6296.416707571931,3126.8044034181953,0.6830959320068359
72,5990.4608854425815,2993.154956895676,0.690192699432373
73,5697.652131669956,2863.848122350529,0.6973307132720947
74,5417.560780728516,2738.792123638635,0.7072293758392334
75,5149.766311731236,2617.895812917348,0.7167026996612549
76,4893.857292848986,2501.068520524511,0.723853349685669
77,4649.431341698321,2388.2198871481432,0.7311053276062012
78,4416.095103103554,2279.259686272675,0.7384011745452881
79,4193.464244689391,2174.097647957409,0.7482173442840576
80,3981.1634694971535,2072.643298145827,0.7566237449645996
81,3778.826543246299,1974.8058306613573,0.7640085220336914
82,3586.0963320175338,1880.494031469928,0.7711606025695801
83,3402.6248440888903,1789.6162762513711,0.7802515029907227
84,3228.0732675318245,1702.0806223218585,0.7881863117218018
85,3062.11199314316,1617.7950139572017,0.7955684661865234
86,2904.420610576394,1536.6676156783453,0.802762508392334
87,2754.6878644127373,1458.607280683926,0.8129889965057373
88,2612.611556679463,1383.52415118017,0.8209378719329834
89,2477.8983832823724,1311.3303740437996,0.828331708908081
90,2350.2636942317417,1241.9408997147084,0.8356537818908691
91,2229.431171575147,1175.274315691063,0.845841646194458
92,2115.132424618403,1111.2536503571696,0.8538925647735596
93,2007.1065091140065,1049.8070705386626,0.8613991737365723
94,1905.0993851590479,990.8683898844212,0.8687863349914551
