Iteration,Function,Gradient
0,958414.3809857058,10271.138592295029
1,759343.3642905579,9027.019266060532
2,670575.3731842667,7623.3533176927685
3,627416.5390116923,6647.720155745618
4,601651.4048954948,6006.764599329275
5,584929.5451124758,5382.053206374638
6,572984.6906543932,4769.98739072171
7,565053.4150899382,4277.609940379181
8,558714.7801853481,3831.3047028664323
9,553945.4778509671,3454.9256055285805
10,550315.6274750591,3120.796198048607
11,547487.5853872707,2819.326629323462
12,545261.2064487459,2551.307527292882
13,543523.4970194964,2329.186095134322
14,542320.9429749994,2164.7726515146387
15,541264.6994291391,2003.549532395057
16,540360.1300873337,1859.716286170902
17,539575.7371573299,1732.418919066813
18,538891.8586114182,1614.325431433684
19,538296.8633217496,1501.228896876499
20,537780.4617472751,1396.7082571789792
21,537329.8818452066,1305.6809995478307
22,536932.0688735503,1227.9068785767292
23,536577.3721674175,1159.2204867742182
24,536259.4394772783,1096.7671453734272
25,535973.1766710535,1041.115954274488
26,535713.2947853138,993.3046244405801
27,535474.8197629051,952.6628098925572
28,535253.9771550947,918.0639294423758
29,535047.486778849,889.7204335797808
30,534851.8665196322,868.639403422569
31,534663.7398533005,854.2132543998746
32,534480.674102294,843.7700196715255
33,534301.5254355118,835.2608832780077
34,534125.4567259245,829.5224248827399
35,533950.7781848855,828.8950266802808
36,533775.0331002977,833.8777142961226
37,533596.2369428645,842.0947682437679
38,533413.7656481825,850.5964151019107
39,533227.8203564783,858.5846528354043
40,533038.3404247221,867.3064056073534
41,532844.6758472903,877.5432549658203
42,532646.1871479789,888.2755377416852
43,532442.9950284285,897.8214328618175
44,532235.9075505773,905.2213423276345
45,532025.920435811,910.1389240650192
46,531814.2200152145,912.0086707137888
47,531602.3556499135,910.0665497297362
48,531392.0639067875,904.3369497201084
49,531184.892209585,895.6398183117518
50,530982.0124335258,884.2699384466547
51,530784.6741839235,869.4104217280145
52,530594.5937400351,850.1253105673729
53,530413.5143929122,826.7288084778747
54,530242.6547808695,800.7378193610595
55,530082.5023246282,773.4262682969762
56,529933.1164086744,745.0901219622349
57,529794.5600351082,715.6152330591065
58,529666.8607993573,685.1869208900878
59,529549.8623125114,654.3450399164573
60,529443.1808909347,623.6147002927839
61,529346.2494481268,593.4702660823056
62,529258.3781879151,564.4573530966039
63,529178.756394291,536.966626767534
64,529106.5648862891,510.9579271667236
65,529041.1195470247,486.0851068558334
66,528981.8560492569,462.1818387519195
67,528928.2296720953,439.509874856755
68,528879.6509856554,418.3894625909608
69,528835.5365386866,398.76590188691955
70,528795.401986479,380.31736594394437
71,528758.8597109949,362.8853065457826
72,528725.5474144443,346.5993462895772
73,528695.1004876647,331.5475315990834
74,528667.1924220573,317.5159309244691
75,528641.5727964903,304.20548860864574
76,528618.0418963057,291.59205065027277
77,528596.3938967519,279.87374329188543
78,528576.4121972539,269.07366260823943
79,528557.9201336484,258.8669193800409
80,528540.8085874802,248.89980527399624
81,528524.999538945,239.19456758416197
82,528510.3903951107,230.0854415446062
83,528496.8463235025,221.75626281261563
84,528484.2446754331,213.97629813481618
85,528472.513127513,206.34741827877772
86,528461.6176932475,198.72243677603564
87,528451.5209679517,191.2832221838508
88,528442.1617452931,184.2478264664634
89,528433.4703732555,177.6196416862165
90,528425.3906294924,171.2503305825919
91,528417.8823676337,165.05411168633646
92,528410.909057329,159.07377743783363
93,528404.4302028612,153.36621012385865
94,528398.4057766309,147.91205176778664
95,528392.8017858223,142.66150709582405
96,528387.5884973594,137.61398289173684
97,528382.7359398924,132.8065090137417
98,528378.2140136628,128.24204770440832
99,528373.9961593562,123.87316873082054
100,528370.0606276345,119.66351347219809
101,528366.3874722078,115.63517367103178
102,528362.955180473,111.83947479580216
103,528359.7410051167,108.29724116738745
104,528356.7239776156,104.97841693202666
105,528353.8870740859,101.82623420727356
106,528351.2173815019,98.78697537399137
107,528348.7050503677,95.82610023386682
108,528346.3416721921,92.94022505845061
109,528344.1184585687,90.16030763206791
110,528342.025144562,87.52503731656752
111,528340.0508460163,85.03589475337135
112,528338.1864498047,82.64267250131316
113,528336.426075535,80.2840307345171
114,528334.7659541295,77.94230476848259
115,528333.2019707701,75.65006532410482
116,528331.7284739662,73.44370605787574
117,528330.339276823,71.32178726621144
118,528329.0292824219,69.25133871262557
119,528327.7949052305,67.20350040911663
120,528326.6332780425,65.17373763138345
121,528325.5414107754,63.17306434985383
122,528324.5159790727,61.2124510712813
123,528323.5535083583,59.2975228374442
124,528322.6505703432,57.427989458143266
125,528321.8039869712,55.59604728696785
126,528321.0110087729,53.79108048670482
127,528320.2691808435,52.01333913053275
128,528319.5758671459,50.281121841417274
129,528318.9279116432,48.617811482525745
130,528318.3218637203,47.03124878114739
131,528317.7545338892,45.510278477313065
132,528317.2232674649,44.041261283051966
133,528316.725749658,42.62149549785278
134,528316.2597435405,41.25375620471935
135,528315.8231112355,39.934824551839895
136,528315.4139586496,38.657430116118235
137,528315.0305848905,37.420959916276004
138,528314.6712999891,36.23083341292046
139,528314.334433729,35.0850854442622
140,528314.0185587152,33.970281578227564
141,528313.7225601289,32.87797293371862
142,528313.4453470635,31.820539782781932
143,528313.1855332847,30.820657003029837
144,528312.9415328177,29.88334396004133
145,528312.7120062439,28.985831157399762
146,528312.4961404657,28.099749315897995
147,528312.2934463691,27.218772675994693
148,528312.1033500951,26.358091351212025
149,528311.925060946,25.529662228217873
150,528311.7577833416,24.727440529696604
151,528311.6009117747,23.93966950757183
152,528311.4539504948,23.16766994058699
153,528311.3163152194,22.42406463405834
154,528311.1873151317,21.714079758872014
155,528311.0663324308,21.02680599128701
156,528310.9529458825,20.348421498121315
157,528310.8468359971,19.67956095020711
158,528310.7476002323,19.034449816939066
159,528310.6547050992,18.423863674138204
160,528310.5676129243,17.843141336252728
161,528310.4859223568,17.277722806463483
162,528310.4093785634,16.71778684572618
163,528310.3377674926,16.16625324112181
164,528310.2708106624,15.634557857364499
165,528310.2081443858,15.132497524108013
166,528310.1493799604,14.660621231768442
167,528310.0941887776,14.20971776170314
168,528310.0423492207,13.767840101861081
169,528309.993718066,13.33035295962193
170,528309.9481477636,12.903994463256266
171,528309.9054264353,12.499519381159505
172,528309.8653008408,12.119632645474264
173,528309.8275544763,11.755725400039633
174,528309.7920513612,11.397694987060454
175,528309.7586977535,11.045259754191084
176,528309.7273731006,10.706824501230045
177,528309.6979146567,10.387772791645192
178,528309.6701661592,10.083520455555348
179,528309.6440217177,9.785658568525966
180,528309.6194121389,9.491989404539822
181,528309.5962614338,9.206837790913534
182,528309.5744752224,8.93233435343543
183,528309.5539698802,8.663892868623133
184,528309.5346931379,8.396343608568845
185,528309.516603596,8.131557776435766
186,528309.499638003,7.8763181345071995
187,528309.483711615,7.633384668446761
188,528309.4687487326,7.398313179821853
189,528309.4547004222,7.166094206221123
190,528309.4415283211,6.937817813556235
191,528309.4291817069,6.7179699819368155
192,528309.4176009905,6.506768398965538
193,528309.4067398716,6.299009027176381
194,528309.396571859,6.091360921371789
195,528309.3870703035,5.887814773719184
196,528309.3781889019,5.695360445950579
197,528309.36986856,5.515519655255367
198,528309.3620608771,5.342788920765213
199,528309.3547389052,5.1715243097595245
200,528309.3478849398,5.001964153357728
201,528309.3414741331,4.838113488361203
202,528309.3354738823,4.681548030123544
203,528309.3298550146,4.529806801076075
204,528309.324597068,4.380623006895703
205,528309.3196817879,4.235277411829816
206,528309.3150859786,4.096496358737451
207,528309.3107837613,3.964439869865331
208,528309.3067538373,3.8365584272521867
209,528309.3029813047,3.7111261588702615
210,528309.2994524871,3.589224940100017
211,528309.2961507639,3.4726285074364247
212,528309.2930587246,3.360942646813892
213,528309.2901626637,3.251984559739049
214,528309.2874530194,3.1445322702910077
215,528309.2849207291,3.0395079121423683
216,528309.2825547198,2.9383034005147395
217,528309.2803431657,2.8409650459354507
218,528309.2782757501,2.7466241207443494
219,528309.2763437014,2.655034834695788
220,528309.274538306,2.5667464363454013
221,528309.2728506266,2.481846548446492
222,528309.2712727879,2.399417412642418
223,528309.2697986473,2.3186447070293
224,528309.2684226265,2.23996400092032
225,528309.2671382346,2.1645490694896856
226,528309.2659382139,2.0928271998290815
227,528309.2648159786,2.024001586394479
228,528309.2637664522,1.957075748068573
229,528309.2627854634,1.8919135605079533
230,528309.261868724,1.8290684744216175
231,528309.2610116217,1.7688902028468445
232,528309.2602097394,1.7111682119984564
233,528309.2594592222,1.6555404814707042
234,528309.2587566493,1.6018711125939677
235,528309.2580988094,1.550144425657308
236,528309.2574826882,1.500282266758758
237,528309.2569054872,1.4522623921770945
238,528309.2563644978,1.4062361962503283
239,528309.2558570342,1.362276115869232
240,528309.2553806317,1.3200631148997461
241,528309.2549332895,1.2790785632227062
242,528309.2545133749,1.2391644823665364
243,528309.2541192414,1.2006893480185619
244,528309.2537490284,1.1640299975360389
245,528309.2534008852,1.1290327158861246
246,528309.2530733052,1.0951514708749295
247,528309.2527651574,1.0620187425889267
248,528309.2524754485,1.0296444520069803
249,528309.2522031823,0.9980529133299486
250,528309.2519474544,0.967017396055167
251,528309.251707531,0.9363555921235813
252,528309.2514826943,0.9063158097426488
253,528309.2512720481,0.877354138492278
254,528309.2510745937,0.8494915203417442
255,528309.2508895216,0.8221574514373486
256,528309.2507163361,0.7948634344164753
257,528309.2505546124,0.7679013833298947
258,528309.2504036652,0.742117130093402
259,528309.2502625417,0.7179628603973746
260,528309.2501303497,0.6949636848482785
261,528309.250006541,0.6722307509995749
