Iteration,Function,Gradient
0,21526.98245556477,331.6728320399986
1,16855.758809461295,292.96489117600606
2,12030.160534258492,76.40750226303709
3,11714.421317906568,65.10294487647903
4,11599.166033592019,56.5483449588364
5,11510.402743505847,40.61288585256238
6,11453.228373618482,17.71108042485433
7,11434.912117259619,16.20331539700424
8,11423.41343920819,10.535716719890601
9,11416.681878544918,9.69706328386212
10,11412.512180319372,6.3887896982888535
11,11410.00429708137,5.886314431949244
12,11408.459397582748,3.9090750588221974
13,11407.518570268594,3.5994547775887242
14,11406.939437431414,2.403038507888441
15,11406.58447142669,2.2107923016821425
16,11406.365770495748,1.4812554197236816
17,11406.231226478354,1.3617832078844654
18,11406.148224049874,0.9146570685053302
19,11406.097042077681,0.8404801174778229
20,11406.06542810671,0.5654815045873056
21,11406.045902797814,0.5194750274375729
22,11406.03382973043,0.34992761908298137
23,11406.026364515834,0.3214127912806531
24,11406.021744531126,0.21669782637391424
25,11406.018885270303,0.19902983041397648
26,11406.017114492439,0.13427369809249493
27,11406.016017792908,0.12332682929735346
28,11406.015338186235,0.08324280188685775
29,11406.014917036413,0.07645927152727765
30,11406.014655925092,0.051628679500803604
31,11406.014494035142,0.04742404427155998
32,11406.014393620595,0.03203316833044037
33,11406.01433133673,0.02942624356719637
34,11406.014292689772,0.01988172485571348
35,11406.01426870944,0.018264898886139184
36,11406.014253824796,0.012343484250868909
37,11406.014244585895,0.011340413190871779
38,11406.014238849604,0.007665455441167273
39,11406.014235288048,0.007042970796430585
40,11406.014233076148,0.004761498825731576
41,11406.014231702464,0.004375090148292429
42,11406.014230849134,0.002958323125092153
43,11406.014230319053,0.002718396383571605
44,11406.014229989698,0.0018383814786039382
45,11406.01422978506,0.0016893726671249217
46,11406.014229657887,0.0011426340002545245
47,11406.014229578852,0.0010500684744353382
48,11406.01422952973,0.0007103184295811349
