Iteration,Function,Gradient
0,380457.50165038265,1973.3420213923353
1,146512.9647025827,1216.2737365305286
2,125129.4019176914,1310.6458555797165
3,112469.86598920418,1039.4297160749077
4,106501.7802130282,1173.858105434853
5,101853.62571804727,948.371508671138
6,94251.46089930767,856.3818009800624
7,91091.69002665293,646.0616033247449
8,81355.63191462225,718.8581721339784
9,78145.29237210813,389.5994454427763
10,71580.53542570016,590.3174193311386
11,69697.0594876189,317.0918253707295
12,68723.5938992799,354.18346944632765
13,68615.299719735,364.7076276401864
14,67786.16774422376,247.0488596744693
15,66747.02115841108,409.45422795090957
16,66300.38515782137,227.9095951600095
17,62764.127746277096,778.4621058974236
18,60062.973066222476,334.85453478128545
19,59769.29665305101,177.46911817135927
20,59600.06381381005,191.94566199499698
21,59424.50988062652,159.89077336344937
22,59293.376874368805,260.0096766877058
23,59068.10565353139,140.90635926833394
24,57899.55184767074,493.1104080173878
25,57228.2996162543,113.57981474205432
26,57085.09816485693,233.44935963882358
27,56894.864139754245,104.53028614916086
28,56404.41330422843,375.90483932250436
29,56045.58967992022,87.53606098771122
30,55617.03847247989,280.78372225228475
31,55271.09535264265,78.42286176255135
32,55244.50788871542,68.74618459609121
33,55131.82617953935,117.08100638602139
34,55098.30912439578,60.602510807847835
35,55057.50849383714,199.78570479531746
36,54924.99267201935,58.21499506225653
37,54888.84386819413,141.17587292396695
38,54840.32598651224,68.28569554511704
39,54836.83228779729,55.550848171877895
40,54811.265795290296,89.27219781091513
41,54787.88443410292,48.91601303776934
42,54763.70672316956,134.07810947616676
43,54708.44800879792,49.758924294997314
44,54704.7928360428,44.214641959069404
45,54316.739280306334,107.89656855205114
46,54266.64794182315,22.894956580318702
47,54265.8271027712,15.778520340711813
48,54263.24906430139,17.566427632409482
49,54261.96882206879,13.160703823890175
50,54253.23304664556,34.663573843939936
51,54250.27248250985,16.61302758146248
52,54249.48183736789,11.095001262927983
53,54243.00135266051,27.953065267178875
54,54240.94644275676,13.497266618565195
55,54240.3553756516,9.171783546877267
56,54232.44817646224,24.29786131739441
57,54230.487572358055,10.657514974993367
58,54230.11606504059,6.747083236546537
59,54228.94244271909,10.83287145137296
60,54228.52369414407,6.239646408277103
61,54227.89239221859,8.294977735323902
62,54227.60202001089,5.525553429936758
63,54222.65408571105,13.755832140875192
64,54221.78363336417,4.942194903843083
65,54221.69730906373,2.906007571379611
66,54221.570642351544,3.386353183104004
67,54221.50760879007,2.4486979434080838
68,54220.80594753723,6.230014749570829
69,54220.65317604023,2.697968712444162
70,54220.62434065185,1.6479886072019267
71,54220.550818602926,2.4686259256306196
72,54220.52541382449,1.4751071295915508
73,54220.46722414466,2.2884915495283313
74,54220.44644384279,1.3654585619707558
75,54220.403624649625,1.9818029431698245
76,54220.38722765764,1.2302281402892488
77,54220.32422429602,2.3195224194232167
78,54220.30540397542,1.2561934473074983
79,54220.29245037573,1.1285041515202798
80,54220.27479589856,1.319856228308304
81,54220.265235115476,0.9835849262379185
82,54220.18467301319,2.4445707265400274
83,54220.165133797615,1.159895042101636
84,54220.159808160744,0.7413462669942877
85,54220.12966434868,1.574503536792577
86,54220.12153897919,0.8084442344433246
87,54220.11794481144,0.6055905898105757
88,54220.09009827422,1.4703346735346698
89,54220.083201579146,0.7109892164441991
90,54220.081133335276,0.4646326315331791
91,54220.062845780594,1.1337864015575116
92,54220.05846617187,0.5369268707907103
93,54220.0572724373,0.344915514016474
94,54220.04973266598,0.7653232571665348
95,54220.04777163545,0.38432813100045804
96,54220.047021602644,0.2729354850582281
97,54220.035297366965,0.7529222982481006
98,54220.03326628676,0.2802269365331173
99,54220.03303949766,0.16133550590238038
100,54220.03278398723,0.15771144096278722
101,54220.03261539294,0.13762822651941717
102,54220.03239117374,0.16664373454700268
103,54220.032275125996,0.12133333445998445
104,54220.03077471477,0.36530892617582084
105,54220.03044110563,0.1626246589968964
106,54220.03037658508,0.0943290537095374
107,54220.03029659921,0.1045395274186179
108,54220.03024799639,0.08263214664084016
109,54220.0300693996,0.15546924560142847
110,54220.030013603195,0.08655639603089454
111,54220.02996771337,0.08247028789709415
112,54220.02991782137,0.08625765988474489
113,54220.029879961075,0.07574231160822872
114,54220.02981516206,0.09858235129948108
115,54220.02978487241,0.06766574059635214
116,54220.0288238918,0.15165730792695045
117,54220.02872057867,0.036465792043443156
118,54220.02871703667,0.021010432122121794
119,54220.0287128934,0.021061594055345145
120,54220.02871040068,0.017477653876862263
121,54220.028705942874,0.02433715547865207
122,54220.02870409138,0.01576390473579601
123,54220.02868756581,0.04165026009196072
124,54220.02868343585,0.020237519385993958
125,54220.02868220974,0.012954305937278976
126,54220.02867580455,0.0258876860518698
127,54220.02867401375,0.01378713141025466
128,54220.02867296378,0.011551835970318683
129,54220.02867066341,0.017315282117618198
130,54220.028669817075,0.010713485564765722
131,54220.028667073755,0.01869725116740838
132,54220.02866618067,0.010670227351913484
133,54220.02866517974,0.01182437879136536
134,54220.02866453707,0.009547503015191831
